Category 1,Category 2,Indicator short code,Indicator name,Indicator units,Indicator currency
INDICATORS,AGGREGATES,che_gdp,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),Percentage,-
INDICATORS,AGGREGATES,che_pc_usd,Current Health Expenditure (CHE) per Capita in US$,Ones,US$
INDICATORS,AGGREGATES,che_pc_ppp,Current Health Expenditure (CHE) per Capita in PPP,Ones,Int$ (PPP)
INDICATORS,AGGREGATES,hk_gdp,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),Percentage,-
INDICATORS,AGGREGATES,hk_g_gdp,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),Percentage,-
INDICATORS,AGGREGATES,hk_ext_gdp,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),Percentage,-
INDICATORS,FINANCING SOURCES,dom_che,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),Percentage,-
INDICATORS,FINANCING SOURCES,gghed_che,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),Percentage,-
INDICATORS,FINANCING SOURCES,pvtd_che,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),Percentage,-
INDICATORS,FINANCING SOURCES,vhi_che,Voluntary Health Insurance (VHI) as % of Current Health Expenditure (CHE),Percentage,-
INDICATORS,FINANCING SOURCES,oops_che,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),Percentage,-
INDICATORS,FINANCING SOURCES,other_che,Other Private Health Expenditure (OTHER) as % Current Health Expenditure (CHE),Percentage,-
INDICATORS,FINANCING SOURCES,ext_che,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),Percentage,-
INDICATORS,FINANCING SOURCES,gghed_gdp,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),Percentage,-
INDICATORS,FINANCING SOURCES,gghed_gge,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),Percentage,-
INDICATORS,FINANCING SOURCES,gghed_pc_usd,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,Ones,US$
INDICATORS,FINANCING SOURCES,gghed_pc_ppp,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,Ones,Int$ (PPP)
INDICATORS,FINANCING SOURCES,pvtd_pc_usd,Domestic Private Health Expenditure (PVT-D) per Capita in US$,Ones,US$
INDICATORS,FINANCING SOURCES,pvtd_pc_ppp,Domestic Private Health Expenditure (PVT-D) per Capita in PPP Int$,Ones,Int$ (PPP)
INDICATORS,FINANCING SOURCES,ext_pc_usd,External Health Expenditure (EXT) per Capita in US$,Ones,US$
INDICATORS,FINANCING SOURCES,ext_pc_ppp,External Health Expenditure (EXT) per Capita in PPP Int$,Ones,Int$ (PPP)
INDICATORS,FINANCING SOURCES,oop_pc_usd,Out-of-Pocket Expenditure (OOPS) per Capita in US$,Ones,US$
INDICATORS,FINANCING SOURCES,oop_pc_ppp,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,Ones,Int$ (PPP)
INDICATORS,FINANCING SCHEMES,cfa_che,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),Percentage,-
INDICATORS,FINANCING SCHEMES,gfa_che,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),Percentage,-
INDICATORS,FINANCING SCHEMES,chi_che,Compulsory Health Insurance (CHI) as % of Current Health Expenditure (CHE),Percentage,-
INDICATORS,FINANCING SCHEMES,shi_che,Social Health Insurance (SHI) as % of Current Health Expenditure (CHE),Percentage,-
INDICATORS,FINANCING SCHEMES,vfa_che,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),Percentage,-
INDICATORS,FINANCING SCHEMES,row_che,Rest of the World (RoW) as % of Current Health Expenditure (CHE),Percentage,-
INDICATORS,FINANCING SCHEMES,chi_pvt_che,Compulsory Private Health Insurance (CHI-PVT) as % of Current Health Expenditure (CHE),Percentage,-
INDICATORS,PRIMARY HEALTH CARE,phc_usd_pc,Primary Health Care (PHC) Expenditure per Capita in US$,Ones,US$
INDICATORS,PRIMARY HEALTH CARE,phc_che,Primary Health Care (PHC) Expenditure as % Current Health Expenditure (CHE),Percentage,-
INDICATORS,PRIMARY HEALTH CARE,phc_gghed_usd_pc,Domestic General Government Expenditure on PHC per Capita in US$,Ones,US$
INDICATORS,PRIMARY HEALTH CARE,gghed_phc_gghed,Domestic General Government Expenditure on PHC as % GGHE-D,Percentage,-
INDICATORS,PRIMARY HEALTH CARE,gghed_phc_phc,Domestic General Government Expenditure on PHC as % PHC,Percentage,-
INDICATORS,PRIMARY HEALTH CARE,ext_phc_ext,External Expenditure on PHC as % EXT,Percentage,-
INDICATORS,PRIMARY HEALTH CARE,ext_phc_phc,External Expenditure on PHC as % PHC,Percentage,-
INDICATORS,PRIMARY HEALTH CARE,phc_public_gdp,PHC (government and donors) as % of GDP,Percentage,-
INDICATORS,IMMUNIZATION,hc62_che,Expenditure on Immunization Programmes as % Current Health Expenditure (CHE),Percentage,-
INDICATORS,IMMUNIZATION,hc62_g_gghed,Domestic General Government Expenditure on Immunization Programmes as % of Domestic General Government Expenditure on Health (GGHE-D),Percentage,-
INDICATORS,IMMUNIZATION,hc62_ext_ext,External sources of funding on Immunization Programmes as % of External Health Expenditure (EXT),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis1_g_gghed,Domestic General Government Expenditure on Infectious and Parasitic Diseases as % of Domestic General Government Expenditure on Health (GGHE-D),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis11_g_gghed,Domestic General Government Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of Domestic General Government Expenditure on Health (GGHE-D),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis12_g_gghed,Domestic General Government Expenditure on Tuberculosis (TB) as % of Domestic General Government Expenditure on Health (GGHE-D),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis13_g_gghed,Domestic General Government Expenditure on Malaria as % of Domestic General Government Expenditure on Health (GGHE-D),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis16_g_gghed,Domestic General Government Expenditure on Neglected Tropical Diseases (NTDs) as % of Domestic General Government Expenditure on Health (GGHE-D),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis2_g_gghed,Domestic General Government Expenditure on Reproductive Health as % of Domestic General Government Expenditure on Health (GGHE-D),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis21_g_gghed,Domestic General Government Expenditure on Maternal Conditions as % of Domestic General Government Expenditure on Health (GGHE-D),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis23_g_gghed,Domestic General Government Expenditure on Contraceptive Management (Family Planning) as % of Domestic General Government Expenditure on Health (GGHE-D),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis3_g_gghed,Domestic General Government Expenditure on Nutritional Deficiencies as % of Domestic General Government Expenditure on Health (GGHE-D),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis4_g_gghed,Domestic General Government Expenditure on Noncommunicable Diseases (NCDs) as % of Domestic General Government Expenditure on Health (GGHE-D),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis5_g_gghed,Domestic General Government Expenditure on Injuries as % of Domestic General Government Expenditure on Health (GGHE-D),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,disnec_g_gghed,Domestic General Government Expenditure on other and unspecified diseases/conditions (n.e.c.) as % of Domestic General Government Expenditure on Health (GGHE-D),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis1_ext_ext,External sources of funding on Infectious and Parasitic Diseases as % of External Health Expenditure (EXT),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis11_ext_ext,External sources of funding on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of External Health Expenditure (EXT),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis12_ext_ext,External sources of funding on Tuberculosis (TB) as % of External Health Expenditure (EXT),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis13_ext_ext,External sources of funding on Malaria as % of External Health Expenditure (EXT),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis16_ext_ext,External sources of funding on Neglected Tropical Diseases (NTDs) as % of External Health Expenditure (EXT),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis2_ext_ext,External sources of funding on Reproductive Health as % of External Health Expenditure (EXT),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis21_ext_ext,External sources of funding on Maternal Conditions as % of External Health Expenditure (EXT),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis23_ext_ext,External sources of funding on Contraceptive Management (Family Planning) as % of External Health Expenditure (EXT),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis3_ext_ext,External sources of funding on Nutritional Deficiencies as % of External Health Expenditure (EXT),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis4_ext_ext,External sources of funding on Noncommunicable Diseases (NCDs) as % of External Health Expenditure (EXT),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,dis5_ext_ext,External sources of funding on Injuries as % of External Health Expenditure (EXT),Percentage,-
INDICATORS,DISEASES AND CONDITIONS,disnec_ext_ext,External sources of funding on other and unspecified diseases/conditions (n.e.c.) as % of External Health Expenditure (EXT),Percentage,-
INDICATORS,CROSS CLASSIFICATIONS,tran_shi,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),Percentage,-
INDICATORS,CROSS CLASSIFICATIONS,shise_shi,Self-Employed Contributions to Social Health Insurance (SHI-SE) as % of Social Health Insurance (SHI),Percentage,-
INDICATORS,MACRO,gge_gdp,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),Percentage,-
INDICATORS,MACRO,gdp_pc_usd,Gross Domestic Product (GDP) per Capita in US$,Ones,US$
INDICATORS,MACRO,gdp_pc_ppp,Gross Domestic Product (GDP) per Capita in PPP Int$,Ones,Int$ (PPP)
INDICATORS,FINANCING SOURCES GROUPS,che,"Current Health Expenditure (CHE), in million current NCU",Millions,NCU
INDICATORS,FINANCING SOURCES GROUPS,gghed,"Domestic General Government Health Expenditure (GGHE-D), in million current NCU",Millions,NCU
INDICATORS,FINANCING SOURCES GROUPS,pvtd,"Domestic Private Health Expenditure (PVT-D), in million current NCU",Millions,NCU
INDICATORS,FINANCING SOURCES GROUPS,ext,"External Health Expenditure (EXT), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs,"Current health expenditure by revenues of health care financing schemes, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs1,"Transfers from government domestic revenue (allocated to health purposes), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs11,"Internal transfers and grants, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs12,"Transfers by government on behalf of specific groups, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs13,"Subsidies, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs14,"Other transfers from government domestic revenue, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs2,"Transfers distributed by government from foreign origin, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs3,"Social insurance contributions, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs31,"Social insurance contributions from employees, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs32,"Social insurance contributions from employers, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs33,"Social insurance contributions from self-employed, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs34,"Other social insurance contributions, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs4,"Compulsory prepayment (Other, and unspecified, than FS.3), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs5,"Voluntary prepayment, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs6,"Other domestic revenues n.e.c., in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs61,"Other revenues from households n.e.c., in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs62,"Other revenues from corporations n.e.c., in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs63,"Other revenues from NPISH n.e.c., in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs6nec,"Unspecified other domestic revenues (n.e.c.), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fs7,"Direct foreign transfers, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,REVENUES,fsnec,"Unspecified revenues of health care financing schemes (n.e.c.), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf,"Current health expenditure by financing schemes, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf1,"Government schemes and compulsory contributory health care financing schemes, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf11,"Government schemes, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf12,"Compulsory contributory health insurance schemes, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf121,"Social health insurance schemes, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf122,"Compulsory private insurance schemes, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf12nec,"Unspecified compulsory contributory health insurance schemes (n.e.c.), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf13,"Compulsory Medical Saving Accounts (CMSA), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf1nec,"Unspecified government schemes and compulsory contributory schemes (n.e.c.), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf2,"Voluntary health care payment schemes, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf21,"Voluntary health insurance schemes, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf22,"NPISH financing schemes (including development agencies), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf23,"Enterprise financing schemes, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf2nec,"Unspecified voluntary health care payment schemes (n.e.c.), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf3,"Household out-of-pocket payment, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hf4,"Rest of the world financing schemes (non-resident), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,FINANCING SCHEMES,hfnec,"Unspecified financing schemes (n.e.c.), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc,"Current health expenditure by Health Care Functions, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc1,"Curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc11,"Inpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc12,"Day curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc13,"Outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc131,"General outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc132,"Dental outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc133,"Specialised outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc13nec,"Unspecified outpatient curative care (n.e.c.), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc14,"Home-based curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc1nec,"Unspecified curative care (n.e.c.), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc2,"Rehabilitative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc3,"Long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc31,"Inpatient long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc32,"Day long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc33,"Outpatient long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc34,"Home-based long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc3nec,"Unspecified long-term care (n.e.c.), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc4,"Ancillary services (non-specified by function), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc5,"Medical goods (non-specified by function), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc6,"Preventive care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc62,"Immunization Programmes, in million current NCU",Millions,NCU
