Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-32912,2020,Nguyen 2020 Vaccine,23000,mf59-adjuvanted trivalent influenza vaccine VERSUS Standard/Usual Care- non-adjuvanted trivalent influenza vaccine IN Healthy; Age- Adult; Gender- Both; Country- Argentina.,32249017,Healthy; Age- Adult; Gender- Both; Country- Argentina.,mf59-adjuvanted trivalent influenza vaccine,Cost-effectiveness of introducing an MF59-adjuvanted trivalent influenza vaccine for  older adults in Argentina.,Standard/Usual Care- non-adjuvanted trivalent influenza vaccine,NE
2019-01-29518,2019,Aiello 2019 Value Health Reg Issues,1.3e+006,"Intravenous Administration: Infliximab VERSUS Subcutaneous Administration: Secukinumab 150 mg IN Specific disease- Psoriatic arthritis; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Argentina.",31103950,"Specific disease- Psoriatic arthritis; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Argentina.",Intravenous Administration: Infliximab,Cost-Effectiveness of Secukinumab Versus Other Biologics in the Treatment of Psoriatic Arthritis: An Argentinean Perspective.,Subcutaneous Administration: Secukinumab 150 mg,NE
2019-01-29518,2019,Aiello 2019 Value Health Reg Issues,Dominated,"Subcutaneous Administration: Adalimumab VERSUS Subcutaneous Administration: Secukinumab 150 mg IN Specific disease- Psoriatic arthritis; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Argentina.",31103950,"Specific disease- Psoriatic arthritis; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Argentina.",Subcutaneous Administration: Adalimumab,Cost-Effectiveness of Secukinumab Versus Other Biologics in the Treatment of Psoriatic Arthritis: An Argentinean Perspective.,Subcutaneous Administration: Secukinumab 150 mg,NW
2019-01-29518,2019,Aiello 2019 Value Health Reg Issues,Dominated,"Subcutaneous Administration: Certolizumab pegol VERSUS Subcutaneous Administration: Secukinumab 150 mg IN Specific disease- Psoriatic arthritis; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Argentina.",31103950,"Specific disease- Psoriatic arthritis; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Argentina.",Subcutaneous Administration: Certolizumab pegol,Cost-Effectiveness of Secukinumab Versus Other Biologics in the Treatment of Psoriatic Arthritis: An Argentinean Perspective.,Subcutaneous Administration: Secukinumab 150 mg,NW
2019-01-29518,2019,Aiello 2019 Value Health Reg Issues,Dominated,Subcutaneous Administration: Etanercept VERSUS Subcutaneous Administration: Secukinumab 150 mg IN Specific disease- Psoriatic arthritis; Age- Adult; Gender- Both; Country- Argentina.,31103950,Specific disease- Psoriatic arthritis; Age- Adult; Gender- Both; Country- Argentina.,Subcutaneous Administration: Etanercept,Cost-Effectiveness of Secukinumab Versus Other Biologics in the Treatment of Psoriatic Arthritis: An Argentinean Perspective.,Subcutaneous Administration: Secukinumab 150 mg,NW
2019-01-29518,2019,Aiello 2019 Value Health Reg Issues,Dominated,Subcutaneous Administration: Golimumab VERSUS Subcutaneous Administration: Secukinumab 150 mg IN Specific disease- Psoriatic arthritis; Age- Adult; Gender- Both; Country- Argentina.,31103950,Specific disease- Psoriatic arthritis; Age- Adult; Gender- Both; Country- Argentina.,Subcutaneous Administration: Golimumab,Cost-Effectiveness of Secukinumab Versus Other Biologics in the Treatment of Psoriatic Arthritis: An Argentinean Perspective.,Subcutaneous Administration: Secukinumab 150 mg,NW
2019-01-29518,2019,Aiello 2019 Value Health Reg Issues,Dominated,"Subcutaneous Administration: Ustekinumab VERSUS Subcutaneous Administration: Secukinumab 150 mg IN Specific disease- Psoriatic arthritis; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Argentina.",31103950,"Specific disease- Psoriatic arthritis; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Argentina.",Subcutaneous Administration: Ustekinumab,Cost-Effectiveness of Secukinumab Versus Other Biologics in the Treatment of Psoriatic Arthritis: An Argentinean Perspective.,Subcutaneous Administration: Secukinumab 150 mg,NW
2015-01-17789,2015,Giorgi 2015 Health Econ Rev,89000,Apixaban VERSUS Standard/Usual Care- Vitamin K antagonist warfarin IN Specific disease- Atrial fibrillation; Age- Unknown; Gender- Both; Country- Argentina; Other- Suitable for the use of oral anticoagulants.,26112219,Specific disease- Atrial fibrillation; Age- Unknown; Gender- Both; Country- Argentina; Other- Suitable for the use of oral anticoagulants.,Apixaban,Estimation of the cost-effectiveness of apixaban versus vitamin K antagonists in  the management of atrial fibrillation in Argentina.,Standard/Usual Care- Vitamin K antagonist warfarin,NE
2015-01-17376,2015,Marti                            2015 Vaccine,1800,"Rotavirus vaccination Rotarix (RV1) VERSUS None IN Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Argentina.",26303875,"Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Argentina.",Rotavirus vaccination Rotarix (RV1),Cost effectiveness evaluation of a rotavirus vaccination program in Argentina.,None,NE
2015-01-17376,2015,Marti                            2015 Vaccine,Cost-Saving,"Rotavirus vaccination RotaTeq (RV5) VERSUS None IN Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Argentina.",26303875,"Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Argentina.",Rotavirus vaccination RotaTeq (RV5),Cost effectiveness evaluation of a rotavirus vaccination program in Argentina.,None,SE
2013-01-14300,2013,Marti                            2013 Cost Eff Resour Alloc,3600,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru.,24004943,Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru.,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV),A cost-effectiveness analysis of a 10-valent pneumococcal conjugate vaccine in children in six Latin American countries.,None,NE
2013-01-14300,2013,Marti                            2013 Cost Eff Resour Alloc,4000,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Argentina.,24004943,Healthy; Age- 0 to 18 years; Gender- Both; Country- Argentina.,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV),A cost-effectiveness analysis of a 10-valent pneumococcal conjugate vaccine in children in six Latin American countries.,None,NE
2013-01-14300,2013,Marti                            2013 Cost Eff Resour Alloc,4800,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Colombia.,24004943,Healthy; Age- 0 to 18 years; Gender- Both; Country- Colombia.,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV),A cost-effectiveness analysis of a 10-valent pneumococcal conjugate vaccine in children in six Latin American countries.,None,NE
2013-01-14300,2013,Marti                            2013 Cost Eff Resour Alloc,5500,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Mexico.,24004943,Healthy; Age- 0 to 18 years; Gender- Both; Country- Mexico.,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV),A cost-effectiveness analysis of a 10-valent pneumococcal conjugate vaccine in children in six Latin American countries.,None,NE
2013-01-14300,2013,Marti                            2013 Cost Eff Resour Alloc,8500,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Brazil.,24004943,Healthy; Age- 0 to 18 years; Gender- Both; Country- Brazil.,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV),A cost-effectiveness analysis of a 10-valent pneumococcal conjugate vaccine in children in six Latin American countries.,None,NE
2013-01-14300,2013,Marti                            2013 Cost Eff Resour Alloc,Cost-Saving,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Chile.,24004943,Healthy; Age- 0 to 18 years; Gender- Both; Country- Chile.,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV),A cost-effectiveness analysis of a 10-valent pneumococcal conjugate vaccine in children in six Latin American countries.,None,SE
2013-01-11271,2013,Elgart 2013 Health Econ Rev,8900,Metformin plus saxagliptin (MET + SAX) VERSUS Metformin plus sulfonylurea (MET + SU) IN Specific disease- type 2 diabetes; Age-; Gender- Both; Country- Argentina.,23621944,Specific disease- type 2 diabetes; Age-; Gender- Both; Country- Argentina.,Metformin plus saxagliptin (MET + SAX),Treatment of type 2 diabetes with saxagliptin: a pharmacoeconomic evaluation in Argentina.,Metformin plus sulfonylurea (MET + SU),NE
2012-01-09801,2012,Poggio 2012 Int J Technol Assess Health Care,36000,"Cardiac resynchronization therapy (CRT) + optimal medical treatment (OMT) VERSUS Optimal medical treatment (OMT) (maximum tolerated doses of angiotensin converting enzyme inhibitors or angiotensin receptor blockers, spironolactone, and beta-blockers) IN Patients with New York Heart Association (NYHA) functional class (FC) I heart failure symptoms and severe left ventricular dysfunction in Argentina",23006489,Patients with New York Heart Association (NYHA) functional class (FC) I heart failure symptoms and severe left ventricular dysfunction in Argentina,Cardiac resynchronization therapy (CRT) + optimal medical treatment (OMT),Cost-effectiveness of cardiac resynchronization therapy: perspective from Argentina.,"Optimal medical treatment (OMT) (maximum tolerated doses of angiotensin converting enzyme inhibitors or angiotensin receptor blockers, spironolactone, and beta-blockers)",NE
2012-01-09801,2012,Poggio 2012 Int J Technol Assess Health Care,41000,"Cardiac resynchronization therapy (CRT) + optimal medical treatment (OMT) VERSUS Optimal medical treatment (OMT) (maximum tolerated doses of angiotensin converting enzyme inhibitors or angiotensin receptor blockers, spironolactone, and beta-blockers) IN Patients with New York Heart Association (NYHA) functional class (FC) I or II heart failure symptoms and severe left ventricular dysfunction in Argentina",23006489,Patients with New York Heart Association (NYHA) functional class (FC) I or II heart failure symptoms and severe left ventricular dysfunction in Argentina,Cardiac resynchronization therapy (CRT) + optimal medical treatment (OMT),Cost-effectiveness of cardiac resynchronization therapy: perspective from Argentina.,"Optimal medical treatment (OMT) (maximum tolerated doses of angiotensin converting enzyme inhibitors or angiotensin receptor blockers, spironolactone, and beta-blockers)",NE
2009-01-05593,2009,Colantonio 2009 Vaccine,13000,Universal vaccination of all 12 year old females VERSUS Current practice IN 12 year old females in Brazil,19616499,12 year old females in Brazil,Universal vaccination of all 12 year old females,Cost-effectiveness analysis of a cervical cancer vaccine in five Latin American countries.,Current practice,NE
1 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
