Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34927,2020,Ehrhardt 2020 J Clin Oncol,100000,"heart failure screening with echocardiogram (moderate risk, 5-year interval) VERSUS heart failure screening with echocardiogram (moderate risk, 10-year interval) IN Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.",32795226,Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.,"heart failure screening with echocardiogram (moderate risk, 5-year interval)",Cost-Effectiveness of the International Late Effects of Childhood Cancer Guideline  Harmonization Group Screening Guidelines to Prevent Heart Failure in Survivors of  Childhood Cancer.,"heart failure screening with echocardiogram (moderate risk, 10-year interval)",NE
2020-01-34927,2020,Ehrhardt 2020 J Clin Oncol,190000,"heart failure screening with echocardiogram (low risk, 10-year interval) VERSUS None IN Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.",32795226,Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.,"heart failure screening with echocardiogram (low risk, 10-year interval)",Cost-Effectiveness of the International Late Effects of Childhood Cancer Guideline  Harmonization Group Screening Guidelines to Prevent Heart Failure in Survivors of  Childhood Cancer.,None,NE
2020-01-34927,2020,Ehrhardt 2020 J Clin Oncol,1e+006,"heart failure screening with echocardiogram (moderate risk, 1-year interval) VERSUS heart failure screening with echocardiogram (moderate risk, 2-year interval) IN Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.",32795226,Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.,"heart failure screening with echocardiogram (moderate risk, 1-year interval)",Cost-Effectiveness of the International Late Effects of Childhood Cancer Guideline  Harmonization Group Screening Guidelines to Prevent Heart Failure in Survivors of  Childhood Cancer.,"heart failure screening with echocardiogram (moderate risk, 2-year interval)",NE
2020-01-34927,2020,Ehrhardt 2020 J Clin Oncol,230000,"heart failure screening with echocardiogram (low risk, 5-year interval) VERSUS heart failure screening with echocardiogram (low risk, 10-year interval) IN Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.",32795226,Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.,"heart failure screening with echocardiogram (low risk, 5-year interval)",Cost-Effectiveness of the International Late Effects of Childhood Cancer Guideline  Harmonization Group Screening Guidelines to Prevent Heart Failure in Survivors of  Childhood Cancer.,"heart failure screening with echocardiogram (low risk, 10-year interval)",NE
2020-01-34927,2020,Ehrhardt 2020 J Clin Oncol,240000,"heart failure screening with echocardiogram (high risk, 1-year interval) VERSUS heart failure screening with echocardiogram (high risk, 2-year interval) IN Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.",32795226,Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.,"heart failure screening with echocardiogram (high risk, 1-year interval)",Cost-Effectiveness of the International Late Effects of Childhood Cancer Guideline  Harmonization Group Screening Guidelines to Prevent Heart Failure in Survivors of  Childhood Cancer.,"heart failure screening with echocardiogram (high risk, 2-year interval)",NE
2020-01-34927,2020,Ehrhardt 2020 J Clin Oncol,240000,"heart failure screening with echocardiogram (moderate risk, 2-year interval) VERSUS heart failure screening with echocardiogram (moderate risk, 5-year interval) IN Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.",32795226,Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.,"heart failure screening with echocardiogram (moderate risk, 2-year interval)",Cost-Effectiveness of the International Late Effects of Childhood Cancer Guideline  Harmonization Group Screening Guidelines to Prevent Heart Failure in Survivors of  Childhood Cancer.,"heart failure screening with echocardiogram (moderate risk, 5-year interval)",NE
2020-01-34927,2020,Ehrhardt 2020 J Clin Oncol,37000,"heart failure screening with echocardiogram (high risk, 10-year interval) VERSUS None IN Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.",32795226,Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.,"heart failure screening with echocardiogram (high risk, 10-year interval)",Cost-Effectiveness of the International Late Effects of Childhood Cancer Guideline  Harmonization Group Screening Guidelines to Prevent Heart Failure in Survivors of  Childhood Cancer.,None,NE
2020-01-34927,2020,Ehrhardt 2020 J Clin Oncol,40000,"heart failure screening with echocardiogram (high risk, 5-year interval) VERSUS heart failure screening with echocardiogram (high risk, 10-year interval) IN Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.",32795226,Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.,"heart failure screening with echocardiogram (high risk, 5-year interval)",Cost-Effectiveness of the International Late Effects of Childhood Cancer Guideline  Harmonization Group Screening Guidelines to Prevent Heart Failure in Survivors of  Childhood Cancer.,"heart failure screening with echocardiogram (high risk, 10-year interval)",NE
2020-01-34927,2020,Ehrhardt 2020 J Clin Oncol,790000,"heart failure screening with echocardiogram (low risk, 2-year interval) VERSUS heart failure screening with echocardiogram (low risk, 5-year interval) IN Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.",32795226,Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.,"heart failure screening with echocardiogram (low risk, 2-year interval)",Cost-Effectiveness of the International Late Effects of Childhood Cancer Guideline  Harmonization Group Screening Guidelines to Prevent Heart Failure in Survivors of  Childhood Cancer.,"heart failure screening with echocardiogram (low risk, 5-year interval)",NE
2020-01-34927,2020,Ehrhardt 2020 J Clin Oncol,82000,"heart failure screening with echocardiogram (high risk, 2-year interval) VERSUS heart failure screening with echocardiogram (high risk, 2-year interval) IN Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.",32795226,Specific disease- childhood cancer; Age- Unknown; Gender- Both; Country- United States; Other- survival of childhood cancer.,"heart failure screening with echocardiogram (high risk, 2-year interval)",Cost-Effectiveness of the International Late Effects of Childhood Cancer Guideline  Harmonization Group Screening Guidelines to Prevent Heart Failure in Survivors of  Childhood Cancer.,"heart failure screening with echocardiogram (high risk, 2-year interval)",NE
