Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34582,2020,Sathish 2020 BMC Med,52,"peer-support lifestyle intervention VERSUS booklet on lifestyle change IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- India; Other- high risk of developing type 2 diabetes in the Indian state of kerala, indian diabetes risk score of >= 60.",32883279,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- India; Other- high risk of developing type 2 diabetes in the Indian state of kerala, indian diabetes risk score of >= 60.",peer-support lifestyle intervention,Cost-effectiveness of a lifestyle intervention in high-risk individuals for diabetes  in a low- and middle-income setting: Trial-based analysis of the Kerala Diabetes  Prevention Program.,booklet on lifestyle change,NE
2020-01-34564,2020,Khoo 2020 Expert Rev Pharmacoecon Outcomes Res,300000,"osimertinib VERSUS Standard/Usual Care- epidermal growth factor receptor tyrosine kinase inhibitor, gefitinib or erlotinib IN Specific disease- locally advanced or metastatic egfr mutation-positive non-small cell lung cancer; Age- Unknown; Gender- Both; Country- Australia.",33151783,Specific disease- locally advanced or metastatic egfr mutation-positive non-small cell lung cancer; Age- Unknown; Gender- Both; Country- Australia.,osimertinib,Cost-effectiveness of osimertinib versus standard EGFR-TKI as first-line treatment  for locally advanced or metastatic EGFR mutation-positive non-small cell lung cancer  in Australia.,"Standard/Usual Care- epidermal growth factor receptor tyrosine kinase inhibitor, gefitinib or erlotinib",NE
2020-01-34357,2020,Tan 2020 Obesity (Silver Spring),14000,sleep intervention VERSUS standard/usual care IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Australia.,33012118,Healthy; Age- 0 to 18 years; Gender- Both; Country- Australia.,sleep intervention,Cost-Effectiveness of a Novel Sleep Intervention in Infancy to Prevent Overweight in  Childhood.,standard/usual care,NE
2020-01-34357,2020,Tan 2020 Obesity (Silver Spring),73000,"sleep intervention + food, activity, and breast feeding advice VERSUS standard/usual care IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Australia.",33012118,Healthy; Age- 0 to 18 years; Gender- Both; Country- Australia.,"sleep intervention + food, activity, and breast feeding advice",Cost-Effectiveness of a Novel Sleep Intervention in Infancy to Prevent Overweight in  Childhood.,standard/usual care,NE
2020-01-34133,2020,Gordon 2020 Int J Environ Res Public Health,15000,"breast cancer exercise program VERSUS Standard/Usual Care- Standard/Usual Care IN Specific disease- breast cancer (post surgery); Age- Adult; Gender- Female; Country- Australia; Other- brisbane, early stage 1 or 2 disease, overweight.",33228174,"Specific disease- breast cancer (post surgery); Age- Adult; Gender- Female; Country- Australia; Other- brisbane, early stage 1 or 2 disease, overweight.",breast cancer exercise program,Cost-Effectiveness Analysis from a Randomized Controlled Trial of Tailored Exercise  Prescription for Women with Breast Cancer with 8-Year Follow-Up.,Standard/Usual Care- Standard/Usual Care,NE
2020-01-34079,2020,Saiyed 2020 Clin Drug Investig,23000,"lenvatinib VERSUS sorafenib IN Specific disease- hepatocellular carcinoma; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Australia; Other- treatment-naive, advanced hepatocellular carcinoma.",33140194,"Specific disease- hepatocellular carcinoma; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Australia; Other- treatment-naive, advanced hepatocellular carcinoma.",lenvatinib,Cost-Effectiveness of Lenvatinib Compared with Sorafenib for the First-Line  Treatment of Advanced Hepatocellular Carcinoma in Australia.,sorafenib,NE
2020-01-34075,2020,Carter 2020 BMC Geriatr,Cost-Saving,early detection of deterioration in elderly residents program VERSUS Standard/Usual Care IN Healthy; Age- Adult; Gender- Both; Country- Australia; Other- residents of aged care setting .,33287716,Healthy; Age- Adult; Gender- Both; Country- Australia; Other- residents of aged care setting .,early detection of deterioration in elderly residents program,The effectiveness and cost effectiveness of a hospital avoidance program in a  residential aged care facility: a prospective cohort study and modelled decision  analysis.,Standard/Usual Care,SE
2020-01-34027,2020,Senanayake 2020 Value Health, ,kidney donor profile index 50-74 VERSUS dialysis IN Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,33248511,Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,kidney donor profile index 50-74,Donor Kidney Quality and Transplant Outcome: An Economic Evaluation of Contemporary  Practice.,dialysis,NE
2020-01-34027,2020,Senanayake 2020 Value Health, ,kidney donor profile index 50-74 VERSUS kidney donor profile index >74 IN Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,33248511,Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,kidney donor profile index 50-74,Donor Kidney Quality and Transplant Outcome: An Economic Evaluation of Contemporary  Practice.,kidney donor profile index >74,NE
2020-01-34027,2020,Senanayake 2020 Value Health,0,kidney donor profile index 25-49 VERSUS kidney donor profile index 50-74 IN Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,33248511,Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,kidney donor profile index 25-49,Donor Kidney Quality and Transplant Outcome: An Economic Evaluation of Contemporary  Practice.,kidney donor profile index 50-74,SW
2020-01-34027,2020,Senanayake 2020 Value Health,Cost-Saving,kidney donor profile index <25 VERSUS dialysis IN Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,33248511,Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,kidney donor profile index <25,Donor Kidney Quality and Transplant Outcome: An Economic Evaluation of Contemporary  Practice.,dialysis,SE
2020-01-34027,2020,Senanayake 2020 Value Health,Cost-Saving,kidney donor profile index <25 VERSUS kidney donor profile index >74 IN Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,33248511,Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,kidney donor profile index <25,Donor Kidney Quality and Transplant Outcome: An Economic Evaluation of Contemporary  Practice.,kidney donor profile index >74,SE
2020-01-34027,2020,Senanayake 2020 Value Health,Cost-Saving,kidney donor profile index <25 VERSUS kidney donor profile index 25-49 IN Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,33248511,Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,kidney donor profile index <25,Donor Kidney Quality and Transplant Outcome: An Economic Evaluation of Contemporary  Practice.,kidney donor profile index 25-49,SE
2020-01-34027,2020,Senanayake 2020 Value Health,Cost-Saving,kidney donor profile index <25 VERSUS kidney donor profile index 50-74 IN Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,33248511,Specific disease- needing kidney transplant; Age- Adult; Gender- Both; Country- Australia.,kidney donor profile index <25,Donor Kidney Quality and Transplant Outcome: An Economic Evaluation of Contemporary  Practice.,kidney donor profile index 50-74,SE
