Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2017-01-23778,2017,Dranitsaris 2017 Support Care Cancer,8000,Dalteparin VERSUS Standard/Usual Care- Oral anticoagulant therapy (Vitamin K antagonists) IN Specific disease- Venous Thromboembolism; Age- Unknown; Gender- Both; Country- France; Other- Cancer patients who developed an initial venous thromboembolism.,28204995,Specific disease- Venous Thromboembolism; Age- Unknown; Gender- Both; Country- France; Other- Cancer patients who developed an initial venous thromboembolism.,Dalteparin,Dalteparin or vitamin K antagonists to prevent recurrent venous thromboembolism in cancer patients: a patient-level economic analysis for France and Austria.,Standard/Usual Care- Oral anticoagulant therapy (Vitamin K antagonists),NE
2016-01-19654,2016,Boiron 2016 BMC Infect Dis,24000,"9-valent HPV vaccine associated with current cervical cancer screening VERSUS 4-valent vaccine associated with current cervical cancer screening IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Austria; Other- 8,507,786 estimated target population.",27084683,"Healthy; Age- 0 to 18 years; Gender- Both; Country- Austria; Other- 8,507,786 estimated target population.",9-valent HPV vaccine associated with current cervical cancer screening,Estimating the cost-effectiveness profile of a universal vaccination programme with a nine-valent HPV vaccine in Austria.,4-valent vaccine associated with current cervical cancer screening,NE
2015-01-20456,2015,Jahn 2015 Springerplus,25000,"21-gene assay used in conjunction with an Adjuvent!Online treatment decision aid VERSUS 21-gene assay used in conjunction with an Adjuvent!Online decision aid sccore in patients with a decision-aid defined intermediate and high risk. IN Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",26693110,"Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",21-gene assay used in conjunction with an Adjuvent!Online treatment decision aid,Cost effectiveness of personalized treatment in women with early breast cancer: the application of OncotypeDX and Adjuvant! Online to guide adjuvant chemotherapy in Austria.,21-gene assay used in conjunction with an Adjuvent!Online decision aid sccore in patients with a decision-aid defined intermediate and high risk.,NE
2015-01-20456,2015,Jahn 2015 Springerplus,2600,"21-gene assay used in conjunction with an Adjuvent!Online treatment decision aid VERSUS Standard/Usual Care IN Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",26693110,"Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",21-gene assay used in conjunction with an Adjuvent!Online treatment decision aid,Cost effectiveness of personalized treatment in women with early breast cancer: the application of OncotypeDX and Adjuvant! Online to guide adjuvant chemotherapy in Austria.,Standard/Usual Care,NE
2015-01-20456,2015,Jahn 2015 Springerplus,2900,"21-gene assay used in conjunction with an Adjuvent!Online treatment decision aid VERSUS Standard/Usual Care IN Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",26693110,"Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",21-gene assay used in conjunction with an Adjuvent!Online treatment decision aid,Cost effectiveness of personalized treatment in women with early breast cancer: the application of OncotypeDX and Adjuvant! Online to guide adjuvant chemotherapy in Austria.,Standard/Usual Care,NE
2015-01-20456,2015,Jahn 2015 Springerplus,3000,"21-gene assay used in conjunction with an Adjuvent!Online treatment decision aid VERSUS Standard/Usual Care IN Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",26693110,"Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",21-gene assay used in conjunction with an Adjuvent!Online treatment decision aid,Cost effectiveness of personalized treatment in women with early breast cancer: the application of OncotypeDX and Adjuvant! Online to guide adjuvant chemotherapy in Austria.,Standard/Usual Care,NE
2015-01-20456,2015,Jahn 2015 Springerplus,340000,"21-gene assay used in conjunction with an Adjuvent!Online treatment decision aid VERSUS 21-gene assay used in conjunction with an Adjuvent!Online decision aid sccore in patients with a decision-aid defined intermediate and high risk. IN Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",26693110,"Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",21-gene assay used in conjunction with an Adjuvent!Online treatment decision aid,Cost effectiveness of personalized treatment in women with early breast cancer: the application of OncotypeDX and Adjuvant! Online to guide adjuvant chemotherapy in Austria.,21-gene assay used in conjunction with an Adjuvent!Online decision aid sccore in patients with a decision-aid defined intermediate and high risk.,NE
2015-01-20456,2015,Jahn 2015 Springerplus,Dominated,"21-gene assay used in conjunction with an Adjuvent! Online treatment decision aid VERSUS 21-gene assay used in conjunction with an Adjuvent!Online decision aid sccore in patients with a decision-aid defined intermediate and high risk. IN Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",26693110,"Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",21-gene assay used in conjunction with an Adjuvent! Online treatment decision aid,Cost effectiveness of personalized treatment in women with early breast cancer: the application of OncotypeDX and Adjuvant! Online to guide adjuvant chemotherapy in Austria.,21-gene assay used in conjunction with an Adjuvent!Online decision aid sccore in patients with a decision-aid defined intermediate and high risk.,NW
2015-01-20456,2015,Jahn 2015 Springerplus,Dominated,"21-gene assay used in conjunction with an Adjuvent!Online decision treatment aid VERSUS 21-gene assay used in conjunction with an Adjuvent!Online decision aid sccore in patients with a decision-aid defined intermediate and high risk. IN Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",26693110,"Specific disease- Breast cancer; Age- 41 to 64 years; Gender- Female; Country- Austria; Other- diagnosed with estrogen receptor and/or progesterone receptor positive, HER-2/neu negative, and lymph node negative breast cancer.",21-gene assay used in conjunction with an Adjuvent!Online decision treatment aid,Cost effectiveness of personalized treatment in women with early breast cancer: the application of OncotypeDX and Adjuvant! Online to guide adjuvant chemotherapy in Austria.,21-gene assay used in conjunction with an Adjuvent!Online decision aid sccore in patients with a decision-aid defined intermediate and high risk.,NW
2015-01-19013,2015,Rochau 2015 Leuk Lymphoma,180000,Nilotinib without second-line tyrosine kinase inhibitor treatment after Nilotinib failure VERSUS Imatinib without second-line tyrosine kinase inhibitor treatment after Imatinib failure IN Specific disease- Chronic myeloid leukemia; Age- 41 to 64 years; Gender- Both; Country- Austria.,25393806,Specific disease- Chronic myeloid leukemia; Age- 41 to 64 years; Gender- Both; Country- Austria.,Nilotinib without second-line tyrosine kinase inhibitor treatment after Nilotinib failure,Cost-effectiveness of the sequential application of tyrosine kinase inhibitors for the treatment of chronic myeloid leukemia.,Imatinib without second-line tyrosine kinase inhibitor treatment after Imatinib failure,NE
