Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2021-01-34289,2021,van Wilder 2021 PLoS One,53000,immunoglobulin replacement therapy VERSUS immunoglobulin replacement therapy (0 to100 mg/kg/4wks) IN Specific disease- common variable immunodeficiency disorder; Age- 19 to 40 years; Gender- Both; Country- Belgium.,33661975,Specific disease- common variable immunodeficiency disorder; Age- 19 to 40 years; Gender- Both; Country- Belgium.,immunoglobulin replacement therapy,Immunoglobulin Replacement Therapy is critical and cost-effective in increasing life  expectancy and quality of life in patients suffering from Common Variable  Immunodeficiency Disorders (CVID): A health-economic assessment.,immunoglobulin replacement therapy (0 to100 mg/kg/4wks),NE
2020-01-35373,2020,Vercammen 2020 Cost Eff Resour Alloc,15000,emergency volunteer application + basic life support + automated external defibrillator VERSUS Standard/Usual Care- basic life support + automated external defibrillator IN Specific disease- cardiac arrest; Age- Adult; Gender- Both; Country- Belgium; Other- out of hospital.,33292296,Specific disease- cardiac arrest; Age- Adult; Gender- Both; Country- Belgium; Other- out of hospital.,emergency volunteer application + basic life support + automated external defibrillator,Cost-effectiveness of a novel smartphone application to mobilize first responders  after witnessed OHCA in Belgium.,Standard/Usual Care- basic life support + automated external defibrillator,NE
2020-01-34784,2020,Retèl 2020 Eur J Cancer,24000,"70-gene signature strategy VERSUS Standard/Usual Care- clinical assessment strategy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- United Kingdom; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",32795875,"Specific disease- breast cancer; Age- Adult; Gender- Female; Country- United Kingdom; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",70-gene signature strategy,Cost-effectiveness analysis of the 70-gene signature compared with clinical  assessment in breast cancer based on a randomised controlled trial.,Standard/Usual Care- clinical assessment strategy,NE
2020-01-34784,2020,Retèl 2020 Eur J Cancer,Cost-Saving,"70-gene signature strategy VERSUS Standard/Usual Care- clinical assessment strategy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Belgium; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",32795875,"Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Belgium; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",70-gene signature strategy,Cost-effectiveness analysis of the 70-gene signature compared with clinical  assessment in breast cancer based on a randomised controlled trial.,Standard/Usual Care- clinical assessment strategy,SE
2020-01-34784,2020,Retèl 2020 Eur J Cancer,Cost-Saving,"70-gene signature strategy VERSUS Standard/Usual Care- clinical assessment strategy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- France; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",32795875,"Specific disease- breast cancer; Age- Adult; Gender- Female; Country- France; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",70-gene signature strategy,Cost-effectiveness analysis of the 70-gene signature compared with clinical  assessment in breast cancer based on a randomised controlled trial.,Standard/Usual Care- clinical assessment strategy,SE
2020-01-34784,2020,Retèl 2020 Eur J Cancer,Cost-Saving,"70-gene signature strategy VERSUS Standard/Usual Care- clinical assessment strategy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Germany; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",32795875,"Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Germany; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",70-gene signature strategy,Cost-effectiveness analysis of the 70-gene signature compared with clinical  assessment in breast cancer based on a randomised controlled trial.,Standard/Usual Care- clinical assessment strategy,SE
2020-01-34784,2020,Retèl 2020 Eur J Cancer,Cost-Saving,"70-gene signature strategy VERSUS Standard/Usual Care- clinical assessment strategy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Netherlands; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",32795875,"Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Netherlands; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",70-gene signature strategy,Cost-effectiveness analysis of the 70-gene signature compared with clinical  assessment in breast cancer based on a randomised controlled trial.,Standard/Usual Care- clinical assessment strategy,SE
2020-01-34784,2020,Retèl 2020 Eur J Cancer,Cost-Saving,"70-gene signature strategy VERSUS Standard/Usual Care- clinical assessment strategy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- United States; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",32795875,"Specific disease- breast cancer; Age- Adult; Gender- Female; Country- United States; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",70-gene signature strategy,Cost-effectiveness analysis of the 70-gene signature compared with clinical  assessment in breast cancer based on a randomised controlled trial.,Standard/Usual Care- clinical assessment strategy,SE
2020-01-34337,2020,Simons 2020 J Cataract Refract Surg,7800,"topical bromfenac + topical dexamethasone VERSUS Standard/Usual Care- topical bromfenac IN Specific disease- cystoid macular edema; Age- Adult; Gender- Both; Country- Belgium; Other- without diabetes, cataract surgery.",33009281,"Specific disease- cystoid macular edema; Age- Adult; Gender- Both; Country- Belgium; Other- without diabetes, cataract surgery.",topical bromfenac + topical dexamethasone,Economic evaluation of prevention of cystoid macular edema after cataract surgery in  nondiabetic patients: ESCRS PREMED study report 4.,Standard/Usual Care- topical bromfenac,NE
2020-01-34337,2020,Simons 2020 J Cataract Refract Surg,Dominated,"topical dexamethasone + topical bromfenac VERSUS dexamethasone IN Specific disease- cystoid macular edema; Age- Adult; Gender- Both; Country- Belgium; Other- without diabetes, cataract surgery.",33009281,"Specific disease- cystoid macular edema; Age- Adult; Gender- Both; Country- Belgium; Other- without diabetes, cataract surgery.",topical dexamethasone + topical bromfenac,Economic evaluation of prevention of cystoid macular edema after cataract surgery in  nondiabetic patients: ESCRS PREMED study report 4.,dexamethasone,NW
2020-01-33351,2020,Pena-Longobardo 2020 Expert Rev Pharmacoecon Outcomes Res,Cost-Saving,exercise + nutritional and educational programs VERSUS Standard/Usual Care- standard/usual care IN Specific disease- type 2 diabetes; Age- >=65 years; Gender- Both; Country- Belgium; Other- frail or pre-frail.,0,Specific disease- type 2 diabetes; Age- >=65 years; Gender- Both; Country- Belgium; Other- frail or pre-frail.,exercise + nutritional and educational programs,Economic evaluation of a multimodal intervention in pre-frail and frail older people with diabetes mellitus: the MID-FRAIL project.,Standard/Usual Care- standard/usual care,SE
2020-01-33096,2020,Pazmino 2020 Ann. Rheum. Dis.,Cost-Saving,cobra slim VERSUS tight-step-up IN Specific disease- rheumatoid arthritis; Age- Adult; Gender- Both; Country- Belgium; Other- low-risk.,32241795,Specific disease- rheumatoid arthritis; Age- Adult; Gender- Both; Country- Belgium; Other- low-risk.,cobra slim,Two-year cost-effectiveness of different COBRA-like intensive remission induction  schemes in early rheumatoid arthritis: a piggyback study on the pragmatic randomised  controlled CareRA trial.,tight-step-up,SE
2020-01-33096,2020,Pazmino 2020 Ann. Rheum. Dis.,Dominated,cobra avant-garde VERSUS cobra slim IN Specific disease- rheumatoid arthritis; Age- Adult; Gender- Both; Country- Belgium; Other- high-risk.,32241795,Specific disease- rheumatoid arthritis; Age- Adult; Gender- Both; Country- Belgium; Other- high-risk.,cobra avant-garde,Two-year cost-effectiveness of different COBRA-like intensive remission induction  schemes in early rheumatoid arthritis: a piggyback study on the pragmatic randomised  controlled CareRA trial.,cobra slim,NW
2020-01-33096,2020,Pazmino 2020 Ann. Rheum. Dis.,Dominated,"cobra classic VERSUS cobra slim IN Specific disease- rheumatoid arthritis; Age- Adult; Gender- Both; Country- Belgium; Other- high-risk, early disease.",32241795,"Specific disease- rheumatoid arthritis; Age- Adult; Gender- Both; Country- Belgium; Other- high-risk, early disease.",cobra classic,Two-year cost-effectiveness of different COBRA-like intensive remission induction  schemes in early rheumatoid arthritis: a piggyback study on the pragmatic randomised  controlled CareRA trial.,cobra slim,NW
2020-01-32833,2020,Vandepitte 2020 Int. J. Geriatr. Psychiatry,11000,in-home respite care program + standard community-based dementia care VERSUS Standard/Usual Care- Standard community-based dementia care IN Specific disease- dementia; Age- Adult; Gender- Both; Country- Belgium.,32011773,Specific disease- dementia; Age- Adult; Gender- Both; Country- Belgium.,in-home respite care program + standard community-based dementia care,Cost-effectiveness of an in-home respite care program to support informal caregivers  of persons with dementia: A model-based analysis.,Standard/Usual Care- Standard community-based dementia care,NE
2020-01-32759,2020,Rinciog 2020 Pharmacoecon Open,Cost-Saving,nintedanib VERSUS Pirfenidone IN Specific disease- idiopathic pulmonary fibrosis; Age- Adult; Gender- Both; Country- Belgium.,31939146,Specific disease- idiopathic pulmonary fibrosis; Age- Adult; Gender- Both; Country- Belgium.,nintedanib,Cost-Effectiveness Analysis of Nintedanib Versus Pirfenidone in Idiopathic Pulmonary  Fibrosis in Belgium.,Pirfenidone,SE
2020-01-32758,2020,De Bleser 2020 Cancers (Basel),14000,metastasis-directed therapy VERSUS surveillance IN Specific disease- prostate cancer; Age- Adult; Gender- Male; Country- Belgium; Other- prostate specific antigen relapse.,31947974,Specific disease- prostate cancer; Age- Adult; Gender- Male; Country- Belgium; Other- prostate specific antigen relapse.,metastasis-directed therapy,A Trial-Based Cost-Utility Analysis of Metastasis-Directed Therapy for  Oligorecurrent Prostate Cancer.,surveillance,NE
2020-01-32758,2020,De Bleser 2020 Cancers (Basel),Cost-Saving,metastasis-directed therapy VERSUS androgen deprivation therapy IN Specific disease- prostate cancer; Age- Adult; Gender- Male; Country- Belgium; Other- PSA relapse.,31947974,Specific disease- prostate cancer; Age- Adult; Gender- Male; Country- Belgium; Other- PSA relapse.,metastasis-directed therapy,A Trial-Based Cost-Utility Analysis of Metastasis-Directed Therapy for  Oligorecurrent Prostate Cancer.,androgen deprivation therapy,SE
2019-01-31541,2019,Werbrouck 2019 Eur J Public Health,28000,annual reminder system + intensive lifestyle intervention VERSUS annual reminder system combined with an awareness campaign IN Specific disease- gestational diabetes; Age- Adult; Gender- Female; Country- Belgium; Other- immediately after postpartum.,31665267,Specific disease- gestational diabetes; Age- Adult; Gender- Female; Country- Belgium; Other- immediately after postpartum.,annual reminder system + intensive lifestyle intervention,Cost-utility analysis of lifestyle interventions to prevent type 2 diabetes in women with prior gestational diabetes.,annual reminder system combined with an awareness campaign,NE
2019-01-31541,2019,Werbrouck 2019 Eur J Public Health,32000,annual reminder system + awareness campaign VERSUS None IN Specific disease- gestational diabetes; Age- Adult; Gender- Female; Country- Belgium; Other- immediately after postpartum.,31665267,Specific disease- gestational diabetes; Age- Adult; Gender- Female; Country- Belgium; Other- immediately after postpartum.,annual reminder system + awareness campaign,Cost-utility analysis of lifestyle interventions to prevent type 2 diabetes in women with prior gestational diabetes.,None,NE
1 2 3 4 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
