Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-32966,2020,Mavranezouli 2020 PLoS ONE,15000,trauma-focused cognitive behavioural therapy + selective serotonin reuptake inhibitors VERSUS None IN Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,32353011,Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,trauma-focused cognitive behavioural therapy + selective serotonin reuptake inhibitors,Cost-effectiveness of psychological treatments for post-traumatic stress disorder in  adults.,None,NE
2020-01-32966,2020,Mavranezouli 2020 PLoS ONE,38000,counseling VERSUS None IN Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,32353011,Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,counseling,Cost-effectiveness of psychological treatments for post-traumatic stress disorder in  adults.,None,NE
2020-01-32966,2020,Mavranezouli 2020 PLoS ONE,4100,non-trauma-focused cognitive behavioral therapy VERSUS None IN Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,32353011,Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,non-trauma-focused cognitive behavioral therapy,Cost-effectiveness of psychological treatments for post-traumatic stress disorder in  adults.,None,NE
2020-01-32966,2020,Mavranezouli 2020 PLoS ONE,7100,trauma-focused cognitive behavioural therapy VERSUS None IN Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,32353011,Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,trauma-focused cognitive behavioural therapy,Cost-effectiveness of psychological treatments for post-traumatic stress disorder in  adults.,None,NE
2020-01-32966,2020,Mavranezouli 2020 PLoS ONE,Cost-Saving,combined somatic/cognitive therapies VERSUS None IN Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,32353011,Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,combined somatic/cognitive therapies,Cost-effectiveness of psychological treatments for post-traumatic stress disorder in  adults.,None,SE
2020-01-32966,2020,Mavranezouli 2020 PLoS ONE,Cost-Saving,eye movement desensitisation reprocessing VERSUS None IN Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,32353011,Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,eye movement desensitisation reprocessing,Cost-effectiveness of psychological treatments for post-traumatic stress disorder in  adults.,None,SE
2020-01-32966,2020,Mavranezouli 2020 PLoS ONE,Cost-Saving,psychoeducation VERSUS None IN Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,32353011,Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,psychoeducation,Cost-effectiveness of psychological treatments for post-traumatic stress disorder in  adults.,None,SE
2020-01-32966,2020,Mavranezouli 2020 PLoS ONE,Cost-Saving,selective serotonin reuptake inhibitors VERSUS None IN Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,32353011,Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,selective serotonin reuptake inhibitors,Cost-effectiveness of psychological treatments for post-traumatic stress disorder in  adults.,None,SE
2020-01-32966,2020,Mavranezouli 2020 PLoS ONE,Cost-Saving,self-help with support VERSUS None IN Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,32353011,Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,self-help with support,Cost-effectiveness of psychological treatments for post-traumatic stress disorder in  adults.,None,SE
2020-01-32966,2020,Mavranezouli 2020 PLoS ONE,Cost-Saving,self-help without support VERSUS None IN Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,32353011,Specific disease- ptsd; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,self-help without support,Cost-effectiveness of psychological treatments for post-traumatic stress disorder in  adults.,None,SE
2018-01-25898,2018,Dorji 2018 Vaccine,38,10-valent Pneumococcal Conjugate Vaccine (PCV10) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Bhutan.,29478752,Healthy; Age- 0 to 18 years; Gender- Both; Country- Bhutan.,10-valent Pneumococcal Conjugate Vaccine (PCV10),Towards the introduction of pneumococcal conjugate vaccines in Bhutan: A cost-utility analysis to determine the optimal policy option.,None,NE
2018-01-25898,2018,Dorji 2018 Vaccine,42,13-valent Pneumococcal Conjugate Vaccine VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Bhutan.,29478752,Healthy; Age- 0 to 18 years; Gender- Both; Country- Bhutan.,13-valent Pneumococcal Conjugate Vaccine,Towards the introduction of pneumococcal conjugate vaccines in Bhutan: A cost-utility analysis to determine the optimal policy option.,None,NE
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
