Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2016-01-21367,2016,Guedes 2016 Medicine (Baltimore),33000,Primary Medical Treatment VERSUS Primary Surgical treatment IN Specific disease- Moderate glaucoma; Age- 41 to 64 years; Gender- Both; Country- Brazil.,28033286,Specific disease- Moderate glaucoma; Age- 41 to 64 years; Gender- Both; Country- Brazil.,Primary Medical Treatment,Maximizing cost-effectiveness by adjusting treatment strategy according to glaucoma severity.,Primary Surgical treatment,NE
2016-01-21367,2016,Guedes 2016 Medicine (Baltimore),9600,Primary Medical Treatment VERSUS Primary Surgical treatment IN Specific disease- Advanced glaucoma; Age- 41 to 64 years; Gender- Both; Country- Brazil.,28033286,Specific disease- Advanced glaucoma; Age- 41 to 64 years; Gender- Both; Country- Brazil.,Primary Medical Treatment,Maximizing cost-effectiveness by adjusting treatment strategy according to glaucoma severity.,Primary Surgical treatment,NE
2016-01-19910,2016,Stella 2016 Med Decis Making,71000,Zotarolimus resolute stent VERSUS bare-metal stent IN Specific disease- Coronary artery disease (CAD); Age- 41 to 64 years; Gender- Both; Country- Brazil; Other- Eligible for percutaneous coronary intervention procedure (PCI) using either a bare metal stents (BMS) or a drug-eluting stents (DES).,26964876,Specific disease- coronary artery disease; Age- 41 to 64 years; Gender- Both; Country- Brazil; Other- Eligible for percutaneous coronary intervention procedure (PCI) using either a bare metal stents (BMS) or a drug-eluting stents (DES).,Zotarolimus resolute stent,Contemporary Context of Drug-Eluting Stents in Brazil: A Cost Utility Study.,bare-metal stent,NE
2016-01-19910,2016,Stella 2016 Med Decis Making,72000,Everolimus stent VERSUS Bare metal stents (BMS) IN Specific disease- Coronary artery disease (CAD); Age- 41 to 64 years; Gender- Both; Country- Brazil; Other- Eligible for percutaneous coronary intervention procedure (PCI) using either a bare metal stents (BMS) or a drug-eluting stents (DES).,26964876,Specific disease- coronary artery disease; Age- 41 to 64 years; Gender- Both; Country- Brazil; Other- Eligible for percutaneous coronary intervention procedure (PCI) using either a bare metal stents (BMS) or a drug-eluting stents (DES).,Everolimus stent,Contemporary Context of Drug-Eluting Stents in Brazil: A Cost Utility Study.,Bare metal stents (BMS),NE
2016-01-19910,2016,Stella 2016 Med Decis Making,Dominated,Paclitaxel stent VERSUS Zotarolimus resolute stent IN Specific disease- Coronary artery disease (CAD); Age- 41 to 64 years; Gender- Both; Country- Brazil; Other- Eligible for percutaneous coronary intervention procedure (PCI) using either a bare metal stents (BMS) or a drug-eluting stents (DES).,26964876,Specific disease- coronary artery disease; Age- 41 to 64 years; Gender- Both; Country- Brazil; Other- Eligible for percutaneous coronary intervention procedure (PCI) using either a bare metal stents (BMS) or a drug-eluting stents (DES).,Paclitaxel stent,Contemporary Context of Drug-Eluting Stents in Brazil: A Cost Utility Study.,Zotarolimus resolute stent,NW
2016-01-19910,2016,Stella 2016 Med Decis Making,Dominated,"Sirolimus stent VERSUS Everolimus stent IN Specific disease- Coronary artery disease (CAD); Age- 41 to 64 years; Gender- Both; Country- Brazil; Other- Symptomatic, eligible for percutaneous coronary intervention procedure (PCI) using either a bare metal stents (BMS) or a drug-eluting stents (DES).",26964876,"Specific disease- coronary artery disease; Age- 41 to 64 years; Gender- Both; Country- Brazil; Other- Symptomatic, eligible for percutaneous coronary intervention procedure (PCI) using either a bare metal stents (BMS) or a drug-eluting stents (DES).",Sirolimus stent,Contemporary Context of Drug-Eluting Stents in Brazil: A Cost Utility Study.,Everolimus stent,NW
2016-01-19910,2016,Stella 2016 Med Decis Making,Dominated,Zotarolimus stent VERSUS Zotarolimus resolute stent IN Specific disease- Coronary artery disease (CAD); Age- 41 to 64 years; Gender- Both; Country- Brazil; Other- Eligible for percutaneous coronary intervention procedure (PCI) using either a bare metal stents (BMS) or a drug-eluting stents (DES).,26964876,Specific disease- coronary artery disease; Age- 41 to 64 years; Gender- Both; Country- Brazil; Other- Eligible for percutaneous coronary intervention procedure (PCI) using either a bare metal stents (BMS) or a drug-eluting stents (DES).,Zotarolimus stent,Contemporary Context of Drug-Eluting Stents in Brazil: A Cost Utility Study.,Zotarolimus resolute stent,NW
2015-01-20853,2015,Toscano 2015 Diabetol Metab Syndr,45000,"Brazil Nationwide Diabetes Screening Program (BNDSP) for type 2 diabetes mellitus VERSUS None IN Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil.",26523154,"Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil.",Brazil Nationwide Diabetes Screening Program (BNDSP) for type 2 diabetes mellitus,Cost-effectiveness of a national population-based screening program for type 2 diabetes: the Brazil experience.,None,NE
2015-01-17729,2015,Schluckebier 2015 Lung Cancer,18000,Pemetrexed (500mg/m2) plus carboplatin (AUC5) VERSUS Pemetrexed (500mg/m2) alone IN Specific disease- Advanced non-small cell lung cancer; Age- Adult; Gender- Both; Country- Brazil.,26143106,Specific disease- Advanced non-small cell lung cancer; Age- Adult; Gender- Both; Country- Brazil.,Pemetrexed (500mg/m2) plus carboplatin (AUC5),Carboplatin plus pemetrexed offers superior cost-effectiveness compared to pemetrexed in patients with advanced non-small cell lung cancer and performance status 2.,Pemetrexed (500mg/m2) alone,NE
2015-01-15909,2015,Janzon 2015 Heart,4300,Ticagrelor VERSUS Clopidrogel IN Specific disease- Acute coronary syndromes; Age- Adult; Gender- Not Specified; Country- Sweden.,25227704,Specific disease- Acute coronary syndromes; Age- Adult; Gender- Not Specified; Country- Sweden.,Ticagrelor,Health economic analysis of ticagrelor in patients with acute coronary syndromes  intended for non-invasive therapy.,Clopidrogel,NE
2015-01-15909,2015,Janzon 2015 Heart,5300,Ticagrelor VERSUS Clopidrogel IN Specific disease- Acute coronary syndromes; Age- Adult; Gender- Not Specified; Country- United Kingdom.,25227704,Specific disease- Acute coronary syndromes; Age- Adult; Gender- Not Specified; Country- United Kingdom.,Ticagrelor,Health economic analysis of ticagrelor in patients with acute coronary syndromes  intended for non-invasive therapy.,Clopidrogel,NE
2015-01-15909,2015,Janzon 2015 Heart,6800,Ticagrelor VERSUS Clopidrogel IN Specific disease- Acute coronary syndromes; Age- Adult; Gender- Not Specified; Country- Brazil.,25227704,Specific disease- Acute coronary syndromes; Age- Adult; Gender- Not Specified; Country- Brazil.,Ticagrelor,Health economic analysis of ticagrelor in patients with acute coronary syndromes  intended for non-invasive therapy.,Clopidrogel,NE
2015-01-15909,2015,Janzon 2015 Heart,6800,Ticagrelor VERSUS Clopidrogel IN Specific disease- Acute coronary syndromes; Age- Adult; Gender- Not Specified; Country- Germany.,25227704,Specific disease- Acute coronary syndromes; Age- Adult; Gender- Not Specified; Country- Germany.,Ticagrelor,Health economic analysis of ticagrelor in patients with acute coronary syndromes  intended for non-invasive therapy.,Clopidrogel,NE
