Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34196,2020,Chew 2020 Int J Stroke,32000,"implantable loop recorder VERSUS Standard/Usual Care- conventional monitoring (24- to 48- hour Holter) IN Specific disease- cryptogenic stroke; Age- 41 to 64 years; Gender- Both; Country- Canada; Other- hospital presentation with acute stroke or transient ichemic attack, no prior documentation of atrial fibrillation, additional cardiac monitoring would be needed to screen for paroxysmal atrial fibrillation.",33232196,"Specific disease- cryptogenic stroke; Age- 41 to 64 years; Gender- Both; Country- Canada; Other- hospital presentation with acute stroke or transient ichemic attack, no prior documentation of atrial fibrillation, additional cardiac monitoring would be needed to screen for paroxysmal atrial fibrillation.",implantable loop recorder,Economic evaluation of extended electrocardiogram monitoring for atrial fibrillation  in patients with cryptogenic stroke.,Standard/Usual Care- conventional monitoring (24- to 48- hour Holter),NE
2020-01-34178,2020,Agarwal 2020 BMJ Open,2400,"chronic disease prevention/health promotion program VERSUS Standard/Usual Care- standard/usual care IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Canada; Other- low-income seniors, in subsidized/social housing in five communities across Ontario, Canada.",33109643,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Canada; Other- low-income seniors, in subsidized/social housing in five communities across Ontario, Canada.",chronic disease prevention/health promotion program,Cost-effectiveness analysis of a community paramedicine programme for low-income  seniors living in subsidised housing: the community paramedicine at clinic programme  (CP@clinic).,Standard/Usual Care- standard/usual care,NE
2020-01-34082,2020,Sankar 2020 Anesthesiology,1700,stop-bang + polysomnography VERSUS None IN Specific disease- obstructive sleep apnea; Age- Adult; Gender- Both; Country- Canada; Other- underwent elective inpatient noncardiac surgery.,32930728,Specific disease- obstructive sleep apnea; Age- Adult; Gender- Both; Country- Canada; Other- underwent elective inpatient noncardiac surgery.,stop-bang + polysomnography,Cost-effectiveness Analysis of Preoperative Screening Strategies for Obstructive  Sleep Apnea among Patients Undergoing Elective Inpatient Surgery.,None,NE
2020-01-34082,2020,Sankar 2020 Anesthesiology,2700,stop-bang + portable monitor VERSUS None IN Specific disease- obstructive sleep apnea; Age- Adult; Gender- Both; Country- Canada; Other- underwent elective inpatient noncardiac surgery.,32930728,Specific disease- obstructive sleep apnea; Age- Adult; Gender- Both; Country- Canada; Other- underwent elective inpatient noncardiac surgery.,stop-bang + portable monitor,Cost-effectiveness Analysis of Preoperative Screening Strategies for Obstructive  Sleep Apnea among Patients Undergoing Elective Inpatient Surgery.,None,NE
2020-01-34082,2020,Sankar 2020 Anesthesiology,Dominated,stop-bang alone VERSUS stop-bang + polysomnography IN Specific disease- obstructive sleep apnea; Age- Adult; Gender- Both; Country- Canada; Other- undergoing elective inpatient noncardiac surgery.,32930728,Specific disease- obstructive sleep apnea; Age- Adult; Gender- Both; Country- Canada; Other- undergoing elective inpatient noncardiac surgery.,stop-bang alone,Cost-effectiveness Analysis of Preoperative Screening Strategies for Obstructive  Sleep Apnea among Patients Undergoing Elective Inpatient Surgery.,stop-bang + polysomnography,NW
2020-01-34067,2020,Abu-Raya 2020 CMAJ Open,34000,"pertussis vaccination for pregnant women VERSUS None IN Specific disease- pertussis; Age- 0 to 18 years, Adult; Gender- Both; Country- Canada; Other- infants and pregnant women.",33077536,"Specific disease- pertussis; Age- 0 to 18 years, Adult; Gender- Both; Country- Canada; Other- infants and pregnant women.",pertussis vaccination for pregnant women,Pertussis vaccination in pregnancy in Canada: a cost-utility analysis.,None,NE
2020-01-34032,2020,Maser 2020 Pediatr Blood Cancer,Cost-Saving,"levofloxacin prophylaxis VERSUS Standard/Usual Care- no prophylaxis IN Specific disease- acute lymphocytic leukemia; Age- 0 to 18 years, 19 to 40 years; Gender- Both; Country- Canada.",32785971,"Specific disease- acute lymphocytic leukemia; Age- 0 to 18 years, 19 to 40 years; Gender- Both; Country- Canada.",levofloxacin prophylaxis,Levofloxacin prophylaxis in hospitalized children with leukemia: A cost-utility  analysis.,Standard/Usual Care- no prophylaxis,SE
2020-01-33718,2020,Johnston 2020 J. Med. Econ.,Cost-Saving,abobotulinumtoxina VERSUS onabotulinumtoxina IN Specific disease- pediatric lower limb spasticity; Age- 0 to 18 years; Gender- Both; Country- Canada.,0,Specific disease- pediatric lower limb spasticity; Age- 0 to 18 years; Gender- Both; Country- Canada.,abobotulinumtoxina,Cost effectiveness and impact on quality of life of abobotulinumtoxinA and onabotulinumtoxinA in the treatment of children with lower limb spasticity in Canada.,onabotulinumtoxina,SE
2020-01-33706,2020,Perdrizet 2020 Int. J. Radiat. Oncol. Biol. Phys.,1200,"mri guided brachytherapy VERSUS computed tomography guided brachytherapy IN Specific disease- cervical cancer; Age- 41 to 64 years; Gender- Female; Country- Canada; Other- FIGO stage IB to IIA (low-risk) cervical cancer treated with curative-intent external beam radiation, cisplatin followed by brachytherapy.",0,"Specific disease- cervical cancer; Age- 41 to 64 years; Gender- Female; Country- Canada; Other- FIGO stage IB to IIA (low-risk) cervical cancer treated with curative-intent external beam radiation, cisplatin followed by brachytherapy.",mri guided brachytherapy,A Cost-Utility Analysis of Magnetic Resonance (MR) Guided Brachytherapy Versus Two-Dimensional and Computed Tomography (CT) Guided Brachytherapy for Locally Advanced Cervical Cancer.,computed tomography guided brachytherapy,NE
2020-01-33706,2020,Perdrizet 2020 Int. J. Radiat. Oncol. Biol. Phys.,Cost-Saving,"mri guided brachytherapy VERSUS 2-dimensional image guided brachytherapy IN Specific disease- cervical cancer; Age- 41 to 64 years; Gender- Female; Country- Canada; Other- FIGO stage IB to IIA (low-risk) cervical cancer treated with curative-intent external beam radiation, cisplatin followed by brachytherapy.",0,"Specific disease- cervical cancer; Age- 41 to 64 years; Gender- Female; Country- Canada; Other- FIGO stage IB to IIA (low-risk) cervical cancer treated with curative-intent external beam radiation, cisplatin followed by brachytherapy.",mri guided brachytherapy,A Cost-Utility Analysis of Magnetic Resonance (MR) Guided Brachytherapy Versus Two-Dimensional and Computed Tomography (CT) Guided Brachytherapy for Locally Advanced Cervical Cancer.,2-dimensional image guided brachytherapy,SE
2020-01-33706,2020,Perdrizet 2020 Int. J. Radiat. Oncol. Biol. Phys.,Cost-Saving,"mri guided brachytherapy VERSUS 2-dimensional image guided brachytherapy IN Specific disease- cervical cancer; Age- 41 to 64 years; Gender- Female; Country- Canada; Other- FIGO stage IB to IIIB cervical cancer treated with curative-intent external beam radiation, cisplatin followed by brachytherapy.",0,"Specific disease- cervical cancer; Age- 41 to 64 years; Gender- Female; Country- Canada; Other- FIGO stage IB to IIIB cervical cancer treated with curative-intent external beam radiation, cisplatin followed by brachytherapy.",mri guided brachytherapy,A Cost-Utility Analysis of Magnetic Resonance (MR) Guided Brachytherapy Versus Two-Dimensional and Computed Tomography (CT) Guided Brachytherapy for Locally Advanced Cervical Cancer.,2-dimensional image guided brachytherapy,SE
2020-01-33706,2020,Perdrizet 2020 Int. J. Radiat. Oncol. Biol. Phys.,Cost-Saving,"mri guided brachytherapy VERSUS 2-dimensional image guided brachytherapy IN Specific disease- cervical cancer; Age- 41 to 64 years; Gender- Female; Country- Canada; Other- FIGO stage IIB to IIIB (high-risk) cervical cancer treated with curative-intent external beam radiation, cisplatin followed by brachytherapy.",0,"Specific disease- cervical cancer; Age- 41 to 64 years; Gender- Female; Country- Canada; Other- FIGO stage IIB to IIIB (high-risk) cervical cancer treated with curative-intent external beam radiation, cisplatin followed by brachytherapy.",mri guided brachytherapy,A Cost-Utility Analysis of Magnetic Resonance (MR) Guided Brachytherapy Versus Two-Dimensional and Computed Tomography (CT) Guided Brachytherapy for Locally Advanced Cervical Cancer.,2-dimensional image guided brachytherapy,SE
