Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-35843,2020,Kawakami 2020 Circ Rep,91000,"polysomnography guided screening for obstructive sleep apnea VERSUS portable monitor screening for obstructive sleep apnea IN Specific disease- atrial fibrillation; Age- >=65 years; Gender- Both; Country- Japan; Other- symptomatic, CHADS2 score = 2.",33693276,"Specific disease- atrial fibrillation; Age- >=65 years; Gender- Both; Country- Japan; Other- symptomatic, CHADS2 score = 2.",polysomnography guided screening for obstructive sleep apnea,Cost-Effectiveness of Obstructive Sleep Apnea Screening and Treatment Before  Catheter Ablation for Symptomatic Atrial Fibrillation.,portable monitor screening for obstructive sleep apnea,NE
2020-01-35843,2020,Kawakami 2020 Circ Rep,Cost-Saving,"polysomnography guided screening for obstructive sleep apnea VERSUS None IN Specific disease- atrial fibrillation; Age- >=65 years; Gender- Both; Country- Japan; Other- symptomatic, CHADS2 score = 2.",33693276,"Specific disease- atrial fibrillation; Age- >=65 years; Gender- Both; Country- Japan; Other- symptomatic, CHADS2 score = 2.",polysomnography guided screening for obstructive sleep apnea,Cost-Effectiveness of Obstructive Sleep Apnea Screening and Treatment Before  Catheter Ablation for Symptomatic Atrial Fibrillation.,None,SE
2020-01-35843,2020,Kawakami 2020 Circ Rep,Cost-Saving,"portable monitor guided screening for obstructive sleep apnea VERSUS None IN Specific disease- atrial fibrillation; Age- >=65 years; Gender- Both; Country- Japan; Other- symptomatic, CHADS2 score = 2.",33693276,"Specific disease- atrial fibrillation; Age- >=65 years; Gender- Both; Country- Japan; Other- symptomatic, CHADS2 score = 2.",portable monitor guided screening for obstructive sleep apnea,Cost-Effectiveness of Obstructive Sleep Apnea Screening and Treatment Before  Catheter Ablation for Symptomatic Atrial Fibrillation.,None,SE
2020-01-35025,2020,Brandão 2020 Oncologist,13,"multidisciplinary tumor board VERSUS Standard/Usual Care- usual care without multidisciplinary tumor board IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Mozambique; Other- newly diagnosed, maputo central hospital.",33325595,"Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Mozambique; Other- newly diagnosed, maputo central hospital.",multidisciplinary tumor board,"Survival Impact and Cost-Effectiveness of a Multidisciplinary Tumor Board for Breast  Cancer in Mozambique, Sub-Saharan Africa.",Standard/Usual Care- usual care without multidisciplinary tumor board,NE
2020-01-33322,2020,Eldabe 2020 Pain,90000,screening trial for spinal cord stimulation implantation VERSUS spinal cord stimulation implantation alone IN Specific disease- neuropathic pain; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,0,Specific disease- neuropathic pain; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,screening trial for spinal cord stimulation implantation,Does a screening trial for spinal cord stimulation in patients with chronic pain of neuropathic origin have clinical utility and cost-effectiveness (TRIAL-STIM)? a randomised controlled trial.,spinal cord stimulation implantation alone,NE
2020-01-33322,2020,Eldabe 2020 Pain,95000,screening trial for spinal cord stimulation implantation VERSUS spinal cord stimulation device implantation alone IN Specific disease- neuropathic pain; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,0,Specific disease- neuropathic pain; Age- 19 to 40 years; Gender- Both; Country- United Kingdom.,screening trial for spinal cord stimulation implantation,Does a screening trial for spinal cord stimulation in patients with chronic pain of neuropathic origin have clinical utility and cost-effectiveness (TRIAL-STIM)? a randomised controlled trial.,spinal cord stimulation device implantation alone,NE
2020-01-32796,2020,Ward 2020 Breast Cancer Res. Treat.,110000,aromatase inhibitor + accelerated partial-breast irradiation VERSUS accelerated partial-breast irradiation IN Specific disease- breast cancer; Age- >=65 years; Gender- Female; Country- United States; Other- low-risk hormone-positive early-stage breast cancer.,32468336,Specific disease- breast cancer; Age- >=65 years; Gender- Female; Country- United States; Other- low-risk hormone-positive early-stage breast cancer.,aromatase inhibitor + accelerated partial-breast irradiation,Cost-effectiveness analysis of endocrine therapy alone versus partial-breast  irradiation alone versus combined treatment for low-risk hormone-positive  early-stage breast cancer in women aged 70 years or older.,accelerated partial-breast irradiation,NE
2020-01-32796,2020,Ward 2020 Breast Cancer Res. Treat.,170000,aromatase inhibitor + accelerated partial-breast irradiation VERSUS aromatase inhibitor IN Specific disease- breast cancer; Age- >=65 years; Gender- Female; Country- United States; Other- low-risk hormone-positive early-stage breast cancer.,32468336,Specific disease- breast cancer; Age- >=65 years; Gender- Female; Country- United States; Other- low-risk hormone-positive early-stage breast cancer.,aromatase inhibitor + accelerated partial-breast irradiation,Cost-effectiveness analysis of endocrine therapy alone versus partial-breast  irradiation alone versus combined treatment for low-risk hormone-positive  early-stage breast cancer in women aged 70 years or older.,aromatase inhibitor,NE
2020-01-32796,2020,Ward 2020 Breast Cancer Res. Treat.,Dominated,accelerated partial-breast irradiation alone VERSUS aromatase inhibitor alone IN Specific disease- breast cancer; Age- >=65 years; Gender- Female; Country- United States; Other- low-risk hormone-positive early-stage breast cancer.,32468336,Specific disease- breast cancer; Age- >=65 years; Gender- Female; Country- United States; Other- low-risk hormone-positive early-stage breast cancer.,accelerated partial-breast irradiation alone,Cost-effectiveness analysis of endocrine therapy alone versus partial-breast  irradiation alone versus combined treatment for low-risk hormone-positive  early-stage breast cancer in women aged 70 years or older.,aromatase inhibitor alone,NW
2020-01-31991,2020,Sullivan 2020 Curr Med Res Opin,78000,omalizumab + standard of care VERSUS Standard/Usual Care- Steroids and/or bronchodilators IN Specific disease- allergic asthma; Age- Adult; Gender- Both; Country- United States; Other- Moderate-to-severe uncontrolled allergic asthma.,31491337,Specific disease- allergic asthma; Age- Adult; Gender- Both; Country- United States; Other- Moderate-to-severe uncontrolled allergic asthma.,omalizumab + standard of care,Cost-effectiveness of omalizumab for the treatment of moderate-to-severe uncontrolled allergic asthma in the United States.,Standard/Usual Care- Steroids and/or bronchodilators,NE
2019-01-31724,2019,Lindsater 2019 J Med Internet Res,43000,"internet-based cognitive behavioral therapy VERSUS None IN Specific disease- stress-related disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Sweden; Other- adjustment disorder or exhaustion disorder.",31586370,"Specific disease- stress-related disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Sweden; Other- adjustment disorder or exhaustion disorder.",internet-based cognitive behavioral therapy,Cost-Effectiveness of Therapist-Guided Internet-Based Cognitive Behavioral Therapy for Stress-Related Disorders: Secondary Analysis of a Randomized Controlled Trial.,None,NE
2019-01-31724,2019,Lindsater 2019 J Med Internet Res,Cost-Saving,"internet-based cognitive behavioral therapy VERSUS None IN Specific disease- stress-related disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Sweden; Other- adjustment disorder or exhaustion disorder.",31586370,"Specific disease- stress-related disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Sweden; Other- adjustment disorder or exhaustion disorder.",internet-based cognitive behavioral therapy,Cost-Effectiveness of Therapist-Guided Internet-Based Cognitive Behavioral Therapy for Stress-Related Disorders: Secondary Analysis of a Randomized Controlled Trial.,None,SE
2019-01-31114,2019,Suman 2019 BMJ Open,Cost-Saving,"multifaced e-health strategy VERSUS Standard/Usual Care- Digital patient information only IN Specific disease- low back pain; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands.",31811006,"Specific disease- low back pain; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands.",multifaced e-health strategy,Effectiveness and cost-utility of a multifaceted eHealth strategy to improve back pain beliefs of patients with non-specific low back pain: a cluster randomised trial.,Standard/Usual Care- Digital patient information only,SE
2019-01-31018,2019,Firmino-Machado 2019 Eur J Public Health,10000,"invitation based on automated sms/phonecalls/reminders + manual phone calls VERSUS Invitation based on automated SMS/phonecalls/reminders IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",31848592,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",invitation based on automated sms/phonecalls/reminders + manual phone calls,Cost-effectiveness of a stepwise intervention to promote adherence to cervical cancer screening.,Invitation based on automated SMS/phonecalls/reminders,NE
2019-01-31018,2019,Firmino-Machado 2019 Eur J Public Health,210000,"invitation based on automated sms/phonecalls/reminders + manual phone calls + face to face interview VERSUS Invitation based on automated SMS/phonecalls/reminders + manual phone calls IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",31848592,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",invitation based on automated sms/phonecalls/reminders + manual phone calls + face to face interview,Cost-effectiveness of a stepwise intervention to promote adherence to cervical cancer screening.,Invitation based on automated SMS/phonecalls/reminders + manual phone calls,NE
2019-01-31018,2019,Firmino-Machado 2019 Eur J Public Health,220000,"invitation based on automated sms/phonecalls/reminders + manual phone calls + face to face interview VERSUS Invitation based on automated SMS/phonecalls/reminders + manual phone calls IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",31848592,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",invitation based on automated sms/phonecalls/reminders + manual phone calls + face to face interview,Cost-effectiveness of a stepwise intervention to promote adherence to cervical cancer screening.,Invitation based on automated SMS/phonecalls/reminders + manual phone calls,NE
2019-01-31018,2019,Firmino-Machado 2019 Eur J Public Health,3400,"invitation based on automated sms/phonecalls/reminders + manual phone calls VERSUS Invitation based on automated SMS/phonecalls/reminders IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",31848592,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",invitation based on automated sms/phonecalls/reminders + manual phone calls,Cost-effectiveness of a stepwise intervention to promote adherence to cervical cancer screening.,Invitation based on automated SMS/phonecalls/reminders,NE
2019-01-31018,2019,Firmino-Machado 2019 Eur J Public Health,Dominated,"invitation based on a written letter VERSUS Invitation based on automated SMS/phonecalls/reminders + manual phone calls IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",31848592,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",invitation based on a written letter,Cost-effectiveness of a stepwise intervention to promote adherence to cervical cancer screening.,Invitation based on automated SMS/phonecalls/reminders + manual phone calls,NW
2019-01-31018,2019,Firmino-Machado 2019 Eur J Public Health,Dominated,"invitation based on a written letter VERSUS Invitation based on automated SMS/phonecalls/reminders IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",31848592,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",invitation based on a written letter,Cost-effectiveness of a stepwise intervention to promote adherence to cervical cancer screening.,Invitation based on automated SMS/phonecalls/reminders,NW
2019-01-30151,2019,Viratanapanu 2019 J Obes,840,bariatric surgery VERSUS Standard/Usual Care- Ordinary treatment IN Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Thailand; Other- Morbidly obese.,30863633,Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Thailand; Other- Morbidly obese.,bariatric surgery,Cost-Effectiveness Evaluation of Bariatric Surgery for Morbidly Obese with Diabetes Patients in Thailand.,Standard/Usual Care- Ordinary treatment,NE
1 2 3 4 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
