Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34898,2020,Chen 2020 Appl Health Econ Health Policy,Dominated,elbasvir/grazoprevir VERSUS ledipasvir/sofosbuvir IN Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- treatment experienced.,33210262,Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- treatment experienced.,elbasvir/grazoprevir,Cost-Effectiveness Analysis of Oral Direct-Acting Antivirals for Chinese Patients  with Chronic Hepatitis C.,ledipasvir/sofosbuvir,NW
2020-01-34898,2020,Chen 2020 Appl Health Econ Health Policy,Dominated,elbasvir/grazoprevir VERSUS ledipasvir/sofosbuvir IN Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- treatment naive.,33210262,Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- treatment naive.,elbasvir/grazoprevir,Cost-Effectiveness Analysis of Oral Direct-Acting Antivirals for Chinese Patients  with Chronic Hepatitis C.,ledipasvir/sofosbuvir,NW
2020-01-34898,2020,Chen 2020 Appl Health Econ Health Policy,Dominated,glecaprevir/pibrentasvir VERSUS ledipasvir/sofosbuvir IN Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- noncirrhotic.,33210262,Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- noncirrhotic.,glecaprevir/pibrentasvir,Cost-Effectiveness Analysis of Oral Direct-Acting Antivirals for Chinese Patients  with Chronic Hepatitis C.,ledipasvir/sofosbuvir,NW
2020-01-34898,2020,Chen 2020 Appl Health Econ Health Policy,Dominated,glecaprevir/pibrentasvir VERSUS ledipasvir/sofosbuvir IN Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- treatment experienced.,33210262,Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- treatment experienced.,glecaprevir/pibrentasvir,Cost-Effectiveness Analysis of Oral Direct-Acting Antivirals for Chinese Patients  with Chronic Hepatitis C.,ledipasvir/sofosbuvir,NW
2020-01-34898,2020,Chen 2020 Appl Health Econ Health Policy,Dominated,glecaprevir/pibrentasvir VERSUS sofosbuvir/velpatasvir IN Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- genotype 6.,33210262,Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- genotype 6.,glecaprevir/pibrentasvir,Cost-Effectiveness Analysis of Oral Direct-Acting Antivirals for Chinese Patients  with Chronic Hepatitis C.,sofosbuvir/velpatasvir,NW
2020-01-34898,2020,Chen 2020 Appl Health Econ Health Policy,Dominated,ledipasvir/sofosbuvir VERSUS elbasvir/grazoprevir IN Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- cirrhotic.,33210262,Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- cirrhotic.,ledipasvir/sofosbuvir,Cost-Effectiveness Analysis of Oral Direct-Acting Antivirals for Chinese Patients  with Chronic Hepatitis C.,elbasvir/grazoprevir,NW
2020-01-34898,2020,Chen 2020 Appl Health Econ Health Policy,Dominated,sofosbuvir/velpatasvir VERSUS elbasvir/grazoprevir IN Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- cirrhotic.,33210262,Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- cirrhotic.,sofosbuvir/velpatasvir,Cost-Effectiveness Analysis of Oral Direct-Acting Antivirals for Chinese Patients  with Chronic Hepatitis C.,elbasvir/grazoprevir,NW
2020-01-34898,2020,Chen 2020 Appl Health Econ Health Policy,Dominated,sofosbuvir/velpatasvir VERSUS ledipasvir/sofosbuvir IN Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- genotype 2.,33210262,Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- genotype 2.,sofosbuvir/velpatasvir,Cost-Effectiveness Analysis of Oral Direct-Acting Antivirals for Chinese Patients  with Chronic Hepatitis C.,ledipasvir/sofosbuvir,NW
2020-01-34898,2020,Chen 2020 Appl Health Econ Health Policy,Dominated,sofosbuvir/velpatasvir VERSUS ledipasvir/sofosbuvir IN Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- noncirrhotic.,33210262,Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- noncirrhotic.,sofosbuvir/velpatasvir,Cost-Effectiveness Analysis of Oral Direct-Acting Antivirals for Chinese Patients  with Chronic Hepatitis C.,ledipasvir/sofosbuvir,NW
2020-01-34898,2020,Chen 2020 Appl Health Econ Health Policy,Dominated,sofosbuvir/velpatasvir VERSUS ledipasvir/sofosbuvir IN Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- treatment experienced.,33210262,Specific disease- hepatitis c; Age- 41 to 64 years; Gender- Both; Country- China; Other- treatment experienced.,sofosbuvir/velpatasvir,Cost-Effectiveness Analysis of Oral Direct-Acting Antivirals for Chinese Patients  with Chronic Hepatitis C.,ledipasvir/sofosbuvir,NW
