Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2017-01-25730,2017,McMurray 2017 Heart,6.6e+007,Sacubitril/valsartan VERSUS Standard/Usual Care- Angiotensin-converting-enzyme inhibitor IN Specific disease- Heart failure; Age- Adult; Gender- Both; Country- Colombia; Other- Heart failure with reduced ejection fraction.,29269379,Specific disease- Heart failure; Age- Adult; Gender- Both; Country- Colombia; Other- Heart failure with reduced ejection fraction.,Sacubitril/valsartan,Cost-effectiveness of sacubitril/valsartan in the treatment of heart failure with reduced ejection fraction.,Standard/Usual Care- Angiotensin-converting-enzyme inhibitor,NE
2017-01-23481,2017,Montes 2017 Otol Neurotol,19000,Cochlear implant VERSUS None IN Specific disease- Deafness; Age- 0 to 18 years; Gender- Both; Country- Colombia; Other- Children with bilateral profound sensorineural hearing loss (profound deafness) in Colombia.,28353624,Specific disease- Deafness; Age- 0 to 18 years; Gender- Both; Country- Colombia; Other- Children with bilateral profound sensorineural hearing loss (profound deafness) in Colombia.,Cochlear implant,"Cochlear Implants Versus Hearing Aids in a Middle-Income Country: Costs, Productivity, and Quality of Life.",None,NE
2017-01-23481,2017,Montes 2017 Otol Neurotol,9000,Hearing aids VERSUS None IN Specific disease- Deafness; Age- 0 to 18 years; Gender- Both; Country- Colombia; Other- Children with bilateral profound sensorineural hearing loss (profound deafness) in Colombia.,28353624,Specific disease- Deafness; Age- 0 to 18 years; Gender- Both; Country- Colombia; Other- Children with bilateral profound sensorineural hearing loss (profound deafness) in Colombia.,Hearing aids,"Cochlear Implants Versus Hearing Aids in a Middle-Income Country: Costs, Productivity, and Quality of Life.",None,NE
2016-01-22205,2016,Gomez 2016 Endocrinol Nutr,27,integrated pump/continuous glucose monitoring technology VERSUS multiple dose insulin injections IN Specific disease- Diabetes; Age- Adult; Gender- Both; Country- Colombia; Other- type 1 diabetes.,27595241,Specific disease- Diabetes; Age- Adult; Gender- Both; Country- Colombia; Other- type 1 diabetes.,integrated pump/continuous glucose monitoring technology,Clinical and economic benefits of integrated pump/CGM technology therapy in patients with type 1 diabetes in Colombia.,multiple dose insulin injections,NE
2016-01-21541,2016,Castro Jaramillo 2016 Int J Technol Assess Health Care,110000,Primary prophylaxis using reecombinant Factor VIII (On demand) VERSUS Primary Prophylaxis IN Specific disease- Severe Hemophilia Type A; Age- Adult; Gender- Both; Country- Colombia.,27919309,Specific disease- Severe Hemophilia Type A; Age- Adult; Gender- Both; Country- Colombia.,Primary prophylaxis using reecombinant Factor VIII (On demand),"COST-UTILITY ANALYSIS OF PRIMARY PROPHYLAXIS, COMPARED WITH ON-DEMAND TREATMENT,  FOR PATIENTS WITH SEVERE HEMOPHILIA TYPE A IN COLOMBIA.",Primary Prophylaxis,NE
2016-01-21541,2016,Castro Jaramillo 2016 Int J Technol Assess Health Care,64000,Primary prophylaxis using Factor VIII (On demand) VERSUS Primary Prophylaxis IN Specific disease- Severe Hemophilia Type A; Age- Adult; Gender- Both; Country- Colombia.,27919309,Specific disease- Severe Hemophilia Type A; Age- Adult; Gender- Both; Country- Colombia.,Primary prophylaxis using Factor VIII (On demand),"COST-UTILITY ANALYSIS OF PRIMARY PROPHYLAXIS, COMPARED WITH ON-DEMAND TREATMENT,  FOR PATIENTS WITH SEVERE HEMOPHILIA TYPE A IN COLOMBIA.",Primary Prophylaxis,NE
2015-01-20148,2015,Mejia 2015 Biomedica,18000,"Aspirin plus ticagrelor with an initial dose of ticagrelor of 180 mg, and then 90 mg twice a day for a year VERSUS Aspirin plus clopidogrel, which is the strategy contemplated in the current protocol of the Columbian health system, with an initial does of clopidogrel of 300 mg, and then 75 mg per day for a year IN Specific disease- acute cornary syndrome; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- colombia.",26844442,"Specific disease- acute cornary syndrome; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- colombia.","Aspirin plus ticagrelor with an initial dose of ticagrelor of 180 mg, and then 90 mg twice a day for a year",Cost-effectiveness analysis of ticagrelor compared to clopidogrel for the treatment of patients with acute coronary syndrome in Colombia.,"Aspirin plus clopidogrel, which is the strategy contemplated in the current protocol of the Columbian health system, with an initial does of clopidogrel of 300 mg, and then 75 mg per day for a year",NE
2014-01-16308,2014,Rodriguez-Martinez 2014 Pediatr Pulmonol,Cost-Saving,Daily inhaled corticosteroids (ICS) among preschool patients VERSUS Standard/Usual Care- intermittent inhaled corticosteroids (ICS) IN Specific disease- mild-persistent asthma; Age- 0 to 18 years; Gender- Both; Country- United States.,24965279,Specific disease- mild-persistent asthma; Age- 0 to 18 years; Gender- Both; Country- United States.,Daily inhaled corticosteroids (ICS) among preschool patients,Cost-utility analysis of daily versus intermittent inhaled corticosteroids in mild-persistent asthma.,Standard/Usual Care- intermittent inhaled corticosteroids (ICS),SE
2014-01-16308,2014,Rodriguez-Martinez 2014 Pediatr Pulmonol,Cost-Saving,Daily inhaled corticosteroids (ICS) among school patients VERSUS Standard/Usual Care- intermittent inhaled corticosteroids (ICS) IN Specific disease- mild-persistent asthma; Age- 0 to 18 years; Gender- Both; Country- Colombia.,24965279,Specific disease- mild-persistent asthma; Age- 0 to 18 years; Gender- Both; Country- Colombia.,Daily inhaled corticosteroids (ICS) among school patients,Cost-utility analysis of daily versus intermittent inhaled corticosteroids in mild-persistent asthma.,Standard/Usual Care- intermittent inhaled corticosteroids (ICS),SE
2014-01-15253,2014,Corso 2014 Int J Surg,Dominated,Partial thyroidectomy VERSUS Total thyroidectomy IN Specific disease- Thyroid nodule; Age- Adult; Gender- Both; Country- Colombia.,25017947,Specific disease- Thyroid nodule; Age- Adult; Gender- Both; Country- Colombia.,Partial thyroidectomy,Total thyroidectomy versus hemithyroidectomy for patients with follicular neoplasm. A cost-utility analysis.,Total thyroidectomy,NW
2013-01-15170,2013,Buendia 2013 Biomedica,85000,Adjuvant trastuzumab (52 weeks) + standard anthracycline/taxane-based chemotherapy VERSUS Standard/Usual Care- standard anthracycline/taxane-based chemotherapy IN Specific disease- early HER2-positive breast cancer; Age- 41 to 64 years; Gender- Female; Country- Colombia.,24652177,Specific disease- early HER2-positive breast cancer; Age- 41 to 64 years; Gender- Female; Country- Colombia.,Adjuvant trastuzumab (52 weeks) + standard anthracycline/taxane-based chemotherapy,An economic evaluation of trastuzumab as adjuvant treatment of early HER2-positive breast cancer patients in Colombia.,Standard/Usual Care- standard anthracycline/taxane-based chemotherapy,NE
2013-01-14300,2013,Marti                            2013 Cost Eff Resour Alloc,3600,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru.,24004943,Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru.,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV),A cost-effectiveness analysis of a 10-valent pneumococcal conjugate vaccine in children in six Latin American countries.,None,NE
2013-01-14300,2013,Marti                            2013 Cost Eff Resour Alloc,4000,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Argentina.,24004943,Healthy; Age- 0 to 18 years; Gender- Both; Country- Argentina.,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV),A cost-effectiveness analysis of a 10-valent pneumococcal conjugate vaccine in children in six Latin American countries.,None,NE
2013-01-14300,2013,Marti                            2013 Cost Eff Resour Alloc,4800,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Colombia.,24004943,Healthy; Age- 0 to 18 years; Gender- Both; Country- Colombia.,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV),A cost-effectiveness analysis of a 10-valent pneumococcal conjugate vaccine in children in six Latin American countries.,None,NE
