Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-32820,2020,Ioannou 2020 Int. J. Environ. Res. Public Health,17000,anthracyclines + trastuzumab VERSUS Chemotherapy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,32560485,Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,anthracyclines + trastuzumab,Real-World Setting Cost-Effectiveness Analysis Comparing Three Therapeutic Schemes  of One-Year Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer from the  Cyprus NHS Payer Perspective.,Chemotherapy,NE
2020-01-32820,2020,Ioannou 2020 Int. J. Environ. Res. Public Health,21000,trastuzumab VERSUS Chemotherapy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,32560485,Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,trastuzumab,Real-World Setting Cost-Effectiveness Analysis Comparing Three Therapeutic Schemes  of One-Year Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer from the  Cyprus NHS Payer Perspective.,Chemotherapy,NE
2020-01-32820,2020,Ioannou 2020 Int. J. Environ. Res. Public Health,22000,anthracyclines + trastuzumab VERSUS Chemotherapy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,32560485,Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,anthracyclines + trastuzumab,Real-World Setting Cost-Effectiveness Analysis Comparing Three Therapeutic Schemes  of One-Year Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer from the  Cyprus NHS Payer Perspective.,Chemotherapy,NE
2020-01-32820,2020,Ioannou 2020 Int. J. Environ. Res. Public Health,28000,no anthracyclines + trastuzumab VERSUS Chemotherapy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,32560485,Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,no anthracyclines + trastuzumab,Real-World Setting Cost-Effectiveness Analysis Comparing Three Therapeutic Schemes  of One-Year Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer from the  Cyprus NHS Payer Perspective.,Chemotherapy,NE
2020-01-32820,2020,Ioannou 2020 Int. J. Environ. Res. Public Health,29000,anthracyclines + taxanes + trastuzumab VERSUS Chemotherapy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,32560485,Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,anthracyclines + taxanes + trastuzumab,Real-World Setting Cost-Effectiveness Analysis Comparing Three Therapeutic Schemes  of One-Year Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer from the  Cyprus NHS Payer Perspective.,Chemotherapy,NE
2020-01-32820,2020,Ioannou 2020 Int. J. Environ. Res. Public Health,29000,anthracyclines + taxanes + trastuzumab VERSUS chemotherapy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2-positive early breast cancer.,32560485,Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2-positive early breast cancer.,anthracyclines + taxanes + trastuzumab,Real-World Setting Cost-Effectiveness Analysis Comparing Three Therapeutic Schemes  of One-Year Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer from the  Cyprus NHS Payer Perspective.,chemotherapy,NE
2020-01-32820,2020,Ioannou 2020 Int. J. Environ. Res. Public Health,33000,no anthracyclines + trastuzumab VERSUS Chemotherapy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,32560485,Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,no anthracyclines + trastuzumab,Real-World Setting Cost-Effectiveness Analysis Comparing Three Therapeutic Schemes  of One-Year Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer from the  Cyprus NHS Payer Perspective.,Chemotherapy,NE
2020-01-32820,2020,Ioannou 2020 Int. J. Environ. Res. Public Health,48000,trastuzumab VERSUS Chemotherapy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,32560485,Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Cyprus; Other- her2+ breast cancer.,trastuzumab,Real-World Setting Cost-Effectiveness Analysis Comparing Three Therapeutic Schemes  of One-Year Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer from the  Cyprus NHS Payer Perspective.,Chemotherapy,NE
2015-01-18104,2015,Petrou 2015 Expert Opin Pharmacother,130000,Antinib (5mg twice daily) VERSUS Standard/Usual Care- sorafenib (400 mg twice daily) IN Specific disease- renal cell carcinoma; Age- Adult; Gender- Both; Country- Cyprus; Other- patients have been previously treated with sunitinib or cytokines.,25958963,Specific disease- renal cell carcinoma; Age- Adult; Gender- Both; Country- Cyprus; Other- patients have been previously treated with sunitinib or cytokines.,Antinib (5mg twice daily),Cost-effectiveness analysis of axitinib through a probabilistic decision model.,Standard/Usual Care- sorafenib (400 mg twice daily),NE
2014-01-14978,2014,Petrou 2014 Expert Rev Pharmacoecon Outcomes Res,160000,Sorafenib VERSUS Standard/Usual Care- Best supportive care (BSC) IN Specific disease- Renal cell carcinoma (RCC); Age- Adult; Gender- Both; Country- Cyprus; Other- Usually asymptomatic.,24397606,Specific disease- Renal cell carcinoma (RCC); Age- Adult; Gender- Both; Country- Cyprus; Other- Usually asymptomatic.,Sorafenib,Cost-effectiveness of sorafenib compared to best supportive care in second line renal cell cancer from a payer perspective in Cyprus.,Standard/Usual Care- Best supportive care (BSC),NE
