Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2019-01-31704,2019,Asphaug 2019 Hepatology,510,direct liver stiffness measurement testing VERSUS Standard/Usual Care- Routine liver function tests applied in parallel with follow-up ultrasonography for test-positives IN Specific disease- excessive alcohol intake; Age- 41 to 64 years; Gender- Both; Country- Denmark.,31595545,Specific disease- excessive alcohol intake; Age- 41 to 64 years; Gender- Both; Country- Denmark.,direct liver stiffness measurement testing,Cost-Effectiveness of Noninvasive Screening for Alcohol-Related Liver Fibrosis.,Standard/Usual Care- Routine liver function tests applied in parallel with follow-up ultrasonography for test-positives,NE
2019-01-31704,2019,Asphaug 2019 Hepatology,5600,enhanced liver fibrosis test with hospital liver stiffness measurement for positives VERSUS Indirect fibrosis marker Forms Index ->enhanced liver fibrosis test -> liver stiffness measurement test IN Specific disease- excessive alcohol intake; Age- 41 to 64 years; Gender- Both; Country- Denmark.,31595545,Specific disease- excessive alcohol intake; Age- 41 to 64 years; Gender- Both; Country- Denmark.,enhanced liver fibrosis test with hospital liver stiffness measurement for positives,Cost-Effectiveness of Noninvasive Screening for Alcohol-Related Liver Fibrosis.,Indirect fibrosis marker Forms Index ->enhanced liver fibrosis test -> liver stiffness measurement test,NE
2019-01-31704,2019,Asphaug 2019 Hepatology,8700,enhanced liver fibrosis test with hospital liver stiffness measurement for positives VERSUS Direct liver stiffness measurement testing IN Specific disease- excessive alcohol intake; Age- 41 to 64 years; Gender- Both; Country- Denmark.,31595545,Specific disease- excessive alcohol intake; Age- 41 to 64 years; Gender- Both; Country- Denmark.,enhanced liver fibrosis test with hospital liver stiffness measurement for positives,Cost-Effectiveness of Noninvasive Screening for Alcohol-Related Liver Fibrosis.,Direct liver stiffness measurement testing,NE
2019-01-31704,2019,Asphaug 2019 Hepatology,Dominated,enhanced liver fibrosis test with hospital liver stiffness measurement for positives VERSUS Direct liver stiffness measurement testing IN Specific disease- excessive alcohol intake; Age- 41 to 64 years; Gender- Both; Country- Denmark.,31595545,Specific disease- excessive alcohol intake; Age- 41 to 64 years; Gender- Both; Country- Denmark.,enhanced liver fibrosis test with hospital liver stiffness measurement for positives,Cost-Effectiveness of Noninvasive Screening for Alcohol-Related Liver Fibrosis.,Direct liver stiffness measurement testing,NW
2019-01-31704,2019,Asphaug 2019 Hepatology,Dominated,indirect fibrosis marker forms index ->enhanced liver fibrosis test ->liver stiffness measurement VERSUS Direct liver stiffness measurement testing IN Healthy; Age- 41 to 64 years; Gender- Both; Country- Denmark.,31595545,Healthy; Age- 41 to 64 years; Gender- Both; Country- Denmark.,indirect fibrosis marker forms index ->enhanced liver fibrosis test ->liver stiffness measurement,Cost-Effectiveness of Noninvasive Screening for Alcohol-Related Liver Fibrosis.,Direct liver stiffness measurement testing,NW
2019-01-31704,2019,Asphaug 2019 Hepatology,Dominated,indirect fibrosis marker forms index ->enhanced liver fibrosis test ->liver stiffness measurement VERSUS Direct liver stiffness measurement testing IN Specific disease- excessive alcohol intake; Age- 41 to 64 years; Gender- Both; Country- Denmark.,31595545,Specific disease- excessive alcohol intake; Age- 41 to 64 years; Gender- Both; Country- Denmark.,indirect fibrosis marker forms index ->enhanced liver fibrosis test ->liver stiffness measurement,Cost-Effectiveness of Noninvasive Screening for Alcohol-Related Liver Fibrosis.,Direct liver stiffness measurement testing,NW
2019-01-31704,2019,Asphaug 2019 Hepatology,Dominated,no testing VERSUS Standard/Usual Care- Routine liver function tests applied in parallel with follow-up ultrasonography for test-positives IN Specific disease- excessive alcohol intake; Age- 41 to 64 years; Gender- Both; Country- Denmark.,31595545,Specific disease- excessive alcohol intake; Age- 41 to 64 years; Gender- Both; Country- Denmark.,no testing,Cost-Effectiveness of Noninvasive Screening for Alcohol-Related Liver Fibrosis.,Standard/Usual Care- Routine liver function tests applied in parallel with follow-up ultrasonography for test-positives,NW
2019-01-30171,2019,Hogh 2019 Aliment Pharmacol Ther,Dominated,"helicobacter pylori screening VERSUS None IN Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Denmark.",30854700,"Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Denmark.",helicobacter pylori screening,The cost effectiveness of Helicobacter pylori population screening-economic evaluation alongside a randomised controlled trial with 13-year follow-up.,None,NW
2019-01-29530,2019,Gaede 2019 Diabetes Ther,1200,Semaglutide VERSUS Liraglutide 1.2 mg IN Specific disease- Type 2 Diabetes; Age- Adult; Gender- Both; Country- Denmark.,31098942,Specific disease- Type 2 Diabetes; Age- Adult; Gender- Both; Country- Denmark.,Semaglutide,"Management of Patients with Type 2 Diabetes with Once-Weekly Semaglutide Versus Dulaglutide, Exenatide ER, Liraglutide and Lixisenatide: A Cost-Effectiveness Analysis in the Danish Setting.",Liraglutide 1.2 mg,NE
2019-01-29530,2019,Gaede 2019 Diabetes Ther,2700,Semaglutide VERSUS Exenatide IN Specific disease- Type 2 Diabetes; Age- Adult; Gender- Both; Country- Denmark.,31098942,Specific disease- Type 2 Diabetes; Age- Adult; Gender- Both; Country- Denmark.,Semaglutide,"Management of Patients with Type 2 Diabetes with Once-Weekly Semaglutide Versus Dulaglutide, Exenatide ER, Liraglutide and Lixisenatide: A Cost-Effectiveness Analysis in the Danish Setting.",Exenatide,NE
