Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Bupropion IN Adult smokers attempting to quit smoking in Costa Rica,22406880,Adult smokers attempting to quit smoking in Costa Rica,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Bupropion,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Bupropion IN Adult smokers attempting to quit smoking in El Salvador,22406880,Adult smokers attempting to quit smoking in El Salvador,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Bupropion,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Bupropion IN Adult smokers attempting to quit smoking in Nicaragua,22406880,Adult smokers attempting to quit smoking in Nicaragua,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Bupropion,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Bupropion IN Adult smokers attempting to quit smoking in Panama,22406880,Adult smokers attempting to quit smoking in Panama,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Bupropion,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Bupropion IN Adult smokers attempting to quit smoking in the Dominican Republic,22406880,Adult smokers attempting to quit smoking in the Dominican Republic,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Bupropion,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Nicotine replacement therapy IN Adult smokers attempting to quit smoking in Costa Rica,22406880,Adult smokers attempting to quit smoking in Costa Rica,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Nicotine replacement therapy,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Nicotine replacement therapy IN Adult smokers attempting to quit smoking in El Salvador,22406880,Adult smokers attempting to quit smoking in El Salvador,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Nicotine replacement therapy,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Nicotine replacement therapy IN Adult smokers attempting to quit smoking in Nicaragua,22406880,Adult smokers attempting to quit smoking in Nicaragua,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Nicotine replacement therapy,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Nicotine replacement therapy IN Adult smokers attempting to quit smoking in Panama,22406880,Adult smokers attempting to quit smoking in Panama,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Nicotine replacement therapy,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Nicotine replacement therapy IN Adult smokers attempting to quit smoking in the Domican Republic,22406880,Adult smokers attempting to quit smoking in the Domican Republic,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Nicotine replacement therapy,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Unaided cessation IN Adult smokers attempting to quit smoking in Costa Rica,22406880,Adult smokers attempting to quit smoking in Costa Rica,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Unaided cessation,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Unaided cessation IN Adult smokers attempting to quit smoking in El Salvador,22406880,Adult smokers attempting to quit smoking in El Salvador,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Unaided cessation,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Unaided cessation IN Adult smokers attempting to quit smoking in Nicaragua,22406880,Adult smokers attempting to quit smoking in Nicaragua,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Unaided cessation,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Unaided cessation IN Adult smokers attempting to quit smoking in Panama,22406880,Adult smokers attempting to quit smoking in Panama,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Unaided cessation,SE
2012-01-08833,2012,Lutz 2012 Hosp Pract (Minneap),Cost-Saving,Varenicline VERSUS Unaided cessation IN Adult smokers attempting to quit smoking in the Domnican Republic,22406880,Adult smokers attempting to quit smoking in the Domnican Republic,Varenicline,Cost-effectiveness analysis of varenicline versus existing smoking cessation strategies in Central America and the Caribbean using the BENESCO model.,Unaided cessation,SE
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
