Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2019-01-29783,2019,Mostafa 2019 Value Health Reg Issues,Cost-Saving,safety-engineered syringes VERSUS Standard/Usual Care- conventional syringes IN Healthy; Age- Adult; Gender- Both; Country- Egypt.,31002984,Healthy; Age- Adult; Gender- Both; Country- Egypt.,safety-engineered syringes,Safety-Engineered Syringes: An Intervention to Decrease Hepatitis C Burden in Developing Countries-A Cost-Effectiveness Analysis from Egypt.,Standard/Usual Care- conventional syringes,SE
2019-01-28411,2019,Hamdy Elsisi 2019 J Med Econ,300000,"Sorafenib VERSUS Standard/Usual Care- Administration of silymarin, vitamin K, omeprazole, and paracetamol IN Specific disease- Hepatocellular carcinoma; Age- Adult; Gender- Both; Country- Egypt; Other- No previous systemic treatment.",30479174,Specific disease- Hepatocellular carcinoma; Age- Adult; Gender- Both; Country- Egypt; Other- No previous systemic treatment.,Sorafenib,Cost-effectiveness of sorafenib versus best supportive care in advanced hepatocellular carcinoma in Egypt.,"Standard/Usual Care- Administration of silymarin, vitamin K, omeprazole, and paracetamol",NE
2017-01-24358,2017,Elsisi 2017 Value Health Reg Issues,2500,"Sofosbuvir(SOF)+ledipasvir(LDV)+ribavirin (RBV) VERSUS Standard/Usual Care- Sofosbuvir(SOF)+pegylated interferonalfa(pegIFN)+ribavirin (RBV) IN Specific disease- Hepatitis C; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Egypt; Other- Noncirrhotic patients .",29073993,"Specific disease- Hepatitis C; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Egypt; Other- Noncirrhotic patients .",Sofosbuvir(SOF)+ledipasvir(LDV)+ribavirin (RBV),Cost-Effectiveness Analysis of New HCV Treatments in Egyptian Cirrhotic and Non-Cirrhotic Patients: A Societal Perspective.,Standard/Usual Care- Sofosbuvir(SOF)+pegylated interferonalfa(pegIFN)+ribavirin (RBV),NE
2017-01-24358,2017,Elsisi 2017 Value Health Reg Issues,Cost-Saving,"Sofosbuvir(SOF) +daclatasvir (DCV) VERSUS Standard/Usual Care- Sofosbuvir(SOF)+pegylated interferonalfa(pegIFN)+ribavirin (RBV) IN Specific disease- Hepatitis C; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Egypt; Other- Noncirrhotic patients .",29073993,"Specific disease- Hepatitis C; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Egypt; Other- Noncirrhotic patients .",Sofosbuvir(SOF) +daclatasvir (DCV),Cost-Effectiveness Analysis of New HCV Treatments in Egyptian Cirrhotic and Non-Cirrhotic Patients: A Societal Perspective.,Standard/Usual Care- Sofosbuvir(SOF)+pegylated interferonalfa(pegIFN)+ribavirin (RBV),SE
2017-01-24358,2017,Elsisi 2017 Value Health Reg Issues,Cost-Saving,"Sofosbuvir(SOF)+daclatasvir (DCV) VERSUS Standard/Usual Care- Sofosbuvir(SOF)+pegylated interferonalfa(pegIFN) +ribavirin (RBV) IN Specific disease- Hepatitis C ; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Egypt; Other- Cirrhotic patients .",29073993,"Specific disease- Hepatitis C ; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Egypt; Other- Cirrhotic patients .",Sofosbuvir(SOF)+daclatasvir (DCV),Cost-Effectiveness Analysis of New HCV Treatments in Egyptian Cirrhotic and Non-Cirrhotic Patients: A Societal Perspective.,Standard/Usual Care- Sofosbuvir(SOF)+pegylated interferonalfa(pegIFN) +ribavirin (RBV),SE
2017-01-24358,2017,Elsisi 2017 Value Health Reg Issues,Cost-Saving,"Sofosbuvir(SOF)+ledipasvir(LDV)+ribavirin (RBV) VERSUS Standard/Usual Care- Sofosbuvir(SOF)+pegylated interferonalfa(pegIFN) +ribavirin (RBV) IN Specific disease- Hepatitis C; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Egypt; Other- Cirrhotic patients .",29073993,"Specific disease- Hepatitis C; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Egypt; Other- Cirrhotic patients .",Sofosbuvir(SOF)+ledipasvir(LDV)+ribavirin (RBV),Cost-Effectiveness Analysis of New HCV Treatments in Egyptian Cirrhotic and Non-Cirrhotic Patients: A Societal Perspective.,Standard/Usual Care- Sofosbuvir(SOF)+pegylated interferonalfa(pegIFN) +ribavirin (RBV),SE
2017-01-24358,2017,Elsisi 2017 Value Health Reg Issues,Dominated,"Sofoasbuvir+Ribavirin VERSUS Standard/Usual Care- Sofoasbuvir+Pegylated interferon+Ribavirin IN Specific disease- Hepatitis C; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Egypt; Other- Cirrhotic patients .",29073993,"Specific disease- Hepatitis C; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Egypt; Other- Cirrhotic patients .",Sofoasbuvir+Ribavirin,Cost-Effectiveness Analysis of New HCV Treatments in Egyptian Cirrhotic and Non-Cirrhotic Patients: A Societal Perspective.,Standard/Usual Care- Sofoasbuvir+Pegylated interferon+Ribavirin,NW
2017-01-24358,2017,Elsisi 2017 Value Health Reg Issues,Dominated,"Sofosbuvir(SOF)+ribavirin (RBV) VERSUS Standard/Usual Care- Sofosbuvir(SOF)+pegylated interferonalfa(pegIFN)+ribavirin (RBV) IN Specific disease- Hepatitis C ; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Egypt; Other- Noncirrhotic patients .",29073993,"Specific disease- Hepatitis C ; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Egypt; Other- Noncirrhotic patients .",Sofosbuvir(SOF)+ribavirin (RBV),Cost-Effectiveness Analysis of New HCV Treatments in Egyptian Cirrhotic and Non-Cirrhotic Patients: A Societal Perspective.,Standard/Usual Care- Sofosbuvir(SOF)+pegylated interferonalfa(pegIFN)+ribavirin (RBV),NW
2014-01-16998,2014,Obach 2014 Clin Infect Dis,2200,Treat F4 VERSUS No treatment IN Specific disease- Hepatitis C virus; Age- Adult; Gender- Both; Country- Egypt.,24510934,Specific disease- hepatitis C; Age- Adult; Gender- Both; Country- Egypt.,Treat F4,Effectiveness and cost-effectiveness of immediate versus delayed treatment of hepatitis C virus-infected patients in a country with limited resources: the case of Egypt.,No treatment,NE
2014-01-16998,2014,Obach 2014 Clin Infect Dis,Dominated,No treatment VERSUS Treat immediately (F1) IN Specific disease- Hepatitis C virus; Age- Adult; Gender- Both; Country- Egypt.,24510934,Specific disease- hepatitis C; Age- Adult; Gender- Both; Country- Egypt.,No treatment,Effectiveness and cost-effectiveness of immediate versus delayed treatment of hepatitis C virus-infected patients in a country with limited resources: the case of Egypt.,Treat immediately (F1),NW
