Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2013-01-11653,2013,Einarson 2013 J Med Econ,Cost-Saving,Long acting paliperidone palmitate VERSUS Long acting risperidone microspheres IN Specific disease- chronic schizophrenia; Age- Adult; Gender- Both; Country- Finland.,23844621,Specific disease- chronic schizophrenia; Age- Adult; Gender- Both; Country- Finland.,Long acting paliperidone palmitate,Cost-effectiveness analysis of atypical long-acting antipsychotics for treating chronic schizophrenia in Finland.,Long acting risperidone microspheres,SE
2013-01-10857,2013,Ridderstrale 2013 J Med Econ,32000,Insulin determir VERSUS Neutral protamine hagedorn (NPH) IN Specific disease- Type 2 diabetes mellitus; Age- Unknown; Gender- Both; Country- Norway; Other- Insulin naïve.,23384160,Specific disease- type 2 diabetes; Age- Unknown; Gender- Both; Country- Norway; Other- Insulin naïve.,Insulin determir,"Cost-effectiveness of insulin detemir compared with NPH insulin in people with type 2 diabetes in Denmark, Finland, Norway, and Sweden.",Neutral protamine hagedorn (NPH),NE
2013-01-10857,2013,Ridderstrale 2013 J Med Econ,33000,Insulin determir VERSUS Neutral protamine hagedorn (NPH) IN Specific disease- Type 2 diabetes mellitus; Age- Adult; Gender- Both; Country- Denmark; Other- Insulin naïve.,23384160,Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Denmark; Other- Insulin naïve.,Insulin determir,"Cost-effectiveness of insulin detemir compared with NPH insulin in people with type 2 diabetes in Denmark, Finland, Norway, and Sweden.",Neutral protamine hagedorn (NPH),NE
2013-01-10857,2013,Ridderstrale 2013 J Med Econ,36000,Insulin determir VERSUS Neutral protamine hagedorn (NPH) IN Specific disease- Type 2 diabetes mellitus; Age- Adult; Gender- Both; Country- Sweden; Other- Insulin naïve.,23384160,Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Sweden; Other- Insulin naïve.,Insulin determir,"Cost-effectiveness of insulin detemir compared with NPH insulin in people with type 2 diabetes in Denmark, Finland, Norway, and Sweden.",Neutral protamine hagedorn (NPH),NE
2013-01-10857,2013,Ridderstrale 2013 J Med Econ,41000,Insulin determir VERSUS Neutral protamine hagedorn (NPH) IN Specific disease- Type 2 diabetes mellitus; Age- Unknown; Gender- Both; Country- Finland; Other- Insulin naïve.,23384160,Specific disease- type 2 diabetes; Age- Unknown; Gender- Both; Country- Finland; Other- Insulin naïve.,Insulin determir,"Cost-effectiveness of insulin detemir compared with NPH insulin in people with type 2 diabetes in Denmark, Finland, Norway, and Sweden.",Neutral protamine hagedorn (NPH),NE
2013-01-10721,2013,Tuominen 2013 Int J Technol Assess Health Care,Cost-Saving,Short waiting time with a maximum period of 3 months for total hip replacement surgery VERSUS Nonfixed waiting time with surgery performed according to the hospital's routine procedure IN Specific disease- Osteoarthritis of the hip; Age-; Gender- Both; Country- Finland.,23298468,Specific disease- Osteoarthritis of the hip; Age-; Gender- Both; Country- Finland.,Short waiting time with a maximum period of 3 months for total hip replacement surgery,Cost-utility of waiting time in total joint replacements: a randomized clinical trial.,Nonfixed waiting time with surgery performed according to the hospital's routine procedure,SE
2013-01-10721,2013,Tuominen 2013 Int J Technol Assess Health Care,Dominated,Short waiting time with a maximum period of 3 months for total knee replacement surgery VERSUS Nonfixed waiting time with surgery performed according to the hospital's routine procedure IN Specific disease- Osteoarthiritis of the knee; Age-; Gender- Both; Country- Finland.,23298468,Specific disease- Osteoarthiritis of the knee; Age-; Gender- Both; Country- Finland.,Short waiting time with a maximum period of 3 months for total knee replacement surgery,Cost-utility of waiting time in total joint replacements: a randomized clinical trial.,Nonfixed waiting time with surgery performed according to the hospital's routine procedure,NW
2013-01-10084,2013,Laukkanen 2013 Intensive Care Med,100000,"Acute renal replacement therapy (RRT) VERSUS None IN Specific disease- acute kidney injury (AKI) and chronic renal disease before, but no need for chronic renal replacement therapy afterward (RRT); Age- 41 to 64 years, >=65 years; Gender- Not Specified; Country- Finland; Other- 49-72 years.",23184040,"Specific disease- acute kidney injury (AKI) and chronic renal disease before, but no need for chronic renal replacement therapy afterward (RRT); Age- 41 to 64 years, >=65 years; Gender- Not Specified; Country- Finland; Other- 49-72 years.",Acute renal replacement therapy (RRT),Five-year cost-utility analysis of acute renal replacement therapy: a societal perspective.,None,NE
2013-01-10084,2013,Laukkanen 2013 Intensive Care Med,17000,"Acute renal replacement therapy (RRT) VERSUS None IN Specific disease- acute kidney injury (AKI) and no chronic renal disease before or after hospitalization; Age- 41 to 64 years, >=65 years; Gender- Not Specified; Country- Finland; Other- 49-72 years.",23184040,"Specific disease- acute kidney injury (AKI) and no chronic renal disease before or after hospitalization; Age- 41 to 64 years, >=65 years; Gender- Not Specified; Country- Finland; Other- 49-72 years.",Acute renal replacement therapy (RRT),Five-year cost-utility analysis of acute renal replacement therapy: a societal perspective.,None,NE
2013-01-10084,2013,Laukkanen 2013 Intensive Care Med,18000,"Acute renal replacement therapy (RRT) VERSUS None IN Specific disease- Hospital survivors with acute kidney injury (AKI) and no chronic renal disease before, but need for chronic renal replacement therapy afterward (RRT); Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Not Specified; Country- Finland; Other- 49-72 years.",23184040,"Specific disease- Hospital survivors with acute kidney injury (AKI) and no chronic renal disease before, but need for chronic renal replacement therapy afterward (RRT); Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Not Specified; Country- Finland; Other- 49-72 years.",Acute renal replacement therapy (RRT),Five-year cost-utility analysis of acute renal replacement therapy: a societal perspective.,None,NE
