Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-36208,2020,Manetti 2020 BMC Health Serv Res,31000,"exoskeleton VERSUS Standard/Usual Care- standard/usual care IN Specific disease- hip fracture, dementia; Age- >=65 years; Gender- Female; Country- United Kingdom.",33059683,"Specific disease- hip fracture, dementia; Age- >=65 years; Gender- Female; Country- United Kingdom.",exoskeleton,Determining the cost-effectiveness requirements of an exoskeleton preventing second  hip fractures using value of information.,Standard/Usual Care- standard/usual care,NE
2020-01-36208,2020,Manetti 2020 BMC Health Serv Res,32000,"exoskeleton VERSUS Standard/Usual Care- standard/usual care IN Specific disease- hip fracture, dementia; Age- >=65 years; Gender- Male; Country- United Kingdom.",33059683,"Specific disease- hip fracture, dementia; Age- >=65 years; Gender- Male; Country- United Kingdom.",exoskeleton,Determining the cost-effectiveness requirements of an exoskeleton preventing second  hip fractures using value of information.,Standard/Usual Care- standard/usual care,NE
2020-01-36208,2020,Manetti 2020 BMC Health Serv Res,33000,"exoskeleton VERSUS Standard/Usual Care- standard/usual care IN Specific disease- hip fracture, cardiovascular disease; Age- >=65 years; Gender- Female; Country- United Kingdom.",33059683,"Specific disease- hip fracture, cardiovascular disease; Age- >=65 years; Gender- Female; Country- United Kingdom.",exoskeleton,Determining the cost-effectiveness requirements of an exoskeleton preventing second  hip fractures using value of information.,Standard/Usual Care- standard/usual care,NE
2020-01-36208,2020,Manetti 2020 BMC Health Serv Res,33000,"exoskeleton VERSUS Standard/Usual Care- standard/usual care IN Specific disease- hip fracture, dementia; Age- >=65 years; Gender- Female; Country- United Kingdom.",33059683,"Specific disease- hip fracture, dementia; Age- >=65 years; Gender- Female; Country- United Kingdom.",exoskeleton,Determining the cost-effectiveness requirements of an exoskeleton preventing second  hip fractures using value of information.,Standard/Usual Care- standard/usual care,NE
2020-01-36208,2020,Manetti 2020 BMC Health Serv Res,34000,"exoskeleton VERSUS Standard/Usual Care- standard/usual care IN Specific disease- hip fracture, cardiovascular disease; Age- >=65 years; Gender- Male; Country- United Kingdom.",33059683,"Specific disease- hip fracture, cardiovascular disease; Age- >=65 years; Gender- Male; Country- United Kingdom.",exoskeleton,Determining the cost-effectiveness requirements of an exoskeleton preventing second  hip fractures using value of information.,Standard/Usual Care- standard/usual care,NE
2020-01-36208,2020,Manetti 2020 BMC Health Serv Res,35000,"exoskeleton VERSUS Standard/Usual Care- standard/usual care IN Specific disease- hip fracture, cardiovascular disease; Age- >=65 years; Gender- Female; Country- United Kingdom.",33059683,"Specific disease- hip fracture, cardiovascular disease; Age- >=65 years; Gender- Female; Country- United Kingdom.",exoskeleton,Determining the cost-effectiveness requirements of an exoskeleton preventing second  hip fractures using value of information.,Standard/Usual Care- standard/usual care,NE
2020-01-36208,2020,Manetti 2020 BMC Health Serv Res,35000,"exoskeleton VERSUS Standard/Usual Care- standard/usual care IN Specific disease- hip fracture, dementia; Age- >=65 years; Gender- Male; Country- United Kingdom.",33059683,"Specific disease- hip fracture, dementia; Age- >=65 years; Gender- Male; Country- United Kingdom.",exoskeleton,Determining the cost-effectiveness requirements of an exoskeleton preventing second  hip fractures using value of information.,Standard/Usual Care- standard/usual care,NE
2020-01-36208,2020,Manetti 2020 BMC Health Serv Res,37000,"exoskeleton VERSUS Standard/Usual Care- standard/usual care IN Specific disease- hip fracture, dementia; Age- >=65 years; Gender- Female; Country- United Kingdom.",33059683,"Specific disease- hip fracture, dementia; Age- >=65 years; Gender- Female; Country- United Kingdom.",exoskeleton,Determining the cost-effectiveness requirements of an exoskeleton preventing second  hip fractures using value of information.,Standard/Usual Care- standard/usual care,NE
2020-01-36208,2020,Manetti 2020 BMC Health Serv Res,38000,"exoskeleton VERSUS Standard/Usual Care- standard/usual care IN Specific disease- hip fracture, cardiovascular disease; Age- >=65 years; Gender- Male; Country- United Kingdom.",33059683,"Specific disease- hip fracture, cardiovascular disease; Age- >=65 years; Gender- Male; Country- United Kingdom.",exoskeleton,Determining the cost-effectiveness requirements of an exoskeleton preventing second  hip fractures using value of information.,Standard/Usual Care- standard/usual care,NE
2020-01-36208,2020,Manetti 2020 BMC Health Serv Res,40000,"exoskeleton VERSUS Standard/Usual Care- standard/usual care IN Specific disease- hip fracture, cardiovascular disease; Age- >=65 years; Gender- Female; Country- United Kingdom.",33059683,"Specific disease- hip fracture, cardiovascular disease; Age- >=65 years; Gender- Female; Country- United Kingdom.",exoskeleton,Determining the cost-effectiveness requirements of an exoskeleton preventing second  hip fractures using value of information.,Standard/Usual Care- standard/usual care,NE
