Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2019-01-31416,2019,Adamson 2019 J Gen Intern Med,120000,"annual screening for melanoma VERSUS Annual screening for Melanoma, starting at age 60 IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Male; Country- United States; Other- white; Annual screening starting at age 50.",31705474,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Male; Country- United States; Other- white; Annual screening starting at age 50.",annual screening for melanoma,Screening for Melanoma in Men: a Cost-Effectiveness Analysis.,"Annual screening for Melanoma, starting at age 60",NE
2019-01-31416,2019,Adamson 2019 J Gen Intern Med,27000,"2 year-screening for melanoma VERSUS screening every 5 years, starting age 60 IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Male; Country- United States; Other- white; screening every 2 years, starting age 60.",31705474,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Male; Country- United States; Other- white; screening every 2 years, starting age 60.",2 year-screening for melanoma,Screening for Melanoma in Men: a Cost-Effectiveness Analysis.,"screening every 5 years, starting age 60",NE
2019-01-31416,2019,Adamson 2019 J Gen Intern Med,27000,"5-year screening for melanoma VERSUS None IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Male; Country- United States; Other- white; screening every 5 years, starting age 60.",31705474,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Male; Country- United States; Other- white; screening every 5 years, starting age 60.",5-year screening for melanoma,Screening for Melanoma in Men: a Cost-Effectiveness Analysis.,None,NE
2019-01-31416,2019,Adamson 2019 J Gen Intern Med,40000,"5-year screening for melanoma VERSUS screening every 5 years, starting age 60 IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Male; Country- United States; Other- white; screening every 5 years, starting age 50.",31705474,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Male; Country- United States; Other- white; screening every 5 years, starting age 50.",5-year screening for melanoma,Screening for Melanoma in Men: a Cost-Effectiveness Analysis.,"screening every 5 years, starting age 60",NE
2019-01-31416,2019,Adamson 2019 J Gen Intern Med,70000,"2 year-screening for melanoma VERSUS screening every 2 years, starting age 60 IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Male; Country- United States; Other- white; screening every 2 years, starting age 50.",31705474,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Male; Country- United States; Other- white; screening every 2 years, starting age 50.",2 year-screening for melanoma,Screening for Melanoma in Men: a Cost-Effectiveness Analysis.,"screening every 2 years, starting age 60",NE
2019-01-31416,2019,Adamson 2019 J Gen Intern Med,Dominated,"annual screening for melanoma VERSUS Screening every 2 years, starting age 50 IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Male; Country- United States; Other- white; Annual screening starting at age 60.",31705474,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Male; Country- United States; Other- white; Annual screening starting at age 60.",annual screening for melanoma,Screening for Melanoma in Men: a Cost-Effectiveness Analysis.,"Screening every 2 years, starting age 50",NW
2017-01-25353,2017,Gourzoulidis 2017 Clin Drug Investig,240,"Rivaroxaban VERSUS Standard/Usual Care- Enoxaparin/Vitamin K antagonist IN Specific disease- Pulmonary Embolism; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Greece; Other- Patients admitted to hospital with symptomatic venous thromboembolism event.",28608312,"Specific disease- Pulmonary Embolism; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Greece; Other- Patients admitted to hospital with symptomatic venous thromboembolism event.",Rivaroxaban,Cost-Effectiveness Analysis of Rivaroxaban for Treatment of Deep Vein Thrombosis  and Pulmonary Embolism in Greece.,Standard/Usual Care- Enoxaparin/Vitamin K antagonist,NE
2017-01-25353,2017,Gourzoulidis 2017 Clin Drug Investig,Cost-Saving,"Rivaroxaban VERSUS Standard/Usual Care- Enoxaparin/Vitamin K antagonist IN Specific disease- Deep Vein Thrombosis; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Greece; Other- Patients admitted to hospital with symptomatic venous thromboembolism event.",28608312,"Specific disease- Deep Vein Thrombosis; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Greece; Other- Patients admitted to hospital with symptomatic venous thromboembolism event.",Rivaroxaban,Cost-Effectiveness Analysis of Rivaroxaban for Treatment of Deep Vein Thrombosis  and Pulmonary Embolism in Greece.,Standard/Usual Care- Enoxaparin/Vitamin K antagonist,SE
2017-01-24342,2017,Tzanetakos 2017 Clin Drug Investig,3400,Exenatide Once Weekly VERSUS Standard/Usual Care- Liraglutide 1.2mg IN Specific disease- Type 2 Diabetes; Age- Adult; Gender- Both; Country- Greece.,29080210,Specific disease- Type 2 Diabetes; Age- Adult; Gender- Both; Country- Greece.,Exenatide Once Weekly,Cost Effectiveness of Exenatide Once Weekly Versus Insulin Glargine and Liraglutide for the Treatment of Type 2 Diabetes Mellitus in Greece.,Standard/Usual Care- Liraglutide 1.2mg,NE
2017-01-24342,2017,Tzanetakos 2017 Clin Drug Investig,5400,Exenatide VERSUS Standard/Usual Care- Insulin glargine(IG) IN Specific disease- Diabetes; Age- Adult; Gender- Both; Country- Greece.,29080210,Specific disease- Diabetes; Age- Adult; Gender- Both; Country- Greece.,Exenatide,Cost Effectiveness of Exenatide Once Weekly Versus Insulin Glargine and Liraglutide for the Treatment of Type 2 Diabetes Mellitus in Greece.,Standard/Usual Care- Insulin glargine(IG),NE
