Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2021-01-34302,2021,Sardesai 2021 J Med Econ,20000,"tofacitinib VERSUS adalimumab (biosimilar) + conventional therapy IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",33502905,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",tofacitinib,"Cost-effectiveness of tofacitinib compared with infliximab, adalimumab, golimumab,  vedolizumab and ustekinumab for the treatment of moderate to severe ulcerative  colitis in Germany.",adalimumab (biosimilar) + conventional therapy,NE
2021-01-34302,2021,Sardesai 2021 J Med Econ,97000,"tofacitinib VERSUS Standard/Usual Care- mix of oral treatments, immunomodulators + 5-aminosalicylic acids + steroids IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",33502905,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",tofacitinib,"Cost-effectiveness of tofacitinib compared with infliximab, adalimumab, golimumab,  vedolizumab and ustekinumab for the treatment of moderate to severe ulcerative  colitis in Germany.","Standard/Usual Care- mix of oral treatments, immunomodulators + 5-aminosalicylic acids + steroids",NE
2021-01-34302,2021,Sardesai 2021 J Med Econ,Cost-Saving,"tofacitinib VERSUS adalimumab + conventional therapy IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",33502905,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",tofacitinib,"Cost-effectiveness of tofacitinib compared with infliximab, adalimumab, golimumab,  vedolizumab and ustekinumab for the treatment of moderate to severe ulcerative  colitis in Germany.",adalimumab + conventional therapy,SE
2021-01-34302,2021,Sardesai 2021 J Med Econ,Cost-Saving,"tofacitinib VERSUS golimumab + conventional therapy IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",33502905,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",tofacitinib,"Cost-effectiveness of tofacitinib compared with infliximab, adalimumab, golimumab,  vedolizumab and ustekinumab for the treatment of moderate to severe ulcerative  colitis in Germany.",golimumab + conventional therapy,SE
2021-01-34302,2021,Sardesai 2021 J Med Econ,Cost-Saving,"tofacitinib VERSUS infliximab (biosimilar) + conventional therapy IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",33502905,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",tofacitinib,"Cost-effectiveness of tofacitinib compared with infliximab, adalimumab, golimumab,  vedolizumab and ustekinumab for the treatment of moderate to severe ulcerative  colitis in Germany.",infliximab (biosimilar) + conventional therapy,SE
2021-01-34302,2021,Sardesai 2021 J Med Econ,Cost-Saving,"tofacitinib VERSUS infliximab + conventional therapy IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",33502905,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",tofacitinib,"Cost-effectiveness of tofacitinib compared with infliximab, adalimumab, golimumab,  vedolizumab and ustekinumab for the treatment of moderate to severe ulcerative  colitis in Germany.",infliximab + conventional therapy,SE
2021-01-34302,2021,Sardesai 2021 J Med Econ,Cost-Saving,"tofacitinib VERSUS ustekinumab + conventional therapy IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",33502905,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",tofacitinib,"Cost-effectiveness of tofacitinib compared with infliximab, adalimumab, golimumab,  vedolizumab and ustekinumab for the treatment of moderate to severe ulcerative  colitis in Germany.",ustekinumab + conventional therapy,SE
2021-01-34302,2021,Sardesai 2021 J Med Econ,Cost-Saving,"tofacitinib VERSUS vedolizumab + conventional therapy IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",33502905,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Germany; Other- moderate to severe disease, inadequate response to conventional treatment or biologics.",tofacitinib,"Cost-effectiveness of tofacitinib compared with infliximab, adalimumab, golimumab,  vedolizumab and ustekinumab for the treatment of moderate to severe ulcerative  colitis in Germany.",vedolizumab + conventional therapy,SE
2020-01-34784,2020,Retèl 2020 Eur J Cancer,24000,"70-gene signature strategy VERSUS Standard/Usual Care- clinical assessment strategy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- United Kingdom; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",32795875,"Specific disease- breast cancer; Age- Adult; Gender- Female; Country- United Kingdom; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",70-gene signature strategy,Cost-effectiveness analysis of the 70-gene signature compared with clinical  assessment in breast cancer based on a randomised controlled trial.,Standard/Usual Care- clinical assessment strategy,NE
2020-01-34784,2020,Retèl 2020 Eur J Cancer,Cost-Saving,"70-gene signature strategy VERSUS Standard/Usual Care- clinical assessment strategy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Belgium; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",32795875,"Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Belgium; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",70-gene signature strategy,Cost-effectiveness analysis of the 70-gene signature compared with clinical  assessment in breast cancer based on a randomised controlled trial.,Standard/Usual Care- clinical assessment strategy,SE
