Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2016-01-19662,2016,Kourlaba 2016 Cost Eff Resour Alloc,Cost-Saving,ranibizumab 0.5 mg treat and extend (RAN T&E) VERSUS alibercept 2 mg (every 8 weeks after initial doses) IN Specific disease- diabetic macular edema; Age- Adult; Gender- Both; Country- Greece; Other- general population of patients with visual impairmen(VI) due to diabetic macular edema(DME). at least one eye with a Best Corrected Visual Acuity (BCVA) score between 78 and 39 letters.,27081372,Specific disease- diabetic macular edema; Age- Adult; Gender- Both; Country- Greece; Other- general population of patients with visual impairmen(VI) due to diabetic macular edema(DME). at least one eye with a Best Corrected Visual Acuity (BCVA) score between 78 and 39 letters.,ranibizumab 0.5 mg treat and extend (RAN T&E),Cost-utility of ranibizumab versus aflibercept for treating Greek patients with visual impairment due to diabetic macular edema.,alibercept 2 mg (every 8 weeks after initial doses),SE
2016-01-19389,2016,Tzanetakos 2016 Clin Drug Investig,13000,Dapagliflozin (average daily dose of 10mg) and metformin VERSUS Sulfonylurea (SU) and metformin IN Specific disease- Type 2 Diabetes Mellitus (T2DM); Age- Adult; Gender- Both; Country- Greece.,27221806,Specific disease- type 2 diabetes (T2DM); Age- Adult; Gender- Both; Country- Greece.,Dapagliflozin (average daily dose of 10mg) and metformin,Cost-Effectiveness of Dapagliflozin as Add-On to Metformin for the Treatment of Type 2 Diabetes Mellitus in Greece.,Sulfonylurea (SU) and metformin,NE
2016-01-19389,2016,Tzanetakos 2016 Clin Drug Investig,21000,Dapagliflozin (average daily dose of 10mg) and metformin VERSUS dipeptidyl peptidase-4 inhibitor (DPP-4i) + metformin IN Specific disease- Type 2 Diabetes Mellitus (T2DM); Age- Adult; Gender- Both; Country- Greece.,27221806,Specific disease- type 2 diabetes (T2DM); Age- Adult; Gender- Both; Country- Greece.,Dapagliflozin (average daily dose of 10mg) and metformin,Cost-Effectiveness of Dapagliflozin as Add-On to Metformin for the Treatment of Type 2 Diabetes Mellitus in Greece.,dipeptidyl peptidase-4 inhibitor (DPP-4i) + metformin,NE
2015-01-20484,2015,Kourlaba 2015 BMC Health Serv Res,6700,Ranolazine as add-on treatment VERSUS Standard/Usual Care- Standard care for stable angina IN Specific disease- Chronic angina pectarisin; Age- Adult; Gender- Both; Country- Greece.,26684327,Specific disease- Chronic angina pectarisin; Age- Adult; Gender- Both; Country- Greece.,Ranolazine as add-on treatment,Ranolazine for the symptomatic treatment of patients with chronic angina pectoris in Greece: a cost-utility study.,Standard/Usual Care- Standard care for stable angina,NE
2015-01-18465,2015,Athanasakis                      2015 Rheumatol Int,43000,Treatment pathway initiated with tocilizumab VERSUS Standard/Usual Care IN Specific disease- Active rheumatoid arthritis; Age- Adult; Gender- Both; Country- Greece.,25794569,Specific disease- Active rheumatoid arthritis; Age- Adult; Gender- Both; Country- Greece.,Treatment pathway initiated with tocilizumab,Cost-utility analysis of tocilizumab monotherapy in first line versus standard of care for the treatment of rheumatoid arthritis in Greece.,Standard/Usual Care,NE
2015-01-17960,2015,Athanasakis                      2015 Clin Ther,15000,"Pegylated interferon + ribavirin + boceprevir (peg + rbv + boc) for 48 weeks VERSUS Standard/Usual Care- Pegylated Interferon + Ribavirin (PEG + RBV) for 48 weeks IN Specific disease- Hepatitis C Virus (HCV); Age- Adult; Gender- Both; Country- Greece; Other- Chronic geneotype 1 virus (G1 HCV), treatment naïve patients.",26031617,"Specific disease- hepatitis C; Age- Adult; Gender- Both; Country- Greece; Other- Chronic geneotype 1 virus (G1 HCV), treatment naïve patients.",Pegylated interferon + ribavirin + boceprevir (peg + rbv + boc) for 48 weeks,Boceprevir for Chronic Genotype 1 Hepatitis C Virus in the Current Health Care Setting in Greece: A Cost-effectiveness Analysis.,Standard/Usual Care- Pegylated Interferon + Ribavirin (PEG + RBV) for 48 weeks,NE
2015-01-17960,2015,Athanasakis                      2015 Clin Ther,16000,"Pegylated interferon + ribavirin + boceprevir (peg + rbv + boc) for 48 weeks VERSUS Standard/Usual Care- Pegylated Interferon + Ribavirin (PEG + RBV) for 48 weeks IN Specific disease- Hepatitis C Virus (HCV); Age- Adult; Gender- Both; Country- Greece; Other- Chronic geneotype 1 virus (G1 HCV), treatment experienced patients.",26031617,"Specific disease- hepatitis C; Age- Adult; Gender- Both; Country- Greece; Other- Chronic geneotype 1 virus (G1 HCV), treatment experienced patients.",Pegylated interferon + ribavirin + boceprevir (peg + rbv + boc) for 48 weeks,Boceprevir for Chronic Genotype 1 Hepatitis C Virus in the Current Health Care Setting in Greece: A Cost-effectiveness Analysis.,Standard/Usual Care- Pegylated Interferon + Ribavirin (PEG + RBV) for 48 weeks,NE
2015-01-17524,2015,Kourlaba 2015 BMC Health Serv Res,Cost-Saving,Everolimus plus exemestane VERSUS Bevacizumab-based chemotherapy: bevacizumab + capecitabine IN Specific disease- Hormone receptor-positive metastatic breast cancer; Age- Adult; Gender- Female; Country- Greece.,26239115,Specific disease- Hormone receptor-positive metastatic breast cancer; Age- Adult; Gender- Female; Country- Greece.,Everolimus plus exemestane,Everolimus plus exemestane versus bevacizumab-based chemotherapy for second-line  treatment of hormone receptor-positive metastatic breast cancer in Greece: An economic evaluation study.,Bevacizumab-based chemotherapy: bevacizumab + capecitabine,SE
2015-01-17524,2015,Kourlaba 2015 BMC Health Serv Res,Cost-Saving,Everolimus plus exemestane VERSUS Bevacizumab-based chemotherapy: bevacizumab + paclitaxel IN Specific disease- Hormone receptor-positive metastatic breast cancer; Age- Adult; Gender- Female; Country- Greece.,26239115,Specific disease- Hormone receptor-positive metastatic breast cancer; Age- Adult; Gender- Female; Country- Greece.,Everolimus plus exemestane,Everolimus plus exemestane versus bevacizumab-based chemotherapy for second-line  treatment of hormone receptor-positive metastatic breast cancer in Greece: An economic evaluation study.,Bevacizumab-based chemotherapy: bevacizumab + paclitaxel,SE
2015-01-17208,2015,Athanasakis                      2015 Clin Drug Investig,10000,Apixaban 5 mg twice daily VERSUS Rivaroxaban 20 mg daily IN Specific disease- Non-valvular atrial fibrillation; Age- Adult; Gender- Both; Country- Greece.,26385756,Specific disease- Non-valvular atrial fibrillation; Age- Adult; Gender- Both; Country- Greece.,Apixaban 5 mg twice daily,Cost-Effectiveness of Apixaban vs. Other New Oral Anticoagulants for the Prevention of Stroke: An Analysis on Patients with Non-Valvular Atrial Fibrillation in the Greek Healthcare Setting.,Rivaroxaban 20 mg daily,NE
