Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2017-01-23311,2017,Rencz 2017 Expert Rev Pharmacoecon Outcomes Res,180000,Adalimumab VERSUS Standard/Usual Care IN Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Germany.,28434387,Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Germany.,Adalimumab,Cost-utility of biological treatment sequences for luminal Crohn''s disease in Europe.,Standard/Usual Care,NE
2017-01-23311,2017,Rencz 2017 Expert Rev Pharmacoecon Outcomes Res,200000,biosimilar infliximab and adalimumab VERSUS Biosimilar infliximab IN Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Germany.,28434387,Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Germany.,biosimilar infliximab and adalimumab,Cost-utility of biological treatment sequences for luminal Crohn''s disease in Europe.,Biosimilar infliximab,NE
2017-01-23311,2017,Rencz 2017 Expert Rev Pharmacoecon Outcomes Res,200000,Vedolizumab VERSUS Standard/Usual Care IN Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Belgium.,28434387,Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Belgium.,Vedolizumab,Cost-utility of biological treatment sequences for luminal Crohn''s disease in Europe.,Standard/Usual Care,
2017-01-23311,2017,Rencz 2017 Expert Rev Pharmacoecon Outcomes Res,210000,Vedolizumab VERSUS Standard/Usual Care IN Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Italy.,28434387,Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Italy.,Vedolizumab,Cost-utility of biological treatment sequences for luminal Crohn''s disease in Europe.,Standard/Usual Care,
2017-01-23311,2017,Rencz 2017 Expert Rev Pharmacoecon Outcomes Res,210000,Vedolizumab VERSUS Standard/Usual Care IN Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Netherlands.,28434387,Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Netherlands.,Vedolizumab,Cost-utility of biological treatment sequences for luminal Crohn''s disease in Europe.,Standard/Usual Care,
2017-01-23311,2017,Rencz 2017 Expert Rev Pharmacoecon Outcomes Res,220000,biosimilar infliximab and vedolizumab VERSUS Biosimilar infliximab IN Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Belgium.,28434387,Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Belgium.,biosimilar infliximab and vedolizumab,Cost-utility of biological treatment sequences for luminal Crohn''s disease in Europe.,Biosimilar infliximab,NE
2017-01-23311,2017,Rencz 2017 Expert Rev Pharmacoecon Outcomes Res,220000,biosimilar infliximab and vedolizumab VERSUS Biosimilar infliximab IN Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Netherlands.,28434387,Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Netherlands.,biosimilar infliximab and vedolizumab,Cost-utility of biological treatment sequences for luminal Crohn''s disease in Europe.,Biosimilar infliximab,NE
2017-01-23311,2017,Rencz 2017 Expert Rev Pharmacoecon Outcomes Res,230000,biosimilar infliximab and vedolizumab VERSUS Biosimilar infliximab IN Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Italy.,28434387,Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Italy.,biosimilar infliximab and vedolizumab,Cost-utility of biological treatment sequences for luminal Crohn''s disease in Europe.,Biosimilar infliximab,NE
2017-01-23311,2017,Rencz 2017 Expert Rev Pharmacoecon Outcomes Res,250000,"biosimilar infliximab, adalimumab, and vedolizumab VERSUS Biosimilar infliximab and adalimumab IN Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Netherlands.",28434387,Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Netherlands.,"biosimilar infliximab, adalimumab, and vedolizumab",Cost-utility of biological treatment sequences for luminal Crohn''s disease in Europe.,Biosimilar infliximab and adalimumab,NE
2017-01-23311,2017,Rencz 2017 Expert Rev Pharmacoecon Outcomes Res,250000,Vedolizumab VERSUS Standard/Usual Care IN Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Hungary.,28434387,Specific disease- Luminal Crohn's disease; Age- Adult; Gender- Both; Country- Europe; Other- Patients with active luminal CD who were eligible for biological treatment in Hungary.,Vedolizumab,Cost-utility of biological treatment sequences for luminal Crohn''s disease in Europe.,Standard/Usual Care,
