Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2018-01-27036,2018,Goel 2018 J Gastroenterol Hepatol,480,Pan-genotypic direct-acting antiviral regimen VERSUS Standard/Usual Care- Genotype-dependent direct-acting antiviral regimen IN Specific disease- Hepatitis C; Age- 19 to 40 years; Gender- Both; Country- India; Other- Non-cirrhosis (F0âF3); Genotype 1.,29864213,Specific disease- Hepatitis C; Age- 19 to 40 years; Gender- Both; Country- India; Other- Non-cirrhosis (F0âF3); Genotype 1.,Pan-genotypic direct-acting antiviral regimen,Cost-effectiveness of generic pan-genotypic sofosbuvir/velpatasvir versus genotype-dependent direct-acting antivirals for hepatitis C treatment.,Standard/Usual Care- Genotype-dependent direct-acting antiviral regimen,NE
2018-01-27036,2018,Goel 2018 J Gastroenterol Hepatol,510,Pan-Genotypic direct-acting antiviral regimen VERSUS Standard/Usual Care- Genotype-Dependent direct-acting antiviral regimen IN Specific disease- Hepatitis C; Age- 19 to 40 years; Gender- Both; Country- India; Other- Non-cirrhosis (F0âF3); Genotype 4.,29864213,Specific disease- Hepatitis C; Age- 19 to 40 years; Gender- Both; Country- India; Other- Non-cirrhosis (F0âF3); Genotype 4.,Pan-Genotypic direct-acting antiviral regimen,Cost-effectiveness of generic pan-genotypic sofosbuvir/velpatasvir versus genotype-dependent direct-acting antivirals for hepatitis C treatment.,Standard/Usual Care- Genotype-Dependent direct-acting antiviral regimen,NE
2018-01-27036,2018,Goel 2018 J Gastroenterol Hepatol,Cost-Saving,Genotype-Dependent direct-acting antiviral agent regimen VERSUS None IN Specific disease- Hepatitis C; Age- 19 to 40 years; Gender- Both; Country- India; Other- All patients.,29864213,Specific disease- Hepatitis C; Age- 19 to 40 years; Gender- Both; Country- India; Other- All patients.,Genotype-Dependent direct-acting antiviral agent regimen,Cost-effectiveness of generic pan-genotypic sofosbuvir/velpatasvir versus genotype-dependent direct-acting antivirals for hepatitis C treatment.,None,SE
2018-01-27036,2018,Goel 2018 J Gastroenterol Hepatol,Cost-Saving,Pan-Genotypic direct-acting antiviral agent regimen VERSUS None IN Specific disease- Hepatitis C; Age- 19 to 40 years; Gender- Both; Country- India; Other- All patients.,29864213,Specific disease- Hepatitis C; Age- 19 to 40 years; Gender- Both; Country- India; Other- All patients.,Pan-Genotypic direct-acting antiviral agent regimen,Cost-effectiveness of generic pan-genotypic sofosbuvir/velpatasvir versus genotype-dependent direct-acting antivirals for hepatitis C treatment.,None,SE
2018-01-27036,2018,Goel 2018 J Gastroenterol Hepatol,Cost-Saving,Pan-Genotypic direct-acting antiviral agent regimen VERSUS Standard/Usual Care- Genotype-Dependent direct-acting antiviral agent regimen IN Specific disease- Hepatitis C; Age- 19 to 40 years; ; Country- India; Other- Cirrhosis (F4); Genotype 3.,29864213,Specific disease- Hepatitis C; Age- 19 to 40 years; ; Country- India; Other- Cirrhosis (F4); Genotype 3.,Pan-Genotypic direct-acting antiviral agent regimen,Cost-effectiveness of generic pan-genotypic sofosbuvir/velpatasvir versus genotype-dependent direct-acting antivirals for hepatitis C treatment.,Standard/Usual Care- Genotype-Dependent direct-acting antiviral agent regimen,SE
2018-01-27036,2018,Goel 2018 J Gastroenterol Hepatol,Cost-Saving,Pan-Genotypic direct-acting antiviral agent regimen VERSUS Standard/Usual Care- Genotype-Dependent direct-acting antiviral agent regimen IN Specific disease- Hepatitis C; Age- 19 to 40 years; Gender- Both; Country- India; Other- Cirrhosis (F4); all Genotype .,29864213,Specific disease- Hepatitis C; Age- 19 to 40 years; Gender- Both; Country- India; Other- Cirrhosis (F4); all Genotype .,Pan-Genotypic direct-acting antiviral agent regimen,Cost-effectiveness of generic pan-genotypic sofosbuvir/velpatasvir versus genotype-dependent direct-acting antivirals for hepatitis C treatment.,Standard/Usual Care- Genotype-Dependent direct-acting antiviral agent regimen,SE
2018-01-26666,2018,Mateti 2018 Postgrad Med,1400,Pharmaceutical care group: pharmaceutical education designed by trained pharmacist VERSUS Standard/Usual Care- Usual care for hemodialysis patients IN Specific disease- Hemodialysis patients; Age- Adult; Gender- Both; Country- India; Other- Academic hospital patients.,30047816,Specific disease- Hemodialysis patients; Age- Adult; Gender- Both; Country- India; Other- Academic hospital patients.,Pharmaceutical care group: pharmaceutical education designed by trained pharmacist,Cost-effectiveness of pharmaceutical care on patients undergoing maintenance hemodialysis - a multicenter randomized controlled study.,Standard/Usual Care- Usual care for hemodialysis patients,NE
2018-01-26666,2018,Mateti 2018 Postgrad Med,1400,Pharmaceutical care group: pharmaceutical education designed by trained pharmacist VERSUS Standard/Usual Care- Usual care for hemodialysis patients IN Specific disease- Hemodialysis patients; Age- Adult; Gender- Both; Country- India; Other- Corporate hospital patients.,30047816,Specific disease- Hemodialysis patients; Age- Adult; Gender- Both; Country- India; Other- Corporate hospital patients.,Pharmaceutical care group: pharmaceutical education designed by trained pharmacist,Cost-effectiveness of pharmaceutical care on patients undergoing maintenance hemodialysis - a multicenter randomized controlled study.,Standard/Usual Care- Usual care for hemodialysis patients,NE
2018-01-26666,2018,Mateti 2018 Postgrad Med,3700,Pharmaceutical care group: pharmaceutical education designed by trained pharmacist VERSUS Standard/Usual Care- Usual care for hemodialysis patients IN Specific disease- Hemodialysis patients; Age- Adult; Gender- Both; Country- India; Other- Government hospital patients.,30047816,Specific disease- Hemodialysis patients; Age- Adult; Gender- Both; Country- India; Other- Government hospital patients.,Pharmaceutical care group: pharmaceutical education designed by trained pharmacist,Cost-effectiveness of pharmaceutical care on patients undergoing maintenance hemodialysis - a multicenter randomized controlled study.,Standard/Usual Care- Usual care for hemodialysis patients,NE
2017-01-24883,2017,Arora 2017 Spinal Cord,770,"Telephone-based support VERSUS Standard/Usual Care- Usual care IN Specific disease- Spinal cord injury and Pressure Ulcer; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- India; Other- Patients had at least one pressure ulcer (on the sacrum, ischial tuberosity or greater trochanter of the femur).",28809389,"Specific disease- Spinal cord injury and Pressure Ulcer; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- India; Other- Patients had at least one pressure ulcer (on the sacrum, ischial tuberosity or greater trochanter of the femur).",Telephone-based support,Cost-effectiveness analysis of telephone-based support for the management of pressure ulcers in people with spinal cord injury in India and Bangladesh.,Standard/Usual Care- Usual care,NE
