Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-35370,2020,Setiawan 2020 PLoS One,23,"human papillomavirus vaccine (quadrivalent) VERSUS Standard/Usual Care- visual Inspections using acetic acid screening/pap smear IN Healthy; Age- 0 to 18 years; Gender- Female; Country- Indonesia; Other- 21% cervical cancer screening coverage, 10% cervical cancer detection rate, 83% cervical cancer cryotherapy coverage.",32203527,"Healthy; Age- 0 to 18 years; Gender- Female; Country- Indonesia; Other- 21% cervical cancer screening coverage, 10% cervical cancer detection rate, 83% cervical cancer cryotherapy coverage.",human papillomavirus vaccine (quadrivalent),"Cervical cancer prevention in Indonesia: An updated clinical impact,  cost-effectiveness and budget impact analysis.",Standard/Usual Care- visual Inspections using acetic acid screening/pap smear,NE
2020-01-35370,2020,Setiawan 2020 PLoS One,39,"human papillomavirus vaccine (nonavalent) VERSUS Standard/Usual Care- visual Inspections using acetic acid screening/pap smear IN Healthy; Age- 0 to 18 years; Gender- Female; Country- Indonesia; Other- 21% cervical cancer screening coverage, 10% cervical cancer detection rate, 83% cervical cancer cryotherapy coverage.",32203527,"Healthy; Age- 0 to 18 years; Gender- Female; Country- Indonesia; Other- 21% cervical cancer screening coverage, 10% cervical cancer detection rate, 83% cervical cancer cryotherapy coverage.",human papillomavirus vaccine (nonavalent),"Cervical cancer prevention in Indonesia: An updated clinical impact,  cost-effectiveness and budget impact analysis.",Standard/Usual Care- visual Inspections using acetic acid screening/pap smear,NE
2020-01-35370,2020,Setiawan 2020 PLoS One,580,"human papillomavirus vaccine (bivalent) VERSUS Standard/Usual Care- visual Inspections using acetic acid screening/pap smear IN Healthy; Age- 0 to 18 years; Gender- Female; Country- Indonesia; Other- 21% cervical cancer screening coverage, 10% cervical cancer detection rate, 83% cervical cancer cryotherapy coverage.",32203527,"Healthy; Age- 0 to 18 years; Gender- Female; Country- Indonesia; Other- 21% cervical cancer screening coverage, 10% cervical cancer detection rate, 83% cervical cancer cryotherapy coverage.",human papillomavirus vaccine (bivalent),"Cervical cancer prevention in Indonesia: An updated clinical impact,  cost-effectiveness and budget impact analysis.",Standard/Usual Care- visual Inspections using acetic acid screening/pap smear,NE
2020-01-35370,2020,Setiawan 2020 PLoS One,810,"human papillomavirus vaccine (quadrivalent) VERSUS Standard/Usual Care- visual Inspections using acetic acid screening/pap smear IN Healthy; Age- 0 to 18 years; Gender- Female; Country- Indonesia; Other- 21% cervical cancer screening coverage, 10% cervical cancer detection rate, 83% cervical cancer cryotherapy coverage.",32203527,"Healthy; Age- 0 to 18 years; Gender- Female; Country- Indonesia; Other- 21% cervical cancer screening coverage, 10% cervical cancer detection rate, 83% cervical cancer cryotherapy coverage.",human papillomavirus vaccine (quadrivalent),"Cervical cancer prevention in Indonesia: An updated clinical impact,  cost-effectiveness and budget impact analysis.",Standard/Usual Care- visual Inspections using acetic acid screening/pap smear,NE
2020-01-35370,2020,Setiawan 2020 PLoS One,860,"human papillomavirus vaccine (nonavalent) VERSUS Standard/Usual Care- visual Inspections using acetic acid screening/pap smear IN Healthy; Age- 0 to 18 years; Gender- Female; Country- Indonesia; Other- 21% cervical cancer screening coverage, 10% cervical cancer detection rate, 83% cervical cancer cryotherapy coverage.",32203527,"Healthy; Age- 0 to 18 years; Gender- Female; Country- Indonesia; Other- 21% cervical cancer screening coverage, 10% cervical cancer detection rate, 83% cervical cancer cryotherapy coverage.",human papillomavirus vaccine (nonavalent),"Cervical cancer prevention in Indonesia: An updated clinical impact,  cost-effectiveness and budget impact analysis.",Standard/Usual Care- visual Inspections using acetic acid screening/pap smear,NE
2020-01-35370,2020,Setiawan 2020 PLoS One,Cost-Saving,"human papillomavirus vaccine (bivalent) VERSUS Standard/Usual Care- visual Inspections using acetic acid screening/pap smear IN Healthy; Age- 0 to 18 years; Gender- Female; Country- Indonesia; Other- 21% cervical cancer screening coverage, 10% cervical cancer detection rate, 83% cervical cancer cryotherapy coverage.",32203527,"Healthy; Age- 0 to 18 years; Gender- Female; Country- Indonesia; Other- 21% cervical cancer screening coverage, 10% cervical cancer detection rate, 83% cervical cancer cryotherapy coverage.",human papillomavirus vaccine (bivalent),"Cervical cancer prevention in Indonesia: An updated clinical impact,  cost-effectiveness and budget impact analysis.",Standard/Usual Care- visual Inspections using acetic acid screening/pap smear,SE
2020-01-34587,2020,Machlaurin 2020 Vaccines (Basel),110,bacillus calmetteâguerin vaccine (limited societal perspective) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,33256143,Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,bacillus calmetteâguerin vaccine (limited societal perspective),Cost-Effectiveness Analysis of BCG Vaccination against Tuberculosis in Indonesia: A  Model-Based Study.,None,NE
2020-01-34587,2020,Machlaurin 2020 Vaccines (Basel),120,bacillus calmetteâguerin vaccine (healthcare payer perspective) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,33256143,Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,bacillus calmetteâguerin vaccine (healthcare payer perspective),Cost-Effectiveness Analysis of BCG Vaccination against Tuberculosis in Indonesia: A  Model-Based Study.,None,NE
2020-01-32826,2020,Suwantika 2020 Int. J. Environ. Res. Public Health,10000,dengue vaccination VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,32545688,Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,dengue vaccination,Cost-Effectiveness of Dengue Vaccination in Indonesia: Considering Integrated  Programs with Wolbachia-Infected Mosquitos and Health Education.,None,NE
2020-01-32826,2020,Suwantika 2020 Int. J. Environ. Res. Public Health,4600,dengue vaccination + wolbachia program VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,32545688,Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,dengue vaccination + wolbachia program,Cost-Effectiveness of Dengue Vaccination in Indonesia: Considering Integrated  Programs with Wolbachia-Infected Mosquitos and Health Education.,None,NE
2020-01-32826,2020,Suwantika 2020 Int. J. Environ. Res. Public Health,4800,dengue vaccination + wolbachia program VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,32545688,Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,dengue vaccination + wolbachia program,Cost-Effectiveness of Dengue Vaccination in Indonesia: Considering Integrated  Programs with Wolbachia-Infected Mosquitos and Health Education.,None,NE
2020-01-32826,2020,Suwantika 2020 Int. J. Environ. Res. Public Health,5500,dengue vaccination + health education VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,32545688,Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,dengue vaccination + health education,Cost-Effectiveness of Dengue Vaccination in Indonesia: Considering Integrated  Programs with Wolbachia-Infected Mosquitos and Health Education.,None,NE
2020-01-32826,2020,Suwantika 2020 Int. J. Environ. Res. Public Health,5700,dengue vaccination + health education VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,32545688,Healthy; Age- 0 to 18 years; Gender- Both; Country- Indonesia.,dengue vaccination + health education,Cost-Effectiveness of Dengue Vaccination in Indonesia: Considering Integrated  Programs with Wolbachia-Infected Mosquitos and Health Education.,None,NE
2018-01-28565,2018,Suijkerbuijk 2018 PLoS One,10000,Hepatitis B Screening VERSUS None IN Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Indonesia.,30408079,Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Indonesia.,Hepatitis B Screening,Cost-effectiveness of screening for chronic hepatitis B and C among migrant populations in a low endemic country.,None,NE
2018-01-28565,2018,Suijkerbuijk 2018 PLoS One,13000,Hepatitis C Screening VERSUS None IN Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Indonesia.,30408079,Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Indonesia.,Hepatitis C Screening,Cost-effectiveness of screening for chronic hepatitis B and C among migrant populations in a low endemic country.,None,NE
2018-01-28565,2018,Suijkerbuijk 2018 PLoS One,8700,Both Hepatitis B and Hepatitis C Screening VERSUS None IN Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Indonesia.,30408079,Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Indonesia.,Both Hepatitis B and Hepatitis C Screening,Cost-effectiveness of screening for chronic hepatitis B and C among migrant populations in a low endemic country.,None,NE
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,11000,Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN) VERSUS Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Indonesia.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Indonesia.,Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN),Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN),NE
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,11000,Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN) VERSUS Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Singapore.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Singapore.,Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN),Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN),NE
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,19000,Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN) VERSUS Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Malaysia.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Malaysia.,Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN),Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN),NE
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,39000,Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN) VERSUS Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Thailand.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Thailand.,Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN),Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN),NE
1 2 3 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
