Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,3500,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Germany; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Germany; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,3600,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Portugal; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Portugal; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,3700,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Greece; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Greece; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,4000,percutaneous coronary intervention in all patients VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Greece; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Greece; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention in all patients,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,4100,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Greece; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Greece; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,4300,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- France; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- France; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,4300,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Greece; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Greece; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,4500,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Greece; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Greece; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,4600,percutaneous coronary intervention in all patients VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Greece; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Greece; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention in all patients,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,4700,percutaneous coronary intervention in all patients VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- France; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- France; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention in all patients,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
