Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2018-01-25945,2018,Teljeur 2018 Pediatr Infect Dis J,3.7e+006,Universal vaccination strategy for TB VERSUS Selective vaccination strategy for TB IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Ireland; Other- infants at high risk of exposure to TB infection.,29432385,Healthy; Age- 0 to 18 years; Gender- Both; Country- Ireland; Other- infants at high risk of exposure to TB infection.,Universal vaccination strategy for TB,Economic Evaluation of Selective Neonatal Bacillus Calmette-Guerin Vaccination of High-risk Infants in Ireland.,Selective vaccination strategy for TB,NE
2017-01-24985,2017,Chawla 2017 Bone Joint J,3400,Patellofemoral arthroplasty VERSUS Total knee arthroplasty IN Specific disease- Patellofemoral osteoarthritis; Age- 41 to 64 years; Gender- Both; Country- United States of America (USA).,28768779,Specific disease- Patellofemoral osteoarthritis; Age- 41 to 64 years; Gender- Both; Country- United States of America (USA).,Patellofemoral arthroplasty,Cost effectiveness of patellofemoral versus total knee arthroplasty in younger patients.,Total knee arthroplasty,NE
2017-01-23143,2017,Agus 2017 Crit Care,Cost-Saving,Once-daily simvastatin (at a dose of 80 mg) VERSUS Placebo IN Specific disease- Acute respiratory distress syndrome; Age- Adult; Gender- Both; Country- United Kingdom; Other- Patients were intubated and mechanically ventilated and were within 48 hours of onset of Acute respiratory distress syndrome.,28511660,Specific disease- Acute respiratory distress syndrome; Age- Adult; Gender- Both; Country- United Kingdom; Other- Patients were intubated and mechanically ventilated and were within 48 hours of onset of Acute respiratory distress syndrome.,Once-daily simvastatin (at a dose of 80 mg),Simvastatin for patients with acute respiratory distress syndrome: long-term outcomes and cost-effectiveness from a randomised controlled trial.,Placebo,SE
2016-01-21448,2016,Moran 2016 Value Health,33000,Annual opportunistic aarial fibrillation (AF) screening program VERSUS None IN Specific disease- Atrial fibrillation (AF); Age- >=65 years; Gender- Both; Country- Ireland; Other- with irregular pulse.,27987649,Specific disease- atrial fibrillation; Age- >=65 years; Gender- Both; Country- Ireland; Other- with irregular pulse.,Annual opportunistic aarial fibrillation (AF) screening program,Cost-Effectiveness of a National Opportunistic Screening Program for Atrial Fibrillation in Ireland.,None,NE
2016-01-20504,2016,Danyliv 2016 Diabetologia,Cost-Saving,Screening for gestational diabetes mellitus in general practitioners office VERSUS None IN Healthy; Age- Adult; Gender- Female; Country- Ireland.,26670162,Healthy; Age- Adult; Gender- Female; Country- Ireland.,Screening for gestational diabetes mellitus in general practitioners office,The cost-effectiveness of screening for gestational diabetes mellitus in primary  and secondary care in the Republic of Ireland.,None,SE
2016-01-20504,2016,Danyliv 2016 Diabetologia,Cost-Saving,Screening for gestational diabetes mellitus in hospital VERSUS None IN Healthy; Age- Adult; Gender- Female; Country- Ireland.,26670162,Healthy; Age- Adult; Gender- Female; Country- Ireland.,Screening for gestational diabetes mellitus in hospital,The cost-effectiveness of screening for gestational diabetes mellitus in primary  and secondary care in the Republic of Ireland.,None,SE
2014-01-16432,2014,Gillespie                        2014 Trials,33000,Group follow-up after structured education VERSUS Standard/Usual Care- individual follow-up IN Specific disease- type 1 diabetes; Age- Adult; Gender- Both; Country- Ireland.,24927851,Specific disease- type 1 diabetes; Age- Adult; Gender- Both; Country- Ireland.,Group follow-up after structured education,Cost effectiveness of group follow-up after structured education for type 1 diabetes: a cluster randomised controlled trial.,Standard/Usual Care- individual follow-up,SW
2014-01-15126,2014,Mason 2014 PLoS One, ,Prophylactic Antibiotics VERSUS Placebo IN Specific disease- Cellulitis of the Leg; Age- Unknown; Gender- Both; Country- United Kingdom.,24551029,Specific disease- Cellulitis of the Leg; Age- Unknown; Gender- Both; Country- United Kingdom.,Prophylactic Antibiotics,Prophylactic antibiotics to prevent cellulitis of the leg: economic analysis of the PATCH I & II trials.,Placebo,NE
2014-01-15079,2014,Teljeur 2014 Int J Technol Assess Health Care,35000,"Radical prostatectomy VERSUS Standard/Usual Care- Mixture of open and laparoscopic surgical methods in men requiring radical prostatectomy
mix of open and laparoscopic surgery IN Specific disease- Prostate cancer; Age- Adult; Gender- Male; Country- Ireland.",24472222,Specific disease- Prostate cancer; Age- Adult; Gender- Male; Country- Ireland.,Radical prostatectomy,Using prediction intervals from random-effects meta-analyses in an economic model.,"Standard/Usual Care- Mixture of open and laparoscopic surgical methods in men requiring radical prostatectomy
mix of open and laparoscopic surgery",NE
2014-01-14857,2014,Spackman 2014 Eur J Haematol,88000,"Preoperative transfusion VERSUS No preoperative transfusion IN Specific disease- Sickle cell anaemia; Age- Unknown; Gender- Both; Country- Netherlands, England, Ireland, Canada.",24329965,"Specific disease- Sickle cell anaemia; Age- Unknown; Gender- Both; Country- Netherlands, England, Ireland, Canada.",Preoperative transfusion,Cost-effectiveness analysis of preoperative transfusion in patients with sickle cell disease using evidence from the TAPS trial.,No preoperative transfusion,SW
