Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34334,2020,Michaan 2020 Cancer Prev Res (Phila),81000,whole population brca genetic cancer screening VERSUS None IN Healthy; Age- 19 to 40 years; Gender- Female; Country- Israel.,33355193,Healthy; Age- 19 to 40 years; Gender- Female; Country- Israel.,whole population brca genetic cancer screening,Cost Effectiveness of Whole Population BRCA Genetic Screening for Cancer Prevention  in Israel.,None,NE
2017-01-25385,2017,Goldstein 2017 Oncologist,300000,Bevacizumab + first-line chemotherapy VERSUS Standard/Usual Care- First-line chemotherapy only	 IN Specific disease- Metastatic Colorectal Cancer; Age- Adult; Gender- Both; Country- Australia; Other- Newly diagnosed.,28592621,Specific disease- Metastatic Colorectal Cancer; Age- Adult; Gender- Both; Country- Australia; Other- Newly diagnosed.,Bevacizumab + first-line chemotherapy,Bevacizumab for Metastatic Colorectal Cancer: A Global Cost-Effectiveness Analysis.,Standard/Usual Care- First-line chemotherapy only,NE
2017-01-25385,2017,Goldstein 2017 Oncologist,380000,Bevacizumab + first-line chemotherapy VERSUS First-line chemotherapy only	 IN Specific disease- Metastatic Colorectal Cancer; Age- Adult; Gender- Both; Country- Canada; Other- Newly diagnosed.,28592621,Specific disease- Metastatic Colorectal Cancer; Age- Adult; Gender- Both; Country- Canada; Other- Newly diagnosed.,Bevacizumab + first-line chemotherapy,Bevacizumab for Metastatic Colorectal Cancer: A Global Cost-Effectiveness Analysis.,First-line chemotherapy only,NE
2017-01-25385,2017,Goldstein 2017 Oncologist,380000,Bevacizumab + first-line chemotherapy VERSUS Standard/Usual Care- First-line chemotherapy only	 IN Specific disease- Metastatic Colorectal Cancer; Age- Adult; Gender- Both; Country- United Kingdom (UK); Other- Newly diagnosed.,28592621,Specific disease- Metastatic Colorectal Cancer; Age- Adult; Gender- Both; Country- United Kingdom (UK); Other- Newly diagnosed.,Bevacizumab + first-line chemotherapy,Bevacizumab for Metastatic Colorectal Cancer: A Global Cost-Effectiveness Analysis.,Standard/Usual Care- First-line chemotherapy only,NE
2017-01-25385,2017,Goldstein 2017 Oncologist,390000,Bevacizumab + first-line chemotherapy VERSUS Standard/Usual Care- First-line chemotherapy only	 IN Specific disease- Metastatic Colorectal Cancer; Age- Adult; Gender- Both; Country- Israel; Other- Newly diagnosed.,28592621,Specific disease- Metastatic Colorectal Cancer; Age- Adult; Gender- Both; Country- Israel; Other- Newly diagnosed.,Bevacizumab + first-line chemotherapy,Bevacizumab for Metastatic Colorectal Cancer: A Global Cost-Effectiveness Analysis.,Standard/Usual Care- First-line chemotherapy only,NE
2017-01-25385,2017,Goldstein 2017 Oncologist,620000,Bevacizumab + first-line chemotherapy VERSUS Standard/Usual Care- First-line chemotherapy only IN Specific disease- Metastatic Colorectal Cancer; Age- Adult; Gender- Both; Country- United States of America (USA); Other- Newly diagnosed.,28592621,Specific disease- Metastatic Colorectal Cancer; Age- Adult; Gender- Both; Country- United States of America (USA); Other- Newly diagnosed.,Bevacizumab + first-line chemotherapy,Bevacizumab for Metastatic Colorectal Cancer: A Global Cost-Effectiveness Analysis.,Standard/Usual Care- First-line chemotherapy only,NE
2017-01-23752,2017,Chowers 2017 Sex Transm Infect,Cost-Saving,Universal prenatal HIV screening VERSUS Standard/Usual Care- Current policy IN Healthy; Age- Adult; Gender- Female; Country- Israel; Other- Pregnant women.,28213577,Healthy; Age- Adult; Gender- Female; Country- Israel; Other- Pregnant women.,Universal prenatal HIV screening,Economic evaluation of universal prenatal HIV screening compared with current ''at risk'' policy in a very low prevalence country.,Standard/Usual Care- Current policy,SE
2014-01-16348,2014,Yamin 2014 Vaccine,11000,PLUS policy- recruiting individuals previously infected with pneumonia for influenza vaccination VERSUS Standard/Usual Care- no vaccination IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Israel.,24930716,Healthy; Age- 0 to 18 years; Gender- Both; Country- Israel.,PLUS policy- recruiting individuals previously infected with pneumonia for influenza vaccination,Cost-effectiveness of influenza vaccination in prior pneumonia patients in Israel.,Standard/Usual Care- no vaccination,NE
2014-01-16348,2014,Yamin 2014 Vaccine,3300,PLUS policy- recruiting individuals previously infected with pneumonia for influenza vaccination VERSUS Standard/Usual Care- no vaccination IN Healthy; Age- 41 to 64 years; Gender- Both; Country- Israel.,24930716,Healthy; Age- 41 to 64 years; Gender- Both; Country- Israel.,PLUS policy- recruiting individuals previously infected with pneumonia for influenza vaccination,Cost-effectiveness of influenza vaccination in prior pneumonia patients in Israel.,Standard/Usual Care- no vaccination,NE
2014-01-16348,2014,Yamin 2014 Vaccine,37000,"PLUS policy- recruiting individuals previously infected with pneumonia for influenza vaccination VERSUS Standard/Usual Care- no vaccination IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Israel.",24930716,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Israel.",PLUS policy- recruiting individuals previously infected with pneumonia for influenza vaccination,Cost-effectiveness of influenza vaccination in prior pneumonia patients in Israel.,Standard/Usual Care- no vaccination,NE
