Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2021-01-34294,2021,Hiligsmann 2021 Osteoporos Int,1300,buffered soluble alendronate VERSUS generic alendronate IN Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- prevalent vertebral fractures.,33443610,Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- prevalent vertebral fractures.,buffered soluble alendronate,Cost-effectiveness of buffered soluble alendronate 70 mg effervescent tablet for the  treatment of postmenopausal women with osteoporosis in Italy.,generic alendronate,NE
2021-01-34294,2021,Hiligsmann 2021 Osteoporos Int,140000,buffered soluble alendronate VERSUS zoledronic acid IN Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- BMD T-score <= -3.0.,33443610,Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- BMD T-score <= -3.0.,buffered soluble alendronate,Cost-effectiveness of buffered soluble alendronate 70 mg effervescent tablet for the  treatment of postmenopausal women with osteoporosis in Italy.,zoledronic acid,SW
2021-01-34294,2021,Hiligsmann 2021 Osteoporos Int,140000,buffered soluble alendronate VERSUS zoledronic acid IN Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- Prevalent vertebral fractures.,33443610,Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- Prevalent vertebral fractures.,buffered soluble alendronate,Cost-effectiveness of buffered soluble alendronate 70 mg effervescent tablet for the  treatment of postmenopausal women with osteoporosis in Italy.,zoledronic acid,SW
2021-01-34294,2021,Hiligsmann 2021 Osteoporos Int,3400,buffered soluble alendronate VERSUS None IN Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- prevalent vertebral fractures.,33443610,Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- prevalent vertebral fractures.,buffered soluble alendronate,Cost-effectiveness of buffered soluble alendronate 70 mg effervescent tablet for the  treatment of postmenopausal women with osteoporosis in Italy.,None,NE
2021-01-34294,2021,Hiligsmann 2021 Osteoporos Int,4200,buffered soluble alendronate VERSUS None IN Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- Prevalent vertebral fractures.,33443610,Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- Prevalent vertebral fractures.,buffered soluble alendronate,Cost-effectiveness of buffered soluble alendronate 70 mg effervescent tablet for the  treatment of postmenopausal women with osteoporosis in Italy.,None,NE
2021-01-34294,2021,Hiligsmann 2021 Osteoporos Int,4600,buffered soluble alendronate VERSUS generic alendronate IN Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- Prevalent vertebral fractures.,33443610,Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- Prevalent vertebral fractures.,buffered soluble alendronate,Cost-effectiveness of buffered soluble alendronate 70 mg effervescent tablet for the  treatment of postmenopausal women with osteoporosis in Italy.,generic alendronate,NE
2021-01-34294,2021,Hiligsmann 2021 Osteoporos Int,Cost-Saving,buffered soluble alendronate VERSUS denosumab IN Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- BMD T-score <= -3.0.,33443610,Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- BMD T-score <= -3.0.,buffered soluble alendronate,Cost-effectiveness of buffered soluble alendronate 70 mg effervescent tablet for the  treatment of postmenopausal women with osteoporosis in Italy.,denosumab,SE
2021-01-34294,2021,Hiligsmann 2021 Osteoporos Int,Cost-Saving,buffered soluble alendronate VERSUS denosumab IN Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- Prevalent vertebral fractures.,33443610,Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- Prevalent vertebral fractures.,buffered soluble alendronate,Cost-effectiveness of buffered soluble alendronate 70 mg effervescent tablet for the  treatment of postmenopausal women with osteoporosis in Italy.,denosumab,SE
2021-01-34294,2021,Hiligsmann 2021 Osteoporos Int,Cost-Saving,buffered soluble alendronate VERSUS generic alendronate IN Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- BMD T-score <= -3.0.,33443610,Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- BMD T-score <= -3.0.,buffered soluble alendronate,Cost-effectiveness of buffered soluble alendronate 70 mg effervescent tablet for the  treatment of postmenopausal women with osteoporosis in Italy.,generic alendronate,SE
2021-01-34294,2021,Hiligsmann 2021 Osteoporos Int,Cost-Saving,buffered soluble alendronate VERSUS None IN Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- BMD T-score <= -3.0.,33443610,Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Italy; Other- BMD T-score <= -3.0.,buffered soluble alendronate,Cost-effectiveness of buffered soluble alendronate 70 mg effervescent tablet for the  treatment of postmenopausal women with osteoporosis in Italy.,None,SE
