Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2017-01-23177,2017,Jordan 2017 Clinicoecon Outcomes Res,440000,Consultant VERSUS Booklet IN Specific disease- Gastrointestinal distress; Age- Adult; Gender- Both; Country- ; Other- Gastrointestinal distress post-pelvic radiotherapy for cancer.,28496343,Specific disease- Gastrointestinal distress; Age- Adult; Gender- Both; Country- ; Other- Gastrointestinal distress post-pelvic radiotherapy for cancer.,Consultant,Gastroenterologist and nurse management of symptoms after pelvic radiotherapy for cancer: an economic evaluation of a clinical randomized controlled trial (the ORBIT study).,Booklet,NE
2017-01-23177,2017,Jordan 2017 Clinicoecon Outcomes Res,45000,Consultant VERSUS Booklet IN Specific disease- Gastrointestinal distress; Age- Adult; Gender- Both; Country- ; Other- Gastrointestinal distress post-pelvic radiotherapy for cancer.,28496343,Specific disease- Gastrointestinal distress; Age- Adult; Gender- Both; Country- ; Other- Gastrointestinal distress post-pelvic radiotherapy for cancer.,Consultant,Gastroenterologist and nurse management of symptoms after pelvic radiotherapy for cancer: an economic evaluation of a clinical randomized controlled trial (the ORBIT study).,Booklet,NE
2017-01-23177,2017,Jordan 2017 Clinicoecon Outcomes Res,Dominated,Nurse VERSUS Booklet IN Specific disease- Gastrointestinal distress; Age- Adult; Gender- Both; Country- ; Other- Gastrointestinal distress post-pelvic radiotherapy for cancer.,28496343,Specific disease- Gastrointestinal distress; Age- Adult; Gender- Both; Country- ; Other- Gastrointestinal distress post-pelvic radiotherapy for cancer.,Nurse,Gastroenterologist and nurse management of symptoms after pelvic radiotherapy for cancer: an economic evaluation of a clinical randomized controlled trial (the ORBIT study).,Booklet,NW
2016-01-20846,2016,Katz 2016 Osteoarthritis Cartilage,1400,Ibuprofen Rx (prescription)+ Proton pump inhibitor over the counter ( PPI OTC) VERSUS Tramadol IN Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,26525846,Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,Ibuprofen Rx (prescription)+ Proton pump inhibitor over the counter ( PPI OTC),Cost-effectiveness of nonsteroidal anti-inflammatory drugs and opioids in the treatment of knee osteoarthritis in older patients with multiple comorbidities.,Tramadol,NE
2016-01-20846,2016,Katz 2016 Osteoarthritis Cartilage,190000,Ibuprofen Rx (prescription)+ Proton pump inhibitor over the counter ( PPI OTC) VERSUS Naproxen OTC (over the counter) IN Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,26525846,Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,Ibuprofen Rx (prescription)+ Proton pump inhibitor over the counter ( PPI OTC),Cost-effectiveness of nonsteroidal anti-inflammatory drugs and opioids in the treatment of knee osteoarthritis in older patients with multiple comorbidities.,Naproxen OTC (over the counter),NE
2016-01-20846,2016,Katz 2016 Osteoarthritis Cartilage,250000,Naproxen Rx (prescription) + Proton Pump Inhibitor Rx VERSUS Naproxen Rx (prescription) + Proton Pump Inhibitor OTC (over the counter) IN Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,26525846,Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,Naproxen Rx (prescription) + Proton Pump Inhibitor Rx,Cost-effectiveness of nonsteroidal anti-inflammatory drugs and opioids in the treatment of knee osteoarthritis in older patients with multiple comorbidities.,Naproxen Rx (prescription) + Proton Pump Inhibitor OTC (over the counter),NE
2016-01-20846,2016,Katz 2016 Osteoarthritis Cartilage,48000,Naproxen OTC (over the counter) VERSUS Ibuprofen Rx (prescribed) IN Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,26525846,Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,Naproxen OTC (over the counter),Cost-effectiveness of nonsteroidal anti-inflammatory drugs and opioids in the treatment of knee osteoarthritis in older patients with multiple comorbidities.,Ibuprofen Rx (prescribed),NE
2016-01-20846,2016,Katz 2016 Osteoarthritis Cartilage,590000,Celecoxib + Proton pump inhibitor over the counter ( PPI-OTC) VERSUS Celecoxib IN Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,26525846,Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,Celecoxib + Proton pump inhibitor over the counter ( PPI-OTC),Cost-effectiveness of nonsteroidal anti-inflammatory drugs and opioids in the treatment of knee osteoarthritis in older patients with multiple comorbidities.,Celecoxib,NE
2016-01-20846,2016,Katz 2016 Osteoarthritis Cartilage,6500,Naproxen OTC (Over the counter)+ Proton pump inhibitor over the counter ( PPI-OTC) VERSUS Ibuprofen OTC (Over the counter)+ Proton pump inhibitor over the counter ( PPI-OTC) IN Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,26525846,Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,Naproxen OTC (Over the counter)+ Proton pump inhibitor over the counter ( PPI-OTC),Cost-effectiveness of nonsteroidal anti-inflammatory drugs and opioids in the treatment of knee osteoarthritis in older patients with multiple comorbidities.,Ibuprofen OTC (Over the counter)+ Proton pump inhibitor over the counter ( PPI-OTC),NE
2016-01-20846,2016,Katz 2016 Osteoarthritis Cartilage,80000,Naproxen Rx (prescription) + Proton Pump Inhibitor OTC (over the counter) VERSUS Ibuprofen Rx (prescribed) IN Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,26525846,Specific disease- Knee osteoarthritis; Age- >=65 years; Gender- Both; Country- United States.,Naproxen Rx (prescription) + Proton Pump Inhibitor OTC (over the counter),Cost-effectiveness of nonsteroidal anti-inflammatory drugs and opioids in the treatment of knee osteoarthritis in older patients with multiple comorbidities.,Ibuprofen Rx (prescribed),NE
