Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-32997,2020,Walker 2020 J. Int. AIDS Soc.,120,"enhanced prophylaxis VERSUS Standard/Usual Care- 12 weeks trimethoprim/sulfamethoxazole + fluconazole IN Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya; Other- CD4 <100 cells/mm3.",32219991,"Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya; Other- CD4 <100 cells/mm3.",enhanced prophylaxis,The cost-effectiveness of prophylaxis strategies for individuals with advanced HIV  starting treatment in Africa.,Standard/Usual Care- 12 weeks trimethoprim/sulfamethoxazole + fluconazole,NE
2020-01-32997,2020,Walker 2020 J. Int. AIDS Soc.,170,"enhanced prophylaxis VERSUS Standard/Usual Care- standard prophylaxis + fluconazole IN Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya; Other- CD4 <200 cells/mm3.",32219991,"Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya; Other- CD4 <200 cells/mm3.",enhanced prophylaxis,The cost-effectiveness of prophylaxis strategies for individuals with advanced HIV  starting treatment in Africa.,Standard/Usual Care- standard prophylaxis + fluconazole,NE
2020-01-32997,2020,Walker 2020 J. Int. AIDS Soc.,2400,"standard prophylaxis + fluconazole VERSUS Standard/Usual Care- 12 weeks 160 mg trimethoprim; 800 mg sulfamethoxazole daily IN Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya.",32219991,"Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya.",standard prophylaxis + fluconazole,The cost-effectiveness of prophylaxis strategies for individuals with advanced HIV  starting treatment in Africa.,Standard/Usual Care- 12 weeks 160 mg trimethoprim; 800 mg sulfamethoxazole daily,NE
2020-01-32997,2020,Walker 2020 J. Int. AIDS Soc.,320,"standard prophylaxis + fluconazole VERSUS Standard/Usual Care- standard propylaxis: 12 weeks 160 mg trimethoprim/800 mg sulfamethoxazole daily IN Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya; Other- CD4 <100 cells/mm3.",32219991,"Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya; Other- CD4 <100 cells/mm3.",standard prophylaxis + fluconazole,The cost-effectiveness of prophylaxis strategies for individuals with advanced HIV  starting treatment in Africa.,Standard/Usual Care- standard propylaxis: 12 weeks 160 mg trimethoprim/800 mg sulfamethoxazole daily,NE
2020-01-32997,2020,Walker 2020 J. Int. AIDS Soc.,620,"standard prophylaxis + fluconazole VERSUS Standard/Usual Care- 12 weeks 160 mg trimethoprim; 800 mg sulfamethoxazole daily IN Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya; Other- CD4 <200 cells/mm3.",32219991,"Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya; Other- CD4 <200 cells/mm3.",standard prophylaxis + fluconazole,The cost-effectiveness of prophylaxis strategies for individuals with advanced HIV  starting treatment in Africa.,Standard/Usual Care- 12 weeks 160 mg trimethoprim; 800 mg sulfamethoxazole daily,NE
2020-01-32997,2020,Walker 2020 J. Int. AIDS Soc.,780,"enhanced prophylaxis VERSUS Standard/Usual Care- 12 weeks 160 mg trimethoprim; 800 mg sulfamethoxazole daily IN Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya.",32219991,"Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya.",enhanced prophylaxis,The cost-effectiveness of prophylaxis strategies for individuals with advanced HIV  starting treatment in Africa.,Standard/Usual Care- 12 weeks 160 mg trimethoprim; 800 mg sulfamethoxazole daily,NE
2020-01-32997,2020,Walker 2020 J. Int. AIDS Soc.,Dominated,"cryptococcal antigen test --> full enhanced prophylaxis or standard prophylaxis VERSUS enhanced prophylaxis: 12 weeks fixed dose combination therapy of trimethoprim-sulfmethoxazole, isoniazid (300 mg) and pyridoxine (25 mg) plus fluconazole (100 mg daily). at art initiation, single-dose albendazole (400 mg) and five days azithromycin (500 mg daily) IN Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya.",32219991,"Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya.",cryptococcal antigen test --> full enhanced prophylaxis or standard prophylaxis,The cost-effectiveness of prophylaxis strategies for individuals with advanced HIV  starting treatment in Africa.,"enhanced prophylaxis: 12 weeks fixed dose combination therapy of trimethoprim-sulfmethoxazole, isoniazid (300 mg) and pyridoxine (25 mg) plus fluconazole (100 mg daily). at art initiation, single-dose albendazole (400 mg) and five days azithromycin (500 mg daily)",NW
2020-01-32997,2020,Walker 2020 J. Int. AIDS Soc.,Dominated,"cryptococcal antigen test --> full enhanced prophylaxis or standard prophylaxis VERSUS enhanced prophylaxis: 12 weeks fixed dose combination therapy of trimethoprim-sulfmethoxazole, isoniazid (300 mg) and pyridoxine (25 mg) plus fluconazole (100 mg daily). at art initiation, single-dose albendazole (400 mg) and five days azithromycin (500 mg daily) IN Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya; Other- CD4 <200 cells/mm3.",32219991,"Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya; Other- CD4 <200 cells/mm3.",cryptococcal antigen test --> full enhanced prophylaxis or standard prophylaxis,The cost-effectiveness of prophylaxis strategies for individuals with advanced HIV  starting treatment in Africa.,"enhanced prophylaxis: 12 weeks fixed dose combination therapy of trimethoprim-sulfmethoxazole, isoniazid (300 mg) and pyridoxine (25 mg) plus fluconazole (100 mg daily). at art initiation, single-dose albendazole (400 mg) and five days azithromycin (500 mg daily)",NW
2020-01-32997,2020,Walker 2020 J. Int. AIDS Soc.,Dominated,"cryptococcal antigen test --> full enhanced prophylaxis or standard prophylaxis VERSUS enhanced prophylaxis: 12 weeks fixed dose combination therapy of trimethoprim-sulfmethoxazole, isoniazid (300 mg) and pyridoxine (25 mg) plus fluconazole (100 mg daily). at art initiation, single-dose albendazole (400 mg) and five days’ azithromycin (500 mg daily) IN Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya; Other- CD4 <100 cells/mm3.",32219991,"Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya; Other- CD4 <100 cells/mm3.",cryptococcal antigen test --> full enhanced prophylaxis or standard prophylaxis,The cost-effectiveness of prophylaxis strategies for individuals with advanced HIV  starting treatment in Africa.,"enhanced prophylaxis: 12 weeks fixed dose combination therapy of trimethoprim-sulfmethoxazole, isoniazid (300 mg) and pyridoxine (25 mg) plus fluconazole (100 mg daily). at art initiation, single-dose albendazole (400 mg) and five days’ azithromycin (500 mg daily)",NW
2020-01-32997,2020,Walker 2020 J. Int. AIDS Soc.,Dominated,"cryptococcal antigen test --> full enhanced prophylaxis w/ or w/o fluconazole VERSUS enhanced prophylaxis: 12 weeks fixed dose combination therapy of trimethoprim-sulfmethoxazole, isoniazid (300 mg) and pyridoxine (25 mg) plus fluconazole (100 mg daily). at art initiation, single-dose albendazole (400 mg) and five days azithromycin (500 mg daily) IN Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya.",32219991,"Specific disease- hiv; Age- 0 to 18 years; Gender- Both; Country- Zimbabwe, Uganda, Malawi, Kenya.",cryptococcal antigen test --> full enhanced prophylaxis w/ or w/o fluconazole,The cost-effectiveness of prophylaxis strategies for individuals with advanced HIV  starting treatment in Africa.,"enhanced prophylaxis: 12 weeks fixed dose combination therapy of trimethoprim-sulfmethoxazole, isoniazid (300 mg) and pyridoxine (25 mg) plus fluconazole (100 mg daily). at art initiation, single-dose albendazole (400 mg) and five days azithromycin (500 mg daily)",NW
