Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-33351,2020,Pena-Longobardo 2020 Expert Rev Pharmacoecon Outcomes Res,Cost-Saving,exercise + nutritional and educational programs VERSUS Standard/Usual Care- standard/usual care IN Specific disease- type 2 diabetes; Age- >=65 years; Gender- Both; Country- Belgium; Other- frail or pre-frail.,0,Specific disease- type 2 diabetes; Age- >=65 years; Gender- Both; Country- Belgium; Other- frail or pre-frail.,exercise + nutritional and educational programs,Economic evaluation of a multimodal intervention in pre-frail and frail older people with diabetes mellitus: the MID-FRAIL project.,Standard/Usual Care- standard/usual care,SE
2018-01-27075,2018,Pliakos 2018 Clin Microbiol Rev,110000,Conventional laboratory methods with antimicrobial stewardship program VERSUS Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program IN Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,29848775,Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,Conventional laboratory methods with antimicrobial stewardship program,The Cost-Effectiveness of Rapid Diagnostic Testing for the Diagnosis of Bloodstream Infections with or without Antimicrobial Stewardship.,Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program,SW
2018-01-27075,2018,Pliakos 2018 Clin Microbiol Rev,2000,Molecular rapid diagnostic tests without antimicrobial stewardship program VERSUS Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program IN Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,29848775,Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,Molecular rapid diagnostic tests without antimicrobial stewardship program,The Cost-Effectiveness of Rapid Diagnostic Testing for the Diagnosis of Bloodstream Infections with or without Antimicrobial Stewardship.,Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program,NE
2018-01-27075,2018,Pliakos 2018 Clin Microbiol Rev,240000,Blood culture nanotechnology microarray system for Gram-negative bacteria with ASP VERSUS Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program IN Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,29848775,Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,Blood culture nanotechnology microarray system for Gram-negative bacteria with ASP,The Cost-Effectiveness of Rapid Diagnostic Testing for the Diagnosis of Bloodstream Infections with or without Antimicrobial Stewardship.,Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program,SW
2018-01-27075,2018,Pliakos 2018 Clin Microbiol Rev,2600,Peptide nucleic acid fluorescent in situ hybridization without antimicrobial stewardship programs VERSUS Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship programs IN Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,29848775,Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,Peptide nucleic acid fluorescent in situ hybridization without antimicrobial stewardship programs,The Cost-Effectiveness of Rapid Diagnostic Testing for the Diagnosis of Bloodstream Infections with or without Antimicrobial Stewardship.,Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship programs,NE
2018-01-27075,2018,Pliakos 2018 Clin Microbiol Rev,Cost-Saving,Blood culture nanotechnology microarray system for Gram-positive bacteria with ASP VERSUS Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program IN Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,29848775,Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,Blood culture nanotechnology microarray system for Gram-positive bacteria with ASP,The Cost-Effectiveness of Rapid Diagnostic Testing for the Diagnosis of Bloodstream Infections with or without Antimicrobial Stewardship.,Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program,SE
2018-01-27075,2018,Pliakos 2018 Clin Microbiol Rev,Cost-Saving,Diagnosis of suspected bloodstream infection with molecular rapid diagnostic tests VERSUS Standard/Usual Care- Diagnosis with conventional laboratory methods without ASP IN Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,29848775,Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,Diagnosis of suspected bloodstream infection with molecular rapid diagnostic tests,The Cost-Effectiveness of Rapid Diagnostic Testing for the Diagnosis of Bloodstream Infections with or without Antimicrobial Stewardship.,Standard/Usual Care- Diagnosis with conventional laboratory methods without ASP,SE
2018-01-27075,2018,Pliakos 2018 Clin Microbiol Rev,Cost-Saving,Matrix-assisted laser desorption ionizationâtime of flight analysis with ASP VERSUS Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program IN Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,29848775,Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,Matrix-assisted laser desorption ionizationâtime of flight analysis with ASP,The Cost-Effectiveness of Rapid Diagnostic Testing for the Diagnosis of Bloodstream Infections with or without Antimicrobial Stewardship.,Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program,SE
2018-01-27075,2018,Pliakos 2018 Clin Microbiol Rev,Cost-Saving,Molecular rapid diagnostic tests with antimicrobial stewardship program VERSUS Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program IN Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,29848775,Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,Molecular rapid diagnostic tests with antimicrobial stewardship program,The Cost-Effectiveness of Rapid Diagnostic Testing for the Diagnosis of Bloodstream Infections with or without Antimicrobial Stewardship.,Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program,SE
2018-01-27075,2018,Pliakos 2018 Clin Microbiol Rev,Cost-Saving,PCR with antimicrobial stewardship program VERSUS Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program IN Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,29848775,Healthy; Age- Adult; Gender- Both; Country- United States; Other- Suspected bloodstream infection.,PCR with antimicrobial stewardship program,The Cost-Effectiveness of Rapid Diagnostic Testing for the Diagnosis of Bloodstream Infections with or without Antimicrobial Stewardship.,Standard/Usual Care- Conventional laboratory methods without antimicrobial stewardship program,SE
