Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,Dominated,Dexamethasone + second generation serotonin-3 receptor antagonists+ aprepitant triplet (DEX + 5HT3RA VERSUS Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Malaysia.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Malaysia.,Dexamethasone + second generation serotonin-3 receptor antagonists+ aprepitant triplet (DEX + 5HT3RA,Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN),NW
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,Dominated,Dexamethasone + second generation serotonin-3 receptor antagonists+ aprepitant triplet (DEX + 5HT3RA VERSUS Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Singapore.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Singapore.,Dexamethasone + second generation serotonin-3 receptor antagonists+ aprepitant triplet (DEX + 5HT3RA,Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN),NW
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,Dominated,Dexamethasone + second generation serotonin-3 receptor antagonists+ aprepitant triplet (DEX + 5HT3RA VERSUS Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Thailand.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Thailand.,Dexamethasone + second generation serotonin-3 receptor antagonists+ aprepitant triplet (DEX + 5HT3RA,Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN),NW
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,Dominated,Dexamethasone+second generation serotonin-3 receptor antagonists + aprepitant + olanzapine quadruple VERSUS Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Indonesia.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Indonesia.,Dexamethasone+second generation serotonin-3 receptor antagonists + aprepitant + olanzapine quadruple,Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN),NW
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,Dominated,Dexamethasone+second generation serotonin-3 receptor antagonists + aprepitant + olanzapine quadruple VERSUS Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Malaysia.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Malaysia.,Dexamethasone+second generation serotonin-3 receptor antagonists + aprepitant + olanzapine quadruple,Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN),NW
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,Dominated,Dexamethasone+second generation serotonin-3 receptor antagonists + aprepitant + olanzapine quadruple VERSUS Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Singapore.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Singapore.,Dexamethasone+second generation serotonin-3 receptor antagonists + aprepitant + olanzapine quadruple,Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN),NW
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,Dominated,Dexamethasone+second generation serotonin-3 receptor antagonists + aprepitant + olanzapine quadruple VERSUS Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Thailand.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Thailand.,Dexamethasone+second generation serotonin-3 receptor antagonists + aprepitant + olanzapine quadruple,Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone+ second generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA2 + OLN),NW
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,Dominated,Doublet dexamethasone + second generation serotonin-3 receptor antagonists (DEX + 5HT3RA2) VERSUS Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Indonesia.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Indonesia.,Doublet dexamethasone + second generation serotonin-3 receptor antagonists (DEX + 5HT3RA2),Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN),NW
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,Dominated,Doublet dexamethasone + second generation serotonin-3 receptor antagonists (DEX + 5HT3RA2) VERSUS Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Malaysia.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Malaysia.,Doublet dexamethasone + second generation serotonin-3 receptor antagonists (DEX + 5HT3RA2),Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN),NW
2018-01-26483,2018,Chanthawong 2018 Support Care Cancer,Dominated,Doublet dexamethasone + second generation serotonin-3 receptor antagonists (DEX + 5HT3RA2) VERSUS Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN) IN Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Thailand.,30112718,Specific disease- Patients with highly emetogenic chemotherapy; Age- Adult; Gender- Both; Country- Thailand.,Doublet dexamethasone + second generation serotonin-3 receptor antagonists (DEX + 5HT3RA2),Cost-effectiveness analysis of olanzapine-containing antiemetic therapy for managing highly emetogenic chemotherapy in Southeast Asia: a multinational study.,Dexamethasone + first generation serotonin-3 receptor antagonists + olanzapine (DEX + 5HT3RA1 + OLN),NW
