Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-38774,2020,Andersson 2020 Psychol Med,26,internet-based extinction therapy VERSUS waiting-list IN Specific disease- generalized anxiety disorder; Age- Adult; Gender- Both; Country- Sweden.,32340638,Specific disease- generalized anxiety disorder; Age- Adult; Gender- Both; Country- Sweden.,internet-based extinction therapy,Targeting excessive worry with internet-based extinction therapy: a randomised  controlled trial with mediation analysis and economical evaluation.,waiting-list,NE
2020-01-38774,2020,Andersson 2020 Psychol Med,Cost-Saving,internet-based extinction therapy VERSUS active control comparator IN Specific disease- generalized anxiety disorder; Age- Adult; Gender- Both; Country- Sweden.,32340638,Specific disease- generalized anxiety disorder; Age- Adult; Gender- Both; Country- Sweden.,internet-based extinction therapy,Targeting excessive worry with internet-based extinction therapy: a randomised  controlled trial with mediation analysis and economical evaluation.,active control comparator,SE
2020-01-35060,2020,Su 2020 Eur Urol Focus,220000,"renal mass biopsy VERSUS Standard/Usual Care- immediate partial nephrectomy IN Specific disease- small renal mass; Age- >=65 years; Gender- Both; Country- United States; Other- healthy, asymptomatic, incidentally detected .",32115400,"Specific disease- small renal mass; Age- >=65 years; Gender- Both; Country- United States; Other- healthy, asymptomatic, incidentally detected .",renal mass biopsy,Cost-effectiveness Analysis of (99m)Tc-sestamibi SPECT/CT to Guide Management of  Small Renal Masses.,Standard/Usual Care- immediate partial nephrectomy,SW
2020-01-35060,2020,Su 2020 Eur Urol Focus,Cost-Saving,"technetium-99m sestamibi single photon emission computed tomography/computed tomography -> biopsy VERSUS Standard/Usual Care- immediate partial nephrectomy IN Specific disease- small renal mass; Age- >=65 years; Gender- Both; Country- United States; Other- healthy, asymptomatic, incidentally detected .",32115400,"Specific disease- small renal mass; Age- >=65 years; Gender- Both; Country- United States; Other- healthy, asymptomatic, incidentally detected .",technetium-99m sestamibi single photon emission computed tomography/computed tomography -> biopsy,Cost-effectiveness Analysis of (99m)Tc-sestamibi SPECT/CT to Guide Management of  Small Renal Masses.,Standard/Usual Care- immediate partial nephrectomy,SE
2020-01-35060,2020,Su 2020 Eur Urol Focus,Cost-Saving,"technetium-99m sestamibi single photon emission computed tomography/computed tomography VERSUS Standard/Usual Care- immediate partial nephrectomy IN Specific disease- small renal mass; Age- >=65 years; Gender- Both; Country- United States; Other- healthy, asymptomatic, incidentally detected .",32115400,"Specific disease- small renal mass; Age- >=65 years; Gender- Both; Country- United States; Other- healthy, asymptomatic, incidentally detected .",technetium-99m sestamibi single photon emission computed tomography/computed tomography,Cost-effectiveness Analysis of (99m)Tc-sestamibi SPECT/CT to Guide Management of  Small Renal Masses.,Standard/Usual Care- immediate partial nephrectomy,SE
2020-01-34851,2020,Rickets 2020 BMJ Open Respir Res,Cost-Saving,"electromagnetic navigation bronchoscopy VERSUS Standard/Usual Care- CT-guided transthoracic needle aspiration IN Specific disease- indeterminate peripheral pulmonary nodules; Age- >=65 years; Gender- Both; Country- United Kingdom; Other- at risk of lung cancer, not suitable for invasive biopsy due to poor lung function.",32796019,"Specific disease- indeterminate peripheral pulmonary nodules; Age- >=65 years; Gender- Both; Country- United Kingdom; Other- at risk of lung cancer, not suitable for invasive biopsy due to poor lung function.",electromagnetic navigation bronchoscopy,Exploratory cost-effectiveness model of electromagnetic navigation bronchoscopy  (ENB) compared with CT-guided biopsy (TTNA) for diagnosis of malignant indeterminate  peripheral pulmonary nodules.,Standard/Usual Care- CT-guided transthoracic needle aspiration,SE
2020-01-34684,2020,Sutton 2020 PLoS One,2900,autoantibody test + computed tomography scan VERSUS Standard/Usual Care- computed tomography scan IN Specific disease- indeterminate pulmonary nodules; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- at risk of lung cancer.,32877432,Specific disease- indeterminate pulmonary nodules; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- at risk of lung cancer.,autoantibody test + computed tomography scan,Cost-effectiveness of a new autoantibody test added to Computed Tomography (CT)  compared to CT surveillance alone in the diagnosis of lung cancer amongst patients  with indeterminate pulmonary nodules.,Standard/Usual Care- computed tomography scan,NE
2020-01-34684,2020,Sutton 2020 PLoS One,3300,autoantibody test + computed tomography scan VERSUS Standard/Usual Care- computed tomography scan IN Specific disease- indeterminate pulmonary nodules; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- at risk of lung cancer.,32877432,Specific disease- indeterminate pulmonary nodules; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- at risk of lung cancer.,autoantibody test + computed tomography scan,Cost-effectiveness of a new autoantibody test added to Computed Tomography (CT)  compared to CT surveillance alone in the diagnosis of lung cancer amongst patients  with indeterminate pulmonary nodules.,Standard/Usual Care- computed tomography scan,NE
2020-01-34684,2020,Sutton 2020 PLoS One,4500,"autoantibody test + computed tomography scan VERSUS autoantibody test (sensitivity= 0.28, specificity= 0.98) + computed tomography scan IN Specific disease- indeterminate pulmonary nodules; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- at risk of lung cancer.",32877432,Specific disease- indeterminate pulmonary nodules; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- at risk of lung cancer.,autoantibody test + computed tomography scan,Cost-effectiveness of a new autoantibody test added to Computed Tomography (CT)  compared to CT surveillance alone in the diagnosis of lung cancer amongst patients  with indeterminate pulmonary nodules.,"autoantibody test (sensitivity= 0.28, specificity= 0.98) + computed tomography scan",NE
2020-01-34446,2020,Gassert 2020 Ultraschall Med,Cost-Saving,contrast-enhanced ultrasound for cystic renal lesions VERSUS Standard/Usual Care- MRI for cystic renal lesions IN Specific disease- unclear cystic renal lesion; Age- 41 to 64 years; Gender- Both; Country- United States.,32052386,Specific disease- unclear cystic renal lesion; Age- 41 to 64 years; Gender- Both; Country- United States.,contrast-enhanced ultrasound for cystic renal lesions,Comparison of Magnetic Resonance Imaging and Contrast-Enhanced Ultrasound as  Diagnostic Options for Unclear Cystic Renal Lesions: A Cost-Effectiveness Analysis.,Standard/Usual Care- MRI for cystic renal lesions,SE
2020-01-34442,2020,Alsumali 2020 J Med Virol,25000,letermovir VERSUS Standard/Usual Care- pre-emptive therapy in case of clinically significant cytomegalovirus infection alone IN Specific disease- allogeneic hematopoietic cell transplant recipient; Age- Adult; Gender- Both; Country- United States.,32844453,Specific disease- allogeneic hematopoietic cell transplant recipient; Age- Adult; Gender- Both; Country- United States.,letermovir,Cost-effectiveness analysis of cytomegalovirus prophylaxis in allogeneic  hematopoietic cell transplant recipients from a US payer perspective.,Standard/Usual Care- pre-emptive therapy in case of clinically significant cytomegalovirus infection alone,NE
2020-01-34428,2020,Paly 2020 J Med Econ,15000,nivolumab + ipilimumab VERSUS ipilimumab IN Specific disease- melanoma; Age- 41 to 64 years; Gender- Both; Country- Japan.,33000994,Specific disease- melanoma; Age- 41 to 64 years; Gender- Both; Country- Japan.,nivolumab + ipilimumab,Economic evaluation of nivolumab combined with ipilimumab in the first-line  treatment of advanced melanoma in Japan.,ipilimumab,NE
