Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2015-01-21085,2015,Kim 2015 Ann Intern Med,1.3e+006,"Cytologic test every year VERSUS Cytologic testing every 3 years, cotesting at age >=30 years old every 5 years IN Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- United States.",26414147,"Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- United States.",Cytologic test every year,Inefficiencies and High-Value Improvements in U.S. Cervical Cancer Screening Practice: A Cost-Effectiveness Analysis.,"Cytologic testing every 3 years, cotesting at age >=30 years old every 5 years",NE
2015-01-21085,2015,Kim 2015 Ann Intern Med,17000,"Cytologic testing every 3 years VERSUS None IN Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Female; Country- United States.",26414147,"Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Female; Country- United States.",Cytologic testing every 3 years,Inefficiencies and High-Value Improvements in U.S. Cervical Cancer Screening Practice: A Cost-Effectiveness Analysis.,None,NE
2015-01-21085,2015,Kim 2015 Ann Intern Med,22000,"Current Screening practice VERSUS None IN Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Female; Country- United States.",26414147,"Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Female; Country- United States.",Current Screening practice,Inefficiencies and High-Value Improvements in U.S. Cervical Cancer Screening Practice: A Cost-Effectiveness Analysis.,None,NE
2015-01-21085,2015,Kim 2015 Ann Intern Med,67000,"Cytologic testing every 3 years, cotesting at age >=30 years old every 5 years VERSUS Cytologic testing every 3 years IN Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Female; Country- United States.",26414147,"Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Female; Country- United States.","Cytologic testing every 3 years, cotesting at age >=30 years old every 5 years",Inefficiencies and High-Value Improvements in U.S. Cervical Cancer Screening Practice: A Cost-Effectiveness Analysis.,Cytologic testing every 3 years,NE
2014-01-16271,2014,Ryabov 2014 Public Health,17000,"Monthly visits from community health workers (CHW's) providing well-structured educational message, self management
plan VERSUS no monthly visits from CHW's IN Specific disease- type-2 diabetes; Age- 41 to 64 years; Gender- Both; Country- Mexico.",24999158,Specific disease- type 2 diabetes; Age- 41 to 64 years; Gender- Both; Country- Mexico.,"Monthly visits from community health workers (CHW's) providing well-structured educational message, self management plan",Cost-effectiveness of Community Health Workers in controlling diabetes epidemic on the U.S.-Mexico border.,no monthly visits from CHW's,NE
2014-01-15548,2014,Home 2014 J Med Econ,17000,Insulin detemir VERSUS oral glucose-lowering drugs (OGLDs) IN Specific disease- type 2 diabetes; Age- 41 to 64 years; Gender- Both; Country- South Korea; Other- insulin-naÃ¯ve.,25407031,Specific disease- type 2 diabetes; Age- 41 to 64 years; Gender- Both; Country- South Korea; Other- insulin-naÃ¯ve.,Insulin detemir,An analysis of the cost-effectiveness of starting insulin detemir in insulin-naive people with type 2 diabetes.,oral glucose-lowering drugs (OGLDs),NE
2014-01-15548,2014,Home 2014 J Med Econ,4.4e+006,Insulin detemir VERSUS oral glucose-lowering drugs (OGLDs) IN Specific disease- type 2 diabetes; Age- 41 to 64 years; Gender- Both; Country- Indonesia; Other- insulin-naÃ¯ve.,25407031,Specific disease- type 2 diabetes; Age- 41 to 64 years; Gender- Both; Country- South Korea; Other- insulin-naÃ¯ve.,Insulin detemir,An analysis of the cost-effectiveness of starting insulin detemir in insulin-naive people with type 2 diabetes.,oral glucose-lowering drugs (OGLDs),NE
2014-01-15548,2014,Home 2014 J Med Econ,410000,"Insulin detemir VERSUS oral glucose-lowering drugs (OGLDs) IN Specific disease- type 2 diabetes; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Algeria; Other- insulin-naÃ¯ve.",25407031,"Specific disease- type 2 diabetes; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Algeria; Other- insulin-naÃ¯ve.",Insulin detemir,An analysis of the cost-effectiveness of starting insulin detemir in insulin-naive people with type 2 diabetes.,oral glucose-lowering drugs (OGLDs),NE
2014-01-15548,2014,Home 2014 J Med Econ,44000,"Insulin detemir VERSUS oral glucose-lowering drugs (OGLDs) IN Specific disease- type 2 diabetes; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- India; Other- insulin-naÃ¯ve.",25407031,"Specific disease- type 2 diabetes; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- India; Other- insulin-naÃ¯ve.",Insulin detemir,An analysis of the cost-effectiveness of starting insulin detemir in insulin-naive people with type 2 diabetes.,oral glucose-lowering drugs (OGLDs),NE
2014-01-15548,2014,Home 2014 J Med Econ,Cost-Saving,"Insulin detemir VERSUS oral glucose-lowering drugs (OGLDs) IN Specific disease- type 2 diabetes; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Mexico; Other- insulin-naÃ¯ve.",25407031,"Specific disease- type 2 diabetes; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Mexico; Other- insulin-naÃ¯ve.",Insulin detemir,An analysis of the cost-effectiveness of starting insulin detemir in insulin-naive people with type 2 diabetes.,oral glucose-lowering drugs (OGLDs),SE
