Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2013-01-14297,2013,Masterton 2013 J Med Econ,13000,Micafungin (100mg/day) VERSUS Standard/Usual Care- fluconazole 400mg/day IN Specific disease- Systemic candida infection; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- Intensive care non-neutropenic patients with diabetes.,24003830,Specific disease- Systemic candida infection; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- Intensive care non-neutropenic patients with diabetes.,Micafungin (100mg/day),De-escalation from micafungin is a cost-effective alternative to traditional escalation from fluconazole in the treatment of patients with systemic Candida infections.,Standard/Usual Care- fluconazole 400mg/day,NE
2013-01-14297,2013,Masterton 2013 J Med Econ,210000,Micafungin (100mg/day) VERSUS Standard/Usual Care- fluconazole 400mg/day IN Specific disease- Systemic candida infection; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- Intensive care non-neutropenic patients with advanced cancer.,24003830,Specific disease- Systemic candida infection; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- Intensive care non-neutropenic patients with advanced cancer.,Micafungin (100mg/day),De-escalation from micafungin is a cost-effective alternative to traditional escalation from fluconazole in the treatment of patients with systemic Candida infections.,Standard/Usual Care- fluconazole 400mg/day,NE
2013-01-14297,2013,Masterton 2013 J Med Econ,45000,Micafungin (100mg/day) VERSUS Standard/Usual Care- fluconazole 400mg/day IN Specific disease- Systemic candida infection; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- Intensive care non-neutropenic patients.,24003830,Specific disease- Systemic candida infection; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- Intensive care non-neutropenic patients.,Micafungin (100mg/day),De-escalation from micafungin is a cost-effective alternative to traditional escalation from fluconazole in the treatment of patients with systemic Candida infections.,Standard/Usual Care- fluconazole 400mg/day,NE
2013-01-14297,2013,Masterton 2013 J Med Econ,47000,Micafungin (100mg/day) VERSUS Standard/Usual Care- fluconazole 400mg/day IN Specific disease- Systemic candida infection; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- Intensive care non-neutropenic patients with cancer.,24003830,Specific disease- Systemic candida infection; Age- 41 to 64 years; Gender- Both; Country- United Kingdom; Other- Intensive care non-neutropenic patients with cancer.,Micafungin (100mg/day),De-escalation from micafungin is a cost-effective alternative to traditional escalation from fluconazole in the treatment of patients with systemic Candida infections.,Standard/Usual Care- fluconazole 400mg/day,NE
2013-01-11577,2013,Carrion 2013 J Hepatol,Cost-Saving,"Multidisciplinary support programme VERSUS Standard/Usual Care IN Specific disease- Hepatitis C; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Spain.",23811030,"Specific disease- Hepatitis C; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Spain.",Multidisciplinary support programme,A multidisciplinary support programme increases the efficiency of pegylated interferon alfa-2a and ribavirin in hepatitis C.,Standard/Usual Care,SE
2013-01-11099,2013,Alba 2013 Expert Rev Pharmacoecon Outcomes Res,29000,Nanoparticle albumin-bound paclitaxel administered every 3 weeks VERSUS polyethylated castor oil-based standard paclitaxel administered every 3 weeks IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Spain; Other- failed first-line antitumor treatment.,23534988,Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Spain; Other- failed first-line antitumor treatment.,Nanoparticle albumin-bound paclitaxel administered every 3 weeks,Cost-utility analysis of nanoparticle albumin-bound paclitaxel versus paclitaxel  in monotherapy in pretreated metastatic breast cancer in Spain.,polyethylated castor oil-based standard paclitaxel administered every 3 weeks,NE
2011-01-07622,2011,Carles 2011 BMC Cancer,16000,Biennial mammography screening from age 45-69 years VERSUS Biennial mammography screening from age 50-69 years IN Women aged 40-79 years in Spain,21605383,Women aged 40-79 years in Spain,Biennial mammography screening from age 45-69 years,Cost-effectiveness of early detection of breast cancer in Catalonia (Spain).,Biennial mammography screening from age 50-69 years,NE
2011-01-07622,2011,Carles 2011 BMC Cancer,21000,Biennial mammography screening from age 45-74 years VERSUS Biennial mammography screening from age 45-69 years IN Women aged 40-79 years in Spain,21605383,Women aged 40-79 years in Spain,Biennial mammography screening from age 45-74 years,Cost-effectiveness of early detection of breast cancer in Catalonia (Spain).,Biennial mammography screening from age 45-69 years,NE
2011-01-07622,2011,Carles 2011 BMC Cancer,27000,Annual mammography screening from age 45-69 years VERSUS Biennial mammography screening from age 45-74 years IN Women aged 40-79 years in Spain,21605383,Women aged 40-79 years in Spain,Annual mammography screening from age 45-69 years,Cost-effectiveness of early detection of breast cancer in Catalonia (Spain).,Biennial mammography screening from age 45-74 years,NE
2011-01-07622,2011,Carles 2011 BMC Cancer,41000,Annual mammography screening from age 40-69 years VERSUS Annual mammography screening from age 45-69 years IN Women aged 40-79 years in Spain,21605383,Women aged 40-79 years in Spain,Annual mammography screening from age 40-69 years,Cost-effectiveness of early detection of breast cancer in Catalonia (Spain).,Annual mammography screening from age 45-69 years,NE
2011-01-07622,2011,Carles 2011 BMC Cancer,44000,Annual mammography screening from age 40-74 years VERSUS Annual mammography screening from age 40-69 years IN Women aged 40-79 years in Spain,21605383,Women aged 40-79 years in Spain,Annual mammography screening from age 40-74 years,Cost-effectiveness of early detection of breast cancer in Catalonia (Spain).,Annual mammography screening from age 40-69 years,NE
2011-01-07622,2011,Carles 2011 BMC Cancer,7400,Biennial mammography screening from age 50-69 years VERSUS None IN Women aged 40-79 years in Spain,21605383,Women aged 40-79 years in Spain,Biennial mammography screening from age 50-69 years,Cost-effectiveness of early detection of breast cancer in Catalonia (Spain).,None,NE
2009-01-04849,2009,Vera-Llonch 2009 Eur J Health Econ,41000,Pregabalin (300-600 mg/day) VERSUS Venlafaxine extended release (XR) (75-225 mg/day) IN Generalized anxiety disorder patients,19506926,Generalized anxiety disorder patients,Pregabalin (300-600 mg/day),Cost-effectiveness of pregabalin versus venlafaxine in the treatment of generalized anxiety disorder: findings from a Spanish perspective.,Venlafaxine extended release (XR) (75-225 mg/day),NE
2008-01-04670,2008,Vera-Llonch 2008 J Rheumatol,59000,Abatacept plus oral disease modifying antirheumatic drugs VERSUS Oral disease modifying antirheumatic drugs IN US women aged 55-64 years old with moderate to severely active rheumatoid arthritis and inadequate response to anti-TNF (tumor necrosis factor) drugs; lifetime horizon,18634164,US women aged 55-64 years old with moderate to severely active rheumatoid arthritis and inadequate response to anti-TNF (tumor necrosis factor) drugs; lifetime horizon,Abatacept plus oral disease modifying antirheumatic drugs,Cost-effectiveness of abatacept in patients with moderately to severely active rheumatoid arthritis and inadequate response to tumor necrosis factor-alpha antagonists.,Oral disease modifying antirheumatic drugs,NE
2008-01-04670,2008,Vera-Llonch 2008 J Rheumatol,65000,Abatacept plus oral disease modifying antirheumatic drugs VERSUS Oral disease modifying antirheumatic drugs IN US women aged 55-64 years old with moderate to severely active rheumatoid arthritis and inadequate response to anti-TNF (tumor necrosis factor) drugs; 10-year horizon,18634164,US women aged 55-64 years old with moderate to severely active rheumatoid arthritis and inadequate response to anti-TNF (tumor necrosis factor) drugs; 10-year horizon,Abatacept plus oral disease modifying antirheumatic drugs,Cost-effectiveness of abatacept in patients with moderately to severely active rheumatoid arthritis and inadequate response to tumor necrosis factor-alpha antagonists.,Oral disease modifying antirheumatic drugs,NE
2008-01-03107,2008,Vera-Llonch 2008 Epilepsia,68000,"Pregabalin as add-on therapy (average daily dose of 300 mg/day) VERSUS Standard therapy IN Patients with partial seizures (simple partial, complex partial, with or without secondary generalized tonic-clonic) not adequately controlled on at least one antiepileptic drug",17822431,"Patients with partial seizures (simple partial, complex partial, with or without secondary generalized tonic-clonic) not adequately controlled on at least one antiepileptic drug",Pregabalin as add-on therapy (average daily dose of 300 mg/day),Cost-effectiveness of Add-on Therapy with Pregabalin in Patients with Refractory Partial Epilepsy.,Standard therapy,NE
2006-01-02289,2006,Tarride 2006 Clin Ther,Cost-Saving, ,17213013,Patients with neuropathic pain associated with peripheral neuropathy and postherpetic neuralgia,Pregabalin for diabetic peripheral neuropathy (DPN),Cost-effectiveness of pregabalin for the management of neuropathic pain associated with diabetic peripheral neuropathy and postherpetic neuralgia: a Canadian perspective, ,SE
