Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-35477,2020,Getaneh 2020 Cancer Med,70000,prostate specific antigen screening (eighteen tests at 1 year interval) VERSUS None IN Healthy; Age- 41 to 64 years; Gender- Male; Country- Netherlands.,32813910,Healthy; Age- 41 to 64 years; Gender- Male; Country- Netherlands.,prostate specific antigen screening (eighteen tests at 1 year interval),"Assessment of harms, benefits, and cost-effectiveness of prostate cancer screening:  A micro-simulation study of 230 scenarios.",None,NE
2020-01-35424,2020,van de Laar 2020 Clinicoecon Outcomes Res,Cost-Saving,"csdmard --> increased dose --> baricitinib --> tapered dose with sustained remission VERSUS low-dose conventional synthetic disease-modifying antirheumatic drug --> high dose if remission is not achieved --> adalimumab if remission is not achieved --> a second biological disease-modifying antirheumatic drug if remission is not achieved IN Specific disease- rheumatoid arthritis; Age- Unknown; Gender- Both; Country- Netherlands; Other- Dutch Rheumatoid Arthritis Monitoring registry cohorts, methotrexate inadequate responders.",32346301,"Specific disease- rheumatoid arthritis; Age- Unknown; Gender- Both; Country- Netherlands; Other- Dutch Rheumatoid Arthritis Monitoring registry cohorts, methotrexate inadequate responders.",csdmard --> increased dose --> baricitinib --> tapered dose with sustained remission,Cost-Effectiveness of a JAK1/JAK2 Inhibitor vs a Biologic Disease-Modifying  Antirheumatic Drug (bDMARD) in a Treat-to-Target Strategy for Rheumatoid Arthritis.,low-dose conventional synthetic disease-modifying antirheumatic drug --> high dose if remission is not achieved --> adalimumab if remission is not achieved --> a second biological disease-modifying antirheumatic drug if remission is not achieved,SE
2020-01-35279,2020,Bakker 2020 Cost Eff Resour Alloc,Cost-Saving,real time analytics for mechanically ventilated patients VERSUS Standard/Usual Care- standard/usual care IN Healthy; Age- Unknown; Gender- Both; Country- Greece; Other- mechanically ventilated patients in the intensive care unit.,33308234,Healthy; Age- Unknown; Gender- Both; Country- Greece; Other- mechanically ventilated patients in the intensive care unit.,real time analytics for mechanically ventilated patients,The potential of real-time analytics to improve care for mechanically ventilated  patients in the intensive care unit: an early economic evaluation.,Standard/Usual Care- standard/usual care,SE
2020-01-35111,2020,Piera-Jiménez 2020 J Med Internet Res,150000,"information and communication technology based program for behaviour change VERSUS Standard/Usual Care- treatment as usual IN Specific disease- cardiovascular disease; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands; Other- hypertension, coronary artery disease, symptomatic heart failure.",32720908,"Specific disease- cardiovascular disease; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands; Other- hypertension, coronary artery disease, symptomatic heart failure.",information and communication technology based program for behaviour change,Changing the Health Behavior of Patients With Cardiovascular Disease Through an  Electronic Health Intervention in Three Different Countries: Cost-Effectiveness  Study in the Do Cardiac Health: Advanced New Generation Ecosystem (Do CHANGE) 2  Randomized Controlled Trial.,Standard/Usual Care- treatment as usual,NE
2020-01-35111,2020,Piera-Jiménez 2020 J Med Internet Res,23000,"information and communication technology based program for behaviour change VERSUS Standard/Usual Care- treatment as usual IN Specific disease- cardiovascular disease; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Spain; Other- hypertension, coronary artery disease, symptomatic heart failure.",32720908,"Specific disease- cardiovascular disease; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Spain; Other- hypertension, coronary artery disease, symptomatic heart failure.",information and communication technology based program for behaviour change,Changing the Health Behavior of Patients With Cardiovascular Disease Through an  Electronic Health Intervention in Three Different Countries: Cost-Effectiveness  Study in the Do Cardiac Health: Advanced New Generation Ecosystem (Do CHANGE) 2  Randomized Controlled Trial.,Standard/Usual Care- treatment as usual,SW
2020-01-35111,2020,Piera-Jiménez 2020 J Med Internet Res,Dominated,"information and communication technology based program for behaviour change VERSUS Standard/Usual Care- treatment as usual IN Specific disease- cardiovascular disease; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Taiwan; Other- hypertension, coronary artery disease, symptomatic heart failure.",32720908,"Specific disease- cardiovascular disease; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Taiwan; Other- hypertension, coronary artery disease, symptomatic heart failure.",information and communication technology based program for behaviour change,Changing the Health Behavior of Patients With Cardiovascular Disease Through an  Electronic Health Intervention in Three Different Countries: Cost-Effectiveness  Study in the Do Cardiac Health: Advanced New Generation Ecosystem (Do CHANGE) 2  Randomized Controlled Trial.,Standard/Usual Care- treatment as usual,NW
2020-01-34956,2020,van Gerven 2020 BMC Health Serv Res,Dominated,"reduced imaging follow up protocol VERSUS Standard/Usual Care- usual care (routine radiography at weeks 1, 2, 6 and 12) IN Specific disease- ankle fracture; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands; Other- no distortions or isolated danis-weber type a fractures, no fractures to multiple extremities and pathologic or open fractures.",32962710,"Specific disease- ankle fracture; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands; Other- no distortions or isolated danis-weber type a fractures, no fractures to multiple extremities and pathologic or open fractures.",reduced imaging follow up protocol,Reduction of routine use of radiography in patients with ankle fractures leads to  lower costs and has no impact on clinical outcome: an economic evaluation.,"Standard/Usual Care- usual care (routine radiography at weeks 1, 2, 6 and 12)",NW
2020-01-34926,2020,Sitnikova 2020 J Psychosom Res,Cost-Saving,"cognitive behavioural therapy (societal perspective) VERSUS Standard/Usual Care- usual care IN Specific disease- medically unexplained physical symptoms; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands; Other- no medical or psychological disorder that explained the reported symptoms, no severe psychiatric disorder, not currently receiving psychological help for these symptoms, adequate language skills and physicial capabilities to allow for understanding of the intervention and questionnaires.",32920476,"Specific disease- medically unexplained physical symptoms; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands; Other- no medical or psychological disorder that explained the reported symptoms, no severe psychiatric disorder, not currently receiving psychological help for these symptoms, adequate language skills and physicial capabilities to allow for understanding of the intervention and questionnaires.",cognitive behavioural therapy (societal perspective),A brief cognitive behavioural intervention is cost-effective for primary care  patients with medically unexplained physical symptoms compared to usual care.,Standard/Usual Care- usual care,SE
2020-01-34827,2020,van Vugt 2020 BMJ Open,150000,"internet based vestibular rehabilitation + physiotherapist support VERSUS Standard/Usual Care- standard care provided by general practitioners IN Specific disease- chronic vestibular syndrome; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands; Other- chronic vestibular syndrome according to the International Classification of Vestibular Disorders, symptoms exacerbated or triggered by head movement, good command of the Dutch language, access to internet and email account.",33060078,"Specific disease- chronic vestibular syndrome; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands; Other- chronic vestibular syndrome according to the International Classification of Vestibular Disorders, symptoms exacerbated or triggered by head movement, good command of the Dutch language, access to internet and email account.",internet based vestibular rehabilitation + physiotherapist support,Cost-effectiveness of internet-based vestibular rehabilitation with and without  physiotherapy support for adults aged 50 and older with a chronic vestibular  syndrome in general practice.,Standard/Usual Care- standard care provided by general practitioners,NE
2020-01-34827,2020,van Vugt 2020 BMJ Open,29000,"internet based vestibular rehabilitation VERSUS Standard/Usual Care- standard care provided by general practitioners IN Specific disease- chronic vestibular syndrome; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands; Other- chronic vestibular syndrome according to the International Classification of Vestibular Disorders, symptoms exacerbated or triggered by head movement, good command of the Dutch language, access to internet and email account.",33060078,"Specific disease- chronic vestibular syndrome; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands; Other- chronic vestibular syndrome according to the International Classification of Vestibular Disorders, symptoms exacerbated or triggered by head movement, good command of the Dutch language, access to internet and email account.",internet based vestibular rehabilitation,Cost-effectiveness of internet-based vestibular rehabilitation with and without  physiotherapy support for adults aged 50 and older with a chronic vestibular  syndrome in general practice.,Standard/Usual Care- standard care provided by general practitioners,NE
