Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2019-01-31115,2019,Ying 2019 Am J Kidney Dis,8900,"no further coronary artery disease screening VERSUS Standard/Usual Care- Coronary artery disease screening IN Specific disease- kidney failure; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Australia; Other- In transplantation waitlist, no symptoms of coronary artery disease.",31810731,"Specific disease- kidney failure; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Australia; Other- In transplantation waitlist, no symptoms of coronary artery disease.",no further coronary artery disease screening,Screening for Asymptomatic Coronary Artery Disease in Waitlisted Kidney Transplant Candidates: A Cost-Utility Analysis.,Standard/Usual Care- Coronary artery disease screening,NE
2019-01-30965,2019,Nghiem 2019 Sci Rep,14000,statin therapy + anti-hypertensive therapy VERSUS None IN Healthy; Age- 41 to 64 years; Gender- Male; Country- New Zealand.,31862895,Healthy; Age- 41 to 64 years; Gender- Male; Country- New Zealand.,statin therapy + anti-hypertensive therapy,"Preventive Pharmacotherapy for Cardiovascular Disease: A Modelling Study Considering Health Gain, Costs, and Cost-Effectiveness when Stratifying by Absolute Risk.",None,NE
2019-01-30965,2019,Nghiem 2019 Sci Rep,2300,statin therapy + anti-hypertensive therapy VERSUS None IN Healthy; Age- 41 to 64 years; Gender- Male; Country- New Zealand.,31862895,Healthy; Age- 41 to 64 years; Gender- Male; Country- New Zealand.,statin therapy + anti-hypertensive therapy,"Preventive Pharmacotherapy for Cardiovascular Disease: A Modelling Study Considering Health Gain, Costs, and Cost-Effectiveness when Stratifying by Absolute Risk.",None,NE
2019-01-30965,2019,Nghiem 2019 Sci Rep,2800,statin therapy + anti-hypertensive therapy VERSUS None IN Healthy; Age- 41 to 64 years; Gender- Male; Country- New Zealand.,31862895,Healthy; Age- 41 to 64 years; Gender- Male; Country- New Zealand.,statin therapy + anti-hypertensive therapy,"Preventive Pharmacotherapy for Cardiovascular Disease: A Modelling Study Considering Health Gain, Costs, and Cost-Effectiveness when Stratifying by Absolute Risk.",None,NE
2019-01-30965,2019,Nghiem 2019 Sci Rep,37000,statin therapy + anti-hypertensive therapy VERSUS None IN Healthy; Age- 41 to 64 years; Gender- Male; Country- New Zealand.,31862895,Healthy; Age- 41 to 64 years; Gender- Male; Country- New Zealand.,statin therapy + anti-hypertensive therapy,"Preventive Pharmacotherapy for Cardiovascular Disease: A Modelling Study Considering Health Gain, Costs, and Cost-Effectiveness when Stratifying by Absolute Risk.",None,NE
2019-01-30965,2019,Nghiem 2019 Sci Rep,5000,statin therapy + anti-hypertensive therapy VERSUS None IN Healthy; Age- 41 to 64 years; Gender- Male; Country- New Zealand.,31862895,Healthy; Age- 41 to 64 years; Gender- Male; Country- New Zealand.,statin therapy + anti-hypertensive therapy,"Preventive Pharmacotherapy for Cardiovascular Disease: A Modelling Study Considering Health Gain, Costs, and Cost-Effectiveness when Stratifying by Absolute Risk.",None,NE
2019-01-30621,2019,Cleghorn 2019 Prev Med,Cost-Saving,"National cap on the size of single serving sugar-sweetened beverages VERSUS Previous baseline average intake of SSB IN Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- New Zealand.",30660706,"Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- New Zealand.",National cap on the size of single serving sugar-sweetened beverages,Estimating the health benefits and cost-savings of a cap on the size of single serve sugar-sweetened beverages.,Previous baseline average intake of SSB,SE
2019-01-30605,2019,Cleghorn 2019 JMIR Mhealth Uhealth,110000,"National mass media promotion of smartphone apps for weight loss VERSUS None IN Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Male; Country- New Zealand; Other- Access to a smartphone.",30664471,"Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Male; Country- New Zealand; Other- Access to a smartphone.",National mass media promotion of smartphone apps for weight loss,Health Benefits and Cost-Effectiveness From Promoting Smartphone Apps for Weight  Loss: Multistate Life Table Modeling.,None,NE
2019-01-30605,2019,Cleghorn 2019 JMIR Mhealth Uhealth,120000,"National mass media promotion of smartphone apps for weight loss VERSUS None IN Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- New Zealand; Other- Access to a smartphone.",30664471,"Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- New Zealand; Other- Access to a smartphone.",National mass media promotion of smartphone apps for weight loss,Health Benefits and Cost-Effectiveness From Promoting Smartphone Apps for Weight  Loss: Multistate Life Table Modeling.,None,NE
2019-01-30605,2019,Cleghorn 2019 JMIR Mhealth Uhealth,120000,"National mass media promotion of smartphone apps for weight loss VERSUS None IN Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Female; Country- New Zealand; Other- Access to a smartphone.",30664471,"Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Female; Country- New Zealand; Other- Access to a smartphone.",National mass media promotion of smartphone apps for weight loss,Health Benefits and Cost-Effectiveness From Promoting Smartphone Apps for Weight  Loss: Multistate Life Table Modeling.,None,NE
