Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-32817,2020,Fatoye 2020 JMIR Mhealth Uhealth,Cost-Saving,"telerehabilitation VERSUS clinic based McKenzie therapy IN Specific disease- chronic low back pain; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Nigeria; Other- non specific chronic low back pain.",32357128,"Specific disease- chronic low back pain; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Nigeria; Other- non specific chronic low back pain.",telerehabilitation,The Clinical and Cost-Effectiveness of Telerehabilitation for People With  Nonspecific Chronic Low Back Pain: Randomized Controlled Trial.,clinic based McKenzie therapy,SE
2018-01-25593,2018,Li                               2018 Lancet Glob Health,220,Tranexamic acid in addition to usual care for treatment of postpartum hemorrhage VERSUS Standard/Usual Care- Usual care for treatment of postpartum hemorrhage IN Specific disease- Post-partum hemorrhage; Age- Adult; Gender- Female; Country- Nigeria.,29389542,Specific disease- Post-partum hemorrhage; Age- Adult; Gender- Female; Country- Nigeria.,Tranexamic acid in addition to usual care for treatment of postpartum hemorrhage,Tranexamic acid for treatment of women with post-partum haemorrhage in Nigeria and Pakistan: a cost-effectiveness analysis of data from the WOMAN trial.,Standard/Usual Care- Usual care for treatment of postpartum hemorrhage,NE
2018-01-25593,2018,Li                               2018 Lancet Glob Health,90,Tranexamic acid in addition to usual care for treatment of postpartum hemorrhage VERSUS Standard/Usual Care- Usual care for treatment of postpartum hemorrhage IN Specific disease- Post-partum hemorrhage; Age- Adult; Gender- Female; Country- Pakistan.,29389542,Specific disease- Post-partum hemorrhage; Age- Adult; Gender- Female; Country- Pakistan.,Tranexamic acid in addition to usual care for treatment of postpartum hemorrhage,Tranexamic acid for treatment of women with post-partum haemorrhage in Nigeria and Pakistan: a cost-effectiveness analysis of data from the WOMAN trial.,Standard/Usual Care- Usual care for treatment of postpartum hemorrhage,NE
2016-01-22616,2016,Udeh 2016 BMC Cancer,1600,"Fixed -dose combination of dutasteride and tamsulosin VERSUS Dutasteride monotherapy IN Specific disease- Benign prostatic hyperplasia; Age- 41 to 64 years, >=65 years, Adult; Gender- Male; Country- Nigeria; Other- International Prostate Symptom Score =12, prostate volume =30 cm(3), prostate-specific antigen 1.5-10 ng/ml, and maximum urinary flow rate (Q(max)) >5 and =15.",27388750,"Specific disease- Benign prostatic hyperplasia; Age- 41 to 64 years, >=65 years, Adult; Gender- Male; Country- Nigeria; Other- International Prostate Symptom Score =12, prostate volume =30 cm(3), prostate-specific antigen 1.5-10 ng/ml, and maximum urinary flow rate (Q(max)) >5 and =15.",Fixed -dose combination of dutasteride and tamsulosin,A cost effective analysis of fixed-dose combination of dutasteride and tamsulosin compared with dutasteride monotherapy for benign prostatic hyperplasia in Nigeria: a middle income perspective; using an interactive Markov model.,Dutasteride monotherapy,NE
2013-01-10971,2013,Schneider 2013 PLoS One,13000,Lopinavir + Ritonavir (LPV/r) + Raltegravir as second line therapy VERSUS Standard/Usual care IN Specific disease- HIV; Age- Adult; Gender- Both; Country- South Africa; Other- N(t)RTI and NNRTI experienced with treatment failure.,23457450,Specific disease- HIV; Age- Adult; Gender- Both; Country- South Africa; Other- N(t)RTI and NNRTI experienced with treatment failure.,Lopinavir + Ritonavir (LPV/r) + Raltegravir as second line therapy,The potential cost and benefits of raltegravir in simplified second-line therapy  among HIV infected patients in Nigeria and South Africa.,Standard/Usual care,NE
2013-01-10971,2013,Schneider 2013 PLoS One,19000,Lopinavir + Ritonavir (LPV/r) + Raltegravir as second line therapy VERSUS Standard/Usual care IN Specific disease- HIV; Age- Adult; Gender- Both; Country- Nigeria; Other- N(t)RTI and NNRTI experienced with treatment failure.,23457450,Specific disease- HIV; Age- Adult; Gender- Both; Country- Nigeria; Other- N(t)RTI and NNRTI experienced with treatment failure.,Lopinavir + Ritonavir (LPV/r) + Raltegravir as second line therapy,The potential cost and benefits of raltegravir in simplified second-line therapy  among HIV infected patients in Nigeria and South Africa.,Standard/Usual care,NE
2013-01-10798,2013,Ekwunife 2013 Cost Eff Resour Alloc,1500,Thiazide diuretic VERSUS None IN Specific disease- Hypertension; Age- Adult; Gender- Both; Country- Nigeria; Other- Medium cardiovascular risk.,23343250,Specific disease- Hypertension; Age- Adult; Gender- Both; Country- Nigeria; Other- Medium cardiovascular risk.,Thiazide diuretic,Cost-utility analysis of antihypertensive medications in Nigeria: a decision analysis.,None,NE
2013-01-10798,2013,Ekwunife 2013 Cost Eff Resour Alloc,15000,Calcium channel blocker (CCB) VERSUS None IN Specific disease- Hypertension; Age- Adult; Gender- Both; Country- Nigeria; Other- High cardiovascular risk.,23343250,Specific disease- Hypertension; Age- Adult; Gender- Both; Country- Nigeria; Other- High cardiovascular risk.,Calcium channel blocker (CCB),Cost-utility analysis of antihypertensive medications in Nigeria: a decision analysis.,None,NE
2013-01-10798,2013,Ekwunife 2013 Cost Eff Resour Alloc,1700,Thiazide diuretic VERSUS None IN Specific disease- Hypertension; Age- Adult; Gender- Both; Country- Nigeria; Other- High cardiovascular risk.,23343250,Specific disease- Hypertension; Age- Adult; Gender- Both; Country- Nigeria; Other- High cardiovascular risk.,Thiazide diuretic,Cost-utility analysis of antihypertensive medications in Nigeria: a decision analysis.,None,NE
2013-01-10798,2013,Ekwunife 2013 Cost Eff Resour Alloc,18000,Angiotensin converting enzyme inhibitor (ACEI) VERSUS None IN Specific disease- Hypertension; Age- Adult; Gender- Both; Country- Nigeria; Other- Low cardiovascular risk.,23343250,Specific disease- Hypertension; Age- Adult; Gender- Both; Country- Nigeria; Other- Low cardiovascular risk.,Angiotensin converting enzyme inhibitor (ACEI),Cost-utility analysis of antihypertensive medications in Nigeria: a decision analysis.,None,NE
2013-01-10798,2013,Ekwunife 2013 Cost Eff Resour Alloc,18000,Calcium channel blocker (CCB) VERSUS None IN Specific disease- Hypertension; Age- Adult; Gender- Both; Country- Nigeria; Other- Medium cardiovascular risk.,23343250,Specific disease- Hypertension; Age- Adult; Gender- Both; Country- Nigeria; Other- Medium cardiovascular risk.,Calcium channel blocker (CCB),Cost-utility analysis of antihypertensive medications in Nigeria: a decision analysis.,None,NE
