Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2019-01-31938,2019,Hansen 2019 Eur J Health Econ,Dominated,tadalafil VERSUS Sildenafil IN Specific disease- erectile dysfunction; Age- 41 to 64 years; Gender- Male; Country- Norway; Other- Diabetic.,31512069,Specific disease- erectile dysfunction; Age- 41 to 64 years; Gender- Male; Country- Norway; Other- Diabetic.,tadalafil,A cost-utility analysis of phosphodiesterase type 5 inhibitors in the treatment of erectile dysfunction.,Sildenafil,NW
2019-01-31938,2019,Hansen 2019 Eur J Health Econ,Dominated,vardenafil VERSUS None IN Specific disease- erectile dysfunction; Age- 41 to 64 years; Gender- Male; Country- Norway; Other- Diabetic.,31512069,Specific disease- erectile dysfunction; Age- 41 to 64 years; Gender- Male; Country- Norway; Other- Diabetic.,vardenafil,A cost-utility analysis of phosphodiesterase type 5 inhibitors in the treatment of erectile dysfunction.,None,NW
2019-01-31938,2019,Hansen 2019 Eur J Health Econ,Dominated,vardenafil VERSUS Sildenafil IN Specific disease- erectile dysfunction; Age- 41 to 64 years; Gender- Male; Country- Norway.,31512069,Specific disease- erectile dysfunction; Age- 41 to 64 years; Gender- Male; Country- Norway.,vardenafil,A cost-utility analysis of phosphodiesterase type 5 inhibitors in the treatment of erectile dysfunction.,Sildenafil,NW
2019-01-31124,2019,Heldal 2019 Clin Kidney J,500000,kidney transplant VERSUS Standard/Usual Care- Dialysis IN Specific disease- end-stage renal disease; Age- >=65 years; Gender- Both; Country- Norway.,31807304,Specific disease- end-stage renal disease; Age- >=65 years; Gender- Both; Country- Norway.,kidney transplant,Kidney transplantation: an attractive and cost-effective alternative for older patients? A cost-utility study.,Standard/Usual Care- Dialysis,NE
2019-01-30410,2019,Asphaug 2019 MDM Policy Pract,140000,"14-gene panel VERSUS 7-gene panel to diagnose hereditary breast and ovarian cancer in early-onset breast cancer patients IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Norway; Other- relatives of identified BRCA carriers.",30746499,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Norway; Other- relatives of identified BRCA carriers.",14-gene panel,The Cost-Effectiveness of Multigene Panel Testing for Hereditary Breast and Ovarian Cancer in Norway.,7-gene panel to diagnose hereditary breast and ovarian cancer in early-onset breast cancer patients,NW
2019-01-30410,2019,Asphaug 2019 MDM Policy Pract,57000,"7-gene panel VERSUS BRCA only IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Norway; Other- relatives of identified BRCA carriers.",30746499,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Norway; Other- relatives of identified BRCA carriers.",7-gene panel,The Cost-Effectiveness of Multigene Panel Testing for Hereditary Breast and Ovarian Cancer in Norway.,BRCA only,NE
2019-01-28737,2019,Bjornelv 2019 J Clin Psychopharmacol,100000,Liver transplantation VERSUS Standard/Usual Care- Chemotherapy IN Specific disease- Colorectal cancer; Age- 41 to 64 years; Gender- Both; Country- Norway; Other- With advanced liver metastasis.,30325494,Specific disease- Colorectal cancer; Age- 41 to 64 years; Gender- Both; Country- Norway; Other- With advanced liver metastasis.,Liver transplantation,Cost-effectiveness of liver transplantation in patients with colorectal metastases confined to the liver.,Standard/Usual Care- Chemotherapy,NE
2019-01-28737,2019,Bjornelv 2019 J Clin Psychopharmacol,81000,"Liver transplantation VERSUS Standard/Usual Care- Chemotherapy IN Specific disease- Colorectal cancer; Age- 41 to 64 years; Gender- Both; Country- Norway; Other- Selected patients with advanced liver metastasis based on tumor diameter, time since primary cancer, carcinoembryonic antigen levels and response to chemotherapy.",30325494,"Specific disease- Colorectal cancer; Age- 41 to 64 years; Gender- Both; Country- Norway; Other- Selected patients with advanced liver metastasis based on tumor diameter, time since primary cancer, carcinoembryonic antigen levels and response to chemotherapy.",Liver transplantation,Cost-effectiveness of liver transplantation in patients with colorectal metastases confined to the liver.,Standard/Usual Care- Chemotherapy,NE
2018-01-27020,2018,Aas 2018 J Clin Child Adolesc Psychol,Cost-Saving,"Trauma-focused cognitive behavioral therapy VERSUS Standard/Usual Care- Treatment regularly provided in mental health clinics IN Specific disease- Post-traumatic stress; Age- 0 to 18 years, 19 to 40 years; Gender- Both; Country- Norway.",29877724,"Specific disease- Post-traumatic stress; Age- 0 to 18 years, 19 to 40 years; Gender- Both; Country- Norway.",Trauma-focused cognitive behavioral therapy,Cost-Effectiveness Analysis of Trauma-Focused Cognitive Behavioral Therapy: A Randomized Control Trial among Norwegian Youth.,Standard/Usual Care- Treatment regularly provided in mental health clinics,SE
2018-01-26123,2018,Hamidi 2018 J Clin Med Res,Dominated,Dimethyl fumarate (Tecifidera) VERSUS Alemtuzumab (lemtrada) IN Specific disease- Relapse remitting multiple sclerosis; Age- Adult; Gender- Both; Country- Norway.,29317954,Specific disease- Relapse remitting multiple sclerosis; Age- Adult; Gender- Both; Country- Norway.,Dimethyl fumarate (Tecifidera),A Multiple Treatment Comparison of Eleven Disease-Modifying Drugs Used for Multiple Sclerosis.,Alemtuzumab (lemtrada),NW
