Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34582,2020,Sathish 2020 BMC Med,160,"peer-support lifestyle intervention VERSUS booklet on lifestyle change IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- India; Other- high risk of developing type 2 diabetes in the Indian state of kerala, indian diabetes risk score of >= 60.",32883279,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- India; Other- high risk of developing type 2 diabetes in the Indian state of kerala, indian diabetes risk score of >= 60.",peer-support lifestyle intervention,Cost-effectiveness of a lifestyle intervention in high-risk individuals for diabetes  in a low- and middle-income setting: Trial-based analysis of the Kerala Diabetes  Prevention Program.,booklet on lifestyle change,NE
2020-01-34582,2020,Sathish 2020 BMC Med,51,"peer-support lifestyle intervention VERSUS booklet on lifestyle change IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- India; Other- high risk of developing type 2 diabetes in the Indian state of kerala, indian diabetes risk score of >= 60.",32883279,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- India; Other- high risk of developing type 2 diabetes in the Indian state of kerala, indian diabetes risk score of >= 60.",peer-support lifestyle intervention,Cost-effectiveness of a lifestyle intervention in high-risk individuals for diabetes  in a low- and middle-income setting: Trial-based analysis of the Kerala Diabetes  Prevention Program.,booklet on lifestyle change,NE
2020-01-34582,2020,Sathish 2020 BMC Med,52,"peer-support lifestyle intervention VERSUS booklet on lifestyle change IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- India; Other- high risk of developing type 2 diabetes in the Indian state of kerala, indian diabetes risk score of >= 60.",32883279,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- India; Other- high risk of developing type 2 diabetes in the Indian state of kerala, indian diabetes risk score of >= 60.",peer-support lifestyle intervention,Cost-effectiveness of a lifestyle intervention in high-risk individuals for diabetes  in a low- and middle-income setting: Trial-based analysis of the Kerala Diabetes  Prevention Program.,booklet on lifestyle change,NE
2014-01-16146,2014,Lutgens 2014 Gastrointest Endosc,Cost-Saving,Colonoscopic surveillance stragetry based on British Society of Gastroenterology VERSUS Colonoscopic surveillance stragetry based on American Gastroenterological Association (AGA) IN Specific disease- Inflammatory bowel disease (IBD); Age- 19 to 40 years; Gender- Male; Country- United States.,25088918,Specific disease- Inflammatory bowel disease (IBD); Age- 19 to 40 years; Gender- Male; Country- United States.,Colonoscopic surveillance stragetry based on British Society of Gastroenterology,A risk-profiling approach for surveillance of inflammatory bowel disease-colorectal carcinoma is more cost-effective: a comparative cost-effectiveness analysis between international guidelines.,Colonoscopic surveillance stragetry based on American Gastroenterological Association (AGA),SE
2014-01-15940,2014,Cocker 2014 PLoS One,Dominated,"Absenteeism (not working when feeling ill) over a five-year time horizon VERSUS Presenteeism (working while feeling ill) amongst employed Australians reporting lifetime major depressionover a five-year time horizon IN Specific disease- Major depression; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Australia.",25181469,"Specific disease- Major depression; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Australia.",Absenteeism (not working when feeling ill) over a five-year time horizon,Depression in working adults: comparing the costs and health outcomes of working  when ill.,Presenteeism (working while feeling ill) amongst employed Australians reporting lifetime major depressionover a five-year time horizon,NW
2014-01-15936,2014,Mewes 2014 J Cancer Surviv,33000,"Cognitive behavioral therapy for alleviating treatment-induced menopausal symptoms in breast cancer patients VERSUS Standard/Usual Care- Waiting list control group IN Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Female; Country- Netherlands.",25179578,"Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Female; Country- Netherlands.",Cognitive behavioral therapy for alleviating treatment-induced menopausal symptoms in breast cancer patients,Cost-effectiveness of cognitive behavioral therapy and physical exercise for alleviating treatment-induced menopausal symptoms in breast cancer patients.,Standard/Usual Care- Waiting list control group,NE
2014-01-15936,2014,Mewes 2014 J Cancer Surviv,41000,"Physical exercise to alleviate treatment-induced menopausal symptoms in breast cancer patients VERSUS Standard/Usual Care- Waiting list control group IN Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Female; Country- Netherlands.",25179578,"Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Female; Country- Netherlands.",Physical exercise to alleviate treatment-induced menopausal symptoms in breast cancer patients,Cost-effectiveness of cognitive behavioral therapy and physical exercise for alleviating treatment-induced menopausal symptoms in breast cancer patients.,Standard/Usual Care- Waiting list control group,NE
2014-01-15115,2014,Gordon 2014 Diabetes Res Clin Pract,Cost-Saving,"Telephone linked intervention VERSUS Standard/Usual Care- Not specified IN Specific disease- Type 2 Diabetes; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Australia.",24503043,"Specific disease- Type 2 Diabetes; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Australia.",Telephone linked intervention,A cost-effectiveness analysis of a telephone-linked care intervention for individuals with Type 2 diabetes.,Standard/Usual Care- Not specified,SE
2014-01-14208,2014,van der Have 2014 Dig Dis Sci,140000,"Hepatitis B Virus Screening (HbSAg, HbCAb), prior to TNF-a therapy. VERSUS No Hepatitis B Virus Screening IN Specific disease- Crohn's Disease; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Netherlands.",23949640,"Specific disease- Crohn's Disease; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Netherlands.","Hepatitis B Virus Screening (HbSAg, HbCAb), prior to TNF-a therapy.",Optimizing screening for tuberculosis and hepatitis B prior to starting tumor necrosis factor-alpha inhibitors in Crohn''s disease.,No Hepatitis B Virus Screening,NE
2014-01-14208,2014,van der Have 2014 Dig Dis Sci,93000,Extensive Tuberculosis Screening: initial screening with tuberculin skin test and chest X-ray followed by an IGRA (Quantiferon-TB Gold In-Tube) VERSUS conventional TB screening - including tuberculin skin test and chest X-ray IN Specific disease- Crohn's Disease; Age-; Gender- Both; Country- Netherlands.,23949640,Specific disease- Crohn's Disease; Age-; Gender- Both; Country- Netherlands.,Extensive Tuberculosis Screening: initial screening with tuberculin skin test and chest X-ray followed by an IGRA (Quantiferon-TB Gold In-Tube),Optimizing screening for tuberculosis and hepatitis B prior to starting tumor necrosis factor-alpha inhibitors in Crohn''s disease.,conventional TB screening - including tuberculin skin test and chest X-ray,NE
