Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34160,2020,Floreskul 2020 Front Public Health,27000,"vitamin d supplementation VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- United Kingdom; Other- central Manchester, medium skin tone.",33014962,"Healthy; Age- 0 to 18 years; Gender- Both; Country- United Kingdom; Other- central Manchester, medium skin tone.",vitamin d supplementation,Cost-Effectiveness of Vitamin D Supplementation in Pregnant Woman and Young Children  in Preventing Rickets: A Modeling Study.,None,NE
2020-01-34160,2020,Floreskul 2020 Front Public Health,560000,"vitamin d supplementation VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- United Kingdom; Other- central Manchester, light skin tone.",33014962,"Healthy; Age- 0 to 18 years; Gender- Both; Country- United Kingdom; Other- central Manchester, light skin tone.",vitamin d supplementation,Cost-Effectiveness of Vitamin D Supplementation in Pregnant Woman and Young Children  in Preventing Rickets: A Modeling Study.,None,NE
2020-01-34160,2020,Floreskul 2020 Front Public Health,Cost-Saving,"vitamin d supplementation VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- United Kingdom; Other- central Manchester, dark skin tone.",33014962,"Healthy; Age- 0 to 18 years; Gender- Both; Country- United Kingdom; Other- central Manchester, dark skin tone.",vitamin d supplementation,Cost-Effectiveness of Vitamin D Supplementation in Pregnant Woman and Young Children  in Preventing Rickets: A Modeling Study.,None,SE
2020-01-33395,2020,van 2020 Am. J. Obstet. Gynecol.,150000,risk-based prenatal care VERSUS Standard/Usual Care- standard/usual care IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Netherlands; Other- perinatal children born to miltiparous women.,0,Healthy; Age- 0 to 18 years; Gender- Both; Country- Netherlands; Other- perinatal children born to miltiparous women.,risk-based prenatal care,Impact on perinatal health and cost-effectiveness of risk-based care in obstetrics: a before-after study.,Standard/Usual Care- standard/usual care,SW
2020-01-33395,2020,van 2020 Am. J. Obstet. Gynecol.,160000,risk-based prenatal care VERSUS Standard/Usual Care- standard/usual care IN Healthy; Age- Adult; Gender- Female; Country- Netherlands; Other- multiparous.,0,Healthy; Age- Adult; Gender- Female; Country- Netherlands; Other- multiparous.,risk-based prenatal care,Impact on perinatal health and cost-effectiveness of risk-based care in obstetrics: a before-after study.,Standard/Usual Care- standard/usual care,SW
2020-01-33395,2020,van 2020 Am. J. Obstet. Gynecol.,200000,risk-based prenatal care VERSUS Standard/Usual Care- standard/usual care IN Healthy; Age- Adult; Gender- Female; Country- Netherlands.,0,Healthy; Age- Adult; Gender- Female; Country- Netherlands.,risk-based prenatal care,Impact on perinatal health and cost-effectiveness of risk-based care in obstetrics: a before-after study.,Standard/Usual Care- standard/usual care,SW
2020-01-33395,2020,van 2020 Am. J. Obstet. Gynecol.,210000,risk-based prenatal care VERSUS Standard/Usual Care- standard/usual care IN Healthy; Age- Adult; Gender- Female; Country- Netherlands; Other- nulliparous.,0,Healthy; Age- Adult; Gender- Female; Country- Netherlands; Other- nulliparous.,risk-based prenatal care,Impact on perinatal health and cost-effectiveness of risk-based care in obstetrics: a before-after study.,Standard/Usual Care- standard/usual care,SW
2020-01-33395,2020,van 2020 Am. J. Obstet. Gynecol.,Cost-Saving,risk-based care for all women VERSUS Standard/Usual Care- standard/usual care IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Netherlands; Other- perinatal children.,0,Healthy; Age- 0 to 18 years; Gender- Both; Country- Netherlands; Other- perinatal children.,risk-based care for all women,Impact on perinatal health and cost-effectiveness of risk-based care in obstetrics: a before-after study.,Standard/Usual Care- standard/usual care,SE
2020-01-33395,2020,van 2020 Am. J. Obstet. Gynecol.,Cost-Saving,risk-based care VERSUS Standard/Usual Care- standard/usual care IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Netherlands; Other- perinatal children born to nulliparous women.,0,Healthy; Age- 0 to 18 years; Gender- Both; Country- Netherlands; Other- perinatal children born to nulliparous women.,risk-based care,Impact on perinatal health and cost-effectiveness of risk-based care in obstetrics: a before-after study.,Standard/Usual Care- standard/usual care,SE
2020-01-33366,2020,Leonart 2020 Neuroendocrinology,1.1e+006,"lanreotide autogel + second line lanreotide autogel + pegvisomant VERSUS lanreotide autogel + second line pasireotide IN Specific disease- acromegaly; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- failed surgery.",0,"Specific disease- acromegaly; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- failed surgery.",lanreotide autogel + second line lanreotide autogel + pegvisomant,Pharmacological acromegaly treatment: cost-utility and value of information analysis.,lanreotide autogel + second line pasireotide,NE
2020-01-33366,2020,Leonart 2020 Neuroendocrinology,29000,"lanreotide autogel VERSUS None IN Specific disease- acromegaly; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- failed surgery.",0,"Specific disease- acromegaly; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- failed surgery.",lanreotide autogel,Pharmacological acromegaly treatment: cost-utility and value of information analysis.,None,NE
2020-01-33366,2020,Leonart 2020 Neuroendocrinology,78000,"lanreotide autogel + second line pasireotide VERSUS lanreotide autogel IN Specific disease- acromegaly; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- failed surgery.",0,"Specific disease- acromegaly; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- failed surgery.",lanreotide autogel + second line pasireotide,Pharmacological acromegaly treatment: cost-utility and value of information analysis.,lanreotide autogel,NE
2020-01-33047,2020,Lipton 2020 Hum. Reprod.,10000,in vitro fertilization and preimplantation genetic testing of monogenic defects VERSUS Standard/Usual Care- Natural conception IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Canada; Other- Healthy children.,32099994,Healthy; Age- 0 to 18 years; Gender- Both; Country- Canada; Other- Healthy children.,in vitro fertilization and preimplantation genetic testing of monogenic defects,Cost effectiveness of in vitro fertilisation and preimplantation genetic testing to  prevent transmission of BRCA1/2 mutations.,Standard/Usual Care- Natural conception,NE
2020-01-33047,2020,Lipton 2020 Hum. Reprod.,11000,in vitro fertilization and preimplantation genetic testing of monogenic defects VERSUS Standard/Usual Care- Natural conception to prevent transmission of BRCA1 IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Canada; Other- Healthy children.,32099994,Healthy; Age- 0 to 18 years; Gender- Both; Country- Canada; Other- Healthy children.,in vitro fertilization and preimplantation genetic testing of monogenic defects,Cost effectiveness of in vitro fertilisation and preimplantation genetic testing to  prevent transmission of BRCA1/2 mutations.,Standard/Usual Care- Natural conception to prevent transmission of BRCA1,NE
