Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34574,2020,Williams 2020 BMJ Glob Health,25,tranexamic acid VERSUS Placebo IN Specific disease- traumatic brain injury; Age- Unknown; Gender- Both; Country- Pakistan.,32878899,Specific disease- traumatic brain injury; Age- Unknown; Gender- Both; Country- Pakistan.,tranexamic acid,"Cost-effectiveness analysis of tranexamic acid for the treatment of traumatic brain  injury, based on the results of the CRASH-3 randomised trial: a decision modelling  approach.",Placebo,NE
2020-01-34574,2020,Williams 2020 BMJ Glob Health,4400,"tranexamic acid VERSUS Placebo IN Specific disease- traumatic brain injury; Age- Unknown; Gender- Both; Country- United Kingdom; Other- without significant extracrania bleeding, treated within 3 hours of injury, with either a GCS score <=12, or with GCS 13-15 and any intracranial bleeding on their CT scan.",32878899,"Specific disease- traumatic brain injury; Age- Unknown; Gender- Both; Country- United Kingdom; Other- without significant extracrania bleeding, treated within 3 hours of injury, with either a GCS score <=12, or with GCS 13-15 and any intracranial bleeding on their CT scan.",tranexamic acid,"Cost-effectiveness analysis of tranexamic acid for the treatment of traumatic brain  injury, based on the results of the CRASH-3 randomised trial: a decision modelling  approach.",Placebo,NE
2018-01-28565,2018,Suijkerbuijk 2018 PLoS One,5700,Hepatitis C Screening VERSUS None IN Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Pakistan.,30408079,Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Pakistan.,Hepatitis C Screening,Cost-effectiveness of screening for chronic hepatitis B and C among migrant populations in a low endemic country.,None,NE
2018-01-28565,2018,Suijkerbuijk 2018 PLoS One,5800,Both Hepatitis B and Hepatitis C Screening VERSUS None IN Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Pakistan.,30408079,Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Pakistan.,Both Hepatitis B and Hepatitis C Screening,Cost-effectiveness of screening for chronic hepatitis B and C among migrant populations in a low endemic country.,None,NE
2018-01-28565,2018,Suijkerbuijk 2018 PLoS One,8300,Hepatitis B Screening VERSUS None IN Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Pakistan.,30408079,Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Pakistan.,Hepatitis B Screening,Cost-effectiveness of screening for chronic hepatitis B and C among migrant populations in a low endemic country.,None,NE
2018-01-25593,2018,Li                               2018 Lancet Glob Health,220,Tranexamic acid in addition to usual care for treatment of postpartum hemorrhage VERSUS Standard/Usual Care- Usual care for treatment of postpartum hemorrhage IN Specific disease- Post-partum hemorrhage; Age- Adult; Gender- Female; Country- Nigeria.,29389542,Specific disease- Post-partum hemorrhage; Age- Adult; Gender- Female; Country- Nigeria.,Tranexamic acid in addition to usual care for treatment of postpartum hemorrhage,Tranexamic acid for treatment of women with post-partum haemorrhage in Nigeria and Pakistan: a cost-effectiveness analysis of data from the WOMAN trial.,Standard/Usual Care- Usual care for treatment of postpartum hemorrhage,NE
2018-01-25593,2018,Li                               2018 Lancet Glob Health,90,Tranexamic acid in addition to usual care for treatment of postpartum hemorrhage VERSUS Standard/Usual Care- Usual care for treatment of postpartum hemorrhage IN Specific disease- Post-partum hemorrhage; Age- Adult; Gender- Female; Country- Pakistan.,29389542,Specific disease- Post-partum hemorrhage; Age- Adult; Gender- Female; Country- Pakistan.,Tranexamic acid in addition to usual care for treatment of postpartum hemorrhage,Tranexamic acid for treatment of women with post-partum haemorrhage in Nigeria and Pakistan: a cost-effectiveness analysis of data from the WOMAN trial.,Standard/Usual Care- Usual care for treatment of postpartum hemorrhage,NE
2017-01-25841,2017,David 2017 Pak J Pharm Sci,1500,"Pegylated interferon a-2a and ribavirin VERSUS Standard/Usual Care- Interferon a-2a and ribavirin IN Specific disease- Hepatits C; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Pakistan.",29175794,"Specific disease- Hepatits C; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Pakistan.",Pegylated interferon a-2a and ribavirin,Cost effectiveness evaluation of hepatitis C therapy in Lahore.,Standard/Usual Care- Interferon a-2a and ribavirin,NE
2014-01-14658,2014,Miners 2014 J Viral Hepat,32000,"Hepatitic C Virus Screening VERSUS None IN Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- United Kingdom; Other- Migrants from the Indian subcontinent, primarily Bangladesh, India and Pakistan.",24215210,"Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- United Kingdom; Other- Migrants from the Indian subcontinent, primarily Bangladesh, India and Pakistan.",Hepatitic C Virus Screening,Assessing the cost-effectiveness of finding cases of hepatitis C infection in UK  migrant populations and the value of further research.,None,NE
2011-01-07814,2011,Begh                   2011 Trials,15000,smoking cessation program VERSUS Standard or care IN Pakistani and Bangladeshi men living in UK,21854596,Pakistani and Bangladeshi men living in UK,smoking cessation program,Promoting smoking cessation in Pakistani and Bangladeshi men in the UK: pilot cluster randomised controlled trial of trained community outreach workers.,Standard or care,NE
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
