Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2019-01-32142,2019,Presa 2019 Clin Rheumatol,Cost-Saving,"lesinurad + allopurinol VERSUS febuxostat 80 mg once daily IN Specific disease- gout; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Spain; Other- previously treated with allopurinol monotherapy.",31420811,"Specific disease- gout; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Spain; Other- previously treated with allopurinol monotherapy.",lesinurad + allopurinol,Second-line treatment with lesinurad and allopurinol versus febuxostat for management of hyperuricemia: a cost-effectiveness analysis for Spanish patients.,febuxostat 80 mg once daily,SE
2019-01-31018,2019,Firmino-Machado 2019 Eur J Public Health,10000,"invitation based on automated sms/phonecalls/reminders + manual phone calls VERSUS Invitation based on automated SMS/phonecalls/reminders IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",31848592,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",invitation based on automated sms/phonecalls/reminders + manual phone calls,Cost-effectiveness of a stepwise intervention to promote adherence to cervical cancer screening.,Invitation based on automated SMS/phonecalls/reminders,NE
2019-01-31018,2019,Firmino-Machado 2019 Eur J Public Health,210000,"invitation based on automated sms/phonecalls/reminders + manual phone calls + face to face interview VERSUS Invitation based on automated SMS/phonecalls/reminders + manual phone calls IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",31848592,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",invitation based on automated sms/phonecalls/reminders + manual phone calls + face to face interview,Cost-effectiveness of a stepwise intervention to promote adherence to cervical cancer screening.,Invitation based on automated SMS/phonecalls/reminders + manual phone calls,NE
2019-01-31018,2019,Firmino-Machado 2019 Eur J Public Health,220000,"invitation based on automated sms/phonecalls/reminders + manual phone calls + face to face interview VERSUS Invitation based on automated SMS/phonecalls/reminders + manual phone calls IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",31848592,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",invitation based on automated sms/phonecalls/reminders + manual phone calls + face to face interview,Cost-effectiveness of a stepwise intervention to promote adherence to cervical cancer screening.,Invitation based on automated SMS/phonecalls/reminders + manual phone calls,NE
2019-01-31018,2019,Firmino-Machado 2019 Eur J Public Health,3400,"invitation based on automated sms/phonecalls/reminders + manual phone calls VERSUS Invitation based on automated SMS/phonecalls/reminders IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",31848592,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",invitation based on automated sms/phonecalls/reminders + manual phone calls,Cost-effectiveness of a stepwise intervention to promote adherence to cervical cancer screening.,Invitation based on automated SMS/phonecalls/reminders,NE
2019-01-31018,2019,Firmino-Machado 2019 Eur J Public Health,Dominated,"invitation based on a written letter VERSUS Invitation based on automated SMS/phonecalls/reminders + manual phone calls IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",31848592,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",invitation based on a written letter,Cost-effectiveness of a stepwise intervention to promote adherence to cervical cancer screening.,Invitation based on automated SMS/phonecalls/reminders + manual phone calls,NW
2019-01-31018,2019,Firmino-Machado 2019 Eur J Public Health,Dominated,"invitation based on a written letter VERSUS Invitation based on automated SMS/phonecalls/reminders IN Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",31848592,"Healthy; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- Portugal.",invitation based on a written letter,Cost-effectiveness of a stepwise intervention to promote adherence to cervical cancer screening.,Invitation based on automated SMS/phonecalls/reminders,NW
2018-01-27686,2018,Ruggeri 2018 Pharmacoeconomics,93,Lesinurad/allopurinol as second-line therapeutic strategy VERSUS Febuxostatas second-line therapeutic strategy IN Specific disease- Gout/Hyperuricemia; Age- Adult; Gender- Both; Country- Italy; Other- patients affected by gout and hyperuricemia that did not respond to a first-line therapy based on allopurinol alone.,29557073,Specific disease- Gout/Hyperuricemia; Age- Adult; Gender- Both; Country- Italy; Other- patients affected by gout and hyperuricemia that did not respond to a first-line therapy based on allopurinol alone.,Lesinurad/allopurinol as second-line therapeutic strategy,Cost-Effectiveness Analysis of Lesinurad/Allopurinol Versus Febuxostat for the Management of Gout/Hyperuricemia in Italy.,Febuxostatas second-line therapeutic strategy,NE
2018-01-27419,2018,Nuijten 2018 J Med Econ,7000,OPTIFAST weight loss program VERSUS None IN Specific disease- Class I and II obesity (BMI = 30-39.9 kg/m2); Age- 19 to 40 years; Gender- Both; Country- United States; Other- Without type 2 diabetes mellitus.,29678127,Specific disease- Class I and II obesity (BMI = 30-39.9 kg/m2); Age- 19 to 40 years; Gender- Both; Country- United States; Other- Without type 2 diabetes.,OPTIFAST weight loss program,A health economic model to assess the cost-effectiveness of OPTIFAST for the treatment of obesity in the United States.,None,NE
2018-01-26133,2018,Caceda 2018 J Comp Eff Res,17000,Carbetocin VERSUS Standard/Usual Care- Oxytocin IN Healthy; Age- Adult; Gender- Female; Country- Peru; Other- Risk for postpartum hemorrhage.,29264934,Healthy; Age- Adult; Gender- Female; Country- Peru; Other- Risk for postpartum hemorrhage.,Carbetocin,"Pharmacoeconomic study comparing carbetocin with oxytocin for the prevention of hemorrhage following cesarean delivery in Lima, Peru.",Standard/Usual Care- Oxytocin,NE
2017-01-23671,2017,Ahmed 2017 Hepatology,40000,"Pre-liver transplant treatment with all-oral direct acting antiviral therapy (Ledipasvir/sofosbuvir) VERSUS Post-liver transplant treatment with all-oral direct acting antiviral therapy (Ledipasvir/sofosbuvir) IN Specific disease- Hepatitis C; Age- 41 to 64 years, >=65 years; Gender- Both; Country- United States of America (USA); Other- Genotype 1 waitlisted for liver transplant with decompensated cirrhosis (DCC) and MELD score > = 15.",28257591,"Specific disease- Hepatitis C; Age- 41 to 64 years, >=65 years; Gender- Both; Country- United States of America (USA); Other- Genotype 1 waitlisted for liver transplant with decompensated cirrhosis (DCC) and MELD score > = 15.",Pre-liver transplant treatment with all-oral direct acting antiviral therapy (Ledipasvir/sofosbuvir),Treatment of Patients Waitlisted for Liver Transplant with an All-Oral DAAs is a  Cost-Effective Treatment Strategy in the United States.,Post-liver transplant treatment with all-oral direct acting antiviral therapy (Ledipasvir/sofosbuvir),NE
2017-01-23671,2017,Ahmed 2017 Hepatology,81000,"Pre-liver transplant treatment with all-oral direct acting antiviral therapy (Ledipasvir/sofosbuvir) VERSUS Post-liver transplant treatment with all-oral direct acting antiviral therapy (Ledipasvir/sofosbuvir) IN Specific disease- Hepatitis C; Age- 41 to 64 years, >=65 years; Gender- Both; Country- United States of America (USA); Other- Genotype 1 patients waitlisted for liver transplant with hepatocellular carcinoma (HCC) .",28257591,"Specific disease- Hepatitis C; Age- 41 to 64 years, >=65 years; Gender- Both; Country- United States of America (USA); Other- Genotype 1 patients waitlisted for liver transplant with hepatocellular carcinoma (HCC) .",Pre-liver transplant treatment with all-oral direct acting antiviral therapy (Ledipasvir/sofosbuvir),Treatment of Patients Waitlisted for Liver Transplant with an All-Oral DAAs is a  Cost-Effective Treatment Strategy in the United States.,Post-liver transplant treatment with all-oral direct acting antiviral therapy (Ledipasvir/sofosbuvir),NE
2014-01-16188,2014,Caresano 2014 Adv Ther,Cost-Saving,Asenapine VERSUS Olanzapine (OLA) strategy IN Specific disease- Bipolar I disorder; Age- Unknown; Gender- Not Specified; Country- Italy; Other- experiencing mixed episodes.,25055791,Specific disease- Bipolar I disorder; Age- Unknown; Gender- Not Specified; Country- Italy; Other- experiencing mixed episodes.,Asenapine,Cost-effectiveness of asenapine in the treatment of patients with bipolar I disorder with mixed episodes in an Italian context.,Olanzapine (OLA) strategy,SE
2013-01-14601,2013,Gomez 2013 BMC Public Health,2200,13-valent pneumococcal conjugate vaccine VERSUS 7-valent pneumococcal conjugate vaccine IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru; Other- Newborn cohort in Peru (2007).,24171921,Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru; Other- Newborn cohort in Peru (2007).,13-valent pneumococcal conjugate vaccine,Cost-effectiveness and cost utility analysis of three pneumococcal conjugate vaccines in children of Peru.,7-valent pneumococcal conjugate vaccine,NE
2013-01-14601,2013,Gomez 2013 BMC Public Health,5400,10-valent pneumococcal NTHi protein D conjugate vaccine (PHiD-CV) VERSUS No vaccination IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru; Other- Newborn cohort in Peru (2007).,24171921,Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru; Other- Newborn cohort in Peru (2007).,10-valent pneumococcal NTHi protein D conjugate vaccine (PHiD-CV),Cost-effectiveness and cost utility analysis of three pneumococcal conjugate vaccines in children of Peru.,No vaccination,NE
2013-01-14601,2013,Gomez 2013 BMC Public Health,6400,13-valent pneumococcal conjugate vaccine VERSUS No vaccination IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru; Other- Newborn cohort in Peru (2007).,24171921,Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru; Other- Newborn cohort in Peru (2007).,13-valent pneumococcal conjugate vaccine,Cost-effectiveness and cost utility analysis of three pneumococcal conjugate vaccines in children of Peru.,No vaccination,NE
2013-01-14601,2013,Gomez 2013 BMC Public Health,7300,7-valent pneumococcal conjugate vaccine VERSUS No vaccination IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru; Other- Newborn cohort in Peru (2007).,24171921,Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru; Other- Newborn cohort in Peru (2007).,7-valent pneumococcal conjugate vaccine,Cost-effectiveness and cost utility analysis of three pneumococcal conjugate vaccines in children of Peru.,No vaccination,NE
2013-01-14601,2013,Gomez 2013 BMC Public Health,Cost-Saving,10-valent pneumococcal NTHi protein D conjugate vaccine (PHiD-CV) VERSUS 7-valent pneumococcal conjugate vaccine IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru; Other- Newborn cohort in Peru (2007).,24171921,Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru; Other- Newborn cohort in Peru (2007).,10-valent pneumococcal NTHi protein D conjugate vaccine (PHiD-CV),Cost-effectiveness and cost utility analysis of three pneumococcal conjugate vaccines in children of Peru.,7-valent pneumococcal conjugate vaccine,SE
2013-01-14300,2013,Marti                            2013 Cost Eff Resour Alloc,3600,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru.,24004943,Healthy; Age- 0 to 18 years; Gender- Both; Country- Peru.,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV),A cost-effectiveness analysis of a 10-valent pneumococcal conjugate vaccine in children in six Latin American countries.,None,NE
2013-01-14300,2013,Marti                            2013 Cost Eff Resour Alloc,4000,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV) VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Argentina.,24004943,Healthy; Age- 0 to 18 years; Gender- Both; Country- Argentina.,10-valent pneumococcal non-typeable H influenzae protein D-conjugate vaccine (PHiD-CV),A cost-effectiveness analysis of a 10-valent pneumococcal conjugate vaccine in children in six Latin American countries.,None,NE
1 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
