Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34542,2020,Briones 2020 BMC Health Serv Res,13000,carbetocin (cesarean section) VERSUS Standard/Usual Care- 10 IU oxytocin IN Specific disease- postpartum hemorrhage; Age- Adult; Gender- Female; Country- Philippines; Other- cesarean section.,33106169,Specific disease- postpartum hemorrhage; Age- Adult; Gender- Female; Country- Philippines; Other- cesarean section.,carbetocin (cesarean section),Economic evaluation of carbetocin as prophylaxis for postpartum hemorrhage in the  Philippines.,Standard/Usual Care- 10 IU oxytocin,NE
2020-01-34542,2020,Briones 2020 BMC Health Serv Res,44000,carbetocin (vaginal delivery) VERSUS Standard/Usual Care- 10 IU oxytocin IN Specific disease- postpartum hemorrhage; Age- Adult; Gender- Female; Country- Philippines; Other- vaginal delivery.,33106169,Specific disease- postpartum hemorrhage; Age- Adult; Gender- Female; Country- Philippines; Other- vaginal delivery.,carbetocin (vaginal delivery),Economic evaluation of carbetocin as prophylaxis for postpartum hemorrhage in the  Philippines.,Standard/Usual Care- 10 IU oxytocin,NE
2020-01-33559,2020,Quiambao 2020 Int. J. Infect. Dis.,420,rabies pre-exposure prophylaxis immunization+ post-exposure prophylaxis immunization VERSUS Standard/Usual Care- rabies post-exposure prophylaxis immunization IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines.,0,Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines.,rabies pre-exposure prophylaxis immunization+ post-exposure prophylaxis immunization,Health economic assessment of a rabies pre-exposure prophylaxis program compared with post-exposure prophylaxis alone in high-risk age groups in the Philippines.,Standard/Usual Care- rabies post-exposure prophylaxis immunization,NE
2020-01-33559,2020,Quiambao 2020 Int. J. Infect. Dis.,820,rabies pre-exposure prophylaxis immunization + post-exposure prophylaxis immunization VERSUS Standard/Usual Care- rabies post-exposure prophylaxis immunization IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines.,0,Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines.,rabies pre-exposure prophylaxis immunization + post-exposure prophylaxis immunization,Health economic assessment of a rabies pre-exposure prophylaxis program compared with post-exposure prophylaxis alone in high-risk age groups in the Philippines.,Standard/Usual Care- rabies post-exposure prophylaxis immunization,NE
2019-01-30896,2019,Avancena 2019 BMJ Open,570,"doctors to the barrios program VERSUS None IN Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Philippines.",31888937,"Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Philippines.",doctors to the barrios program,Cost-effectiveness analysis of a physician deployment program to improve access to healthcare in rural and underserved areas in the Philippines.,None,NE
2015-01-17758,2015,Haasis 2015 PLoS One,1400,Pneumococcal Conjugate Vaccines 13 VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines; Other- infants (universal coverage).,26131961,Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines; Other- infants (universal coverage).,Pneumococcal Conjugate Vaccines 13,Do Pneumococcal Conjugate Vaccines Represent Good Value for Money in a Lower-Middle Income Country? A Cost-Utility Analysis in the Philippines.,None,NE
2015-01-17758,2015,Haasis 2015 PLoS One,1800,Pneumococcal Conjugate Vaccines 10 VERSUS Standard/Usual Care IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines; Other- infants (universal coverage).,26131961,Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines; Other- infants (universal coverage).,Pneumococcal Conjugate Vaccines 10,Do Pneumococcal Conjugate Vaccines Represent Good Value for Money in a Lower-Middle Income Country? A Cost-Utility Analysis in the Philippines.,Standard/Usual Care,NE
2015-01-17758,2015,Haasis 2015 PLoS One,2200,Pneumococcal Conjugate Vaccines 13 VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines; Other- Infants (without herd protection).,26131961,Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines; Other- Infants (without herd protection).,Pneumococcal Conjugate Vaccines 13,Do Pneumococcal Conjugate Vaccines Represent Good Value for Money in a Lower-Middle Income Country? A Cost-Utility Analysis in the Philippines.,None,NE
2015-01-17758,2015,Haasis 2015 PLoS One,3000,Pneumococcal Conjugate Vaccines 10 VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines; Other- Infants (without herd protection).,26131961,Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines; Other- Infants (without herd protection).,Pneumococcal Conjugate Vaccines 10,Do Pneumococcal Conjugate Vaccines Represent Good Value for Money in a Lower-Middle Income Country? A Cost-Utility Analysis in the Philippines.,None,NE
2015-01-17758,2015,Haasis 2015 PLoS One,410,Pneumococcal Conjugate Vaccines 13 VERSUS Pneumococcal Conjugate Vaccines 10 IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines; Other- Infants (universal coverage).,26131961,Healthy; Age- 0 to 18 years; Gender- Both; Country- Philippines; Other- Infants (universal coverage).,Pneumococcal Conjugate Vaccines 13,Do Pneumococcal Conjugate Vaccines Represent Good Value for Money in a Lower-Middle Income Country? A Cost-Utility Analysis in the Philippines.,Pneumococcal Conjugate Vaccines 10,NE
