Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34609,2020,Petryszyn 2020 Therap Adv Gastroenterol,100000,"vedolizumab VERSUS Standard/Usual Care- standard/usual care IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, anti tumor necrosis factor naive.",32922513,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, anti tumor necrosis factor naive.",vedolizumab,"Infliximab, adalimumab, golimumab, vedolizumab and tofacitinib in moderate to severe  ulcerative colitis: comparative cost-effectiveness study in Poland.",Standard/Usual Care- standard/usual care,NE
2020-01-34609,2020,Petryszyn 2020 Therap Adv Gastroenterol,12000,"vedolizumab VERSUS golimumab (first line therapy) IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, anti tumor necrosis factor naive.",32922513,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, anti tumor necrosis factor naive.",vedolizumab,"Infliximab, adalimumab, golimumab, vedolizumab and tofacitinib in moderate to severe  ulcerative colitis: comparative cost-effectiveness study in Poland.",golimumab (first line therapy),NE
2020-01-34609,2020,Petryszyn 2020 Therap Adv Gastroenterol,140000,"golimumab VERSUS Standard/Usual Care- standard/usual care IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, anti tumor necrosis factor naive.",32922513,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, anti tumor necrosis factor naive.",golimumab,"Infliximab, adalimumab, golimumab, vedolizumab and tofacitinib in moderate to severe  ulcerative colitis: comparative cost-effectiveness study in Poland.",Standard/Usual Care- standard/usual care,NE
2020-01-34609,2020,Petryszyn 2020 Therap Adv Gastroenterol,150000,"golimumab VERSUS Standard/Usual Care- standard/usual care IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, anti tumor necrosis factor naive.",32922513,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, anti tumor necrosis factor naive.",golimumab,"Infliximab, adalimumab, golimumab, vedolizumab and tofacitinib in moderate to severe  ulcerative colitis: comparative cost-effectiveness study in Poland.",Standard/Usual Care- standard/usual care,NE
2020-01-34609,2020,Petryszyn 2020 Therap Adv Gastroenterol,160000,"vedolizumab VERSUS Standard/Usual Care- standard/usual care IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, prior anti tumor necrosis factor exposure.",32922513,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, prior anti tumor necrosis factor exposure.",vedolizumab,"Infliximab, adalimumab, golimumab, vedolizumab and tofacitinib in moderate to severe  ulcerative colitis: comparative cost-effectiveness study in Poland.",Standard/Usual Care- standard/usual care,NE
2020-01-34609,2020,Petryszyn 2020 Therap Adv Gastroenterol,170000,"vedolizumab VERSUS Standard/Usual Care- standard/usual care IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, prior anti tumor necrosis factor exposure.",32922513,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, prior anti tumor necrosis factor exposure.",vedolizumab,"Infliximab, adalimumab, golimumab, vedolizumab and tofacitinib in moderate to severe  ulcerative colitis: comparative cost-effectiveness study in Poland.",Standard/Usual Care- standard/usual care,NE
2020-01-34609,2020,Petryszyn 2020 Therap Adv Gastroenterol,190000,"adalimumab VERSUS Standard/Usual Care- standard/usual score IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, prior anti tumor necrosis factor exposure.",32922513,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, prior anti tumor necrosis factor exposure.",adalimumab,"Infliximab, adalimumab, golimumab, vedolizumab and tofacitinib in moderate to severe  ulcerative colitis: comparative cost-effectiveness study in Poland.",Standard/Usual Care- standard/usual score,NE
2020-01-34609,2020,Petryszyn 2020 Therap Adv Gastroenterol,200000,"adalimumab VERSUS Standard/Usual Care- standard/usual care IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, anti tumor necrosis factor naive.",32922513,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, anti tumor necrosis factor naive.",adalimumab,"Infliximab, adalimumab, golimumab, vedolizumab and tofacitinib in moderate to severe  ulcerative colitis: comparative cost-effectiveness study in Poland.",Standard/Usual Care- standard/usual care,NE
2020-01-34609,2020,Petryszyn 2020 Therap Adv Gastroenterol,200000,"adalimumab VERSUS Standard/Usual Care- standard/usual care IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, prior anti tumor necrosis factor exposure.",32922513,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, prior anti tumor necrosis factor exposure.",adalimumab,"Infliximab, adalimumab, golimumab, vedolizumab and tofacitinib in moderate to severe  ulcerative colitis: comparative cost-effectiveness study in Poland.",Standard/Usual Care- standard/usual care,NE
2020-01-34609,2020,Petryszyn 2020 Therap Adv Gastroenterol,52000,"infliximab VERSUS Standard/Usual Care- standard/usual care IN Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, anti tumor necrosis factor naive.",32922513,"Specific disease- ulcerative colitis; Age- Adult; Gender- Both; Country- Poland; Other- moderate, severe ulcerative colitis, anti tumor necrosis factor naive.",infliximab,"Infliximab, adalimumab, golimumab, vedolizumab and tofacitinib in moderate to severe  ulcerative colitis: comparative cost-effectiveness study in Poland.",Standard/Usual Care- standard/usual care,NE
