Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2019-01-28046,2019,Areia 2019 United European Gastroenterol J,120000,"Colonoscopy Screening VERSUS No Screening IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal.",30788122,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal.",Colonoscopy Screening,Cost-utility analysis of colonoscopy or faecal immunochemical test for population-based organised colorectal cancer screening.,No Screening,NE
2019-01-28046,2019,Areia 2019 United European Gastroenterol J,3200,"Feacal Immunochemical test VERSUS No Screening IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal.",30788122,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal.",Feacal Immunochemical test,Cost-utility analysis of colonoscopy or faecal immunochemical test for population-based organised colorectal cancer screening.,No Screening,NE
2019-01-28046,2019,Areia 2019 United European Gastroenterol J,58000,"Colonoscopy Screening VERSUS No Screening IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal.",30788122,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal.",Colonoscopy Screening,Cost-utility analysis of colonoscopy or faecal immunochemical test for population-based organised colorectal cancer screening.,No Screening,NE
2019-01-28046,2019,Areia 2019 United European Gastroenterol J,660000,"Colonoscopy Screening VERSUS Faecal Immonochemical Test IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal.",30788122,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal.",Colonoscopy Screening,Cost-utility analysis of colonoscopy or faecal immunochemical test for population-based organised colorectal cancer screening.,Faecal Immonochemical Test,NE
2018-01-25945,2018,Teljeur 2018 Pediatr Infect Dis J,200000,Selective vaccination strategy for TB VERSUS None IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Ireland; Other- Infants at high risk of exposure to TB infection.,29432385,Healthy; Age- 0 to 18 years; Gender- Both; Country- Ireland; Other- Infants at high risk of exposure to TB infection.,Selective vaccination strategy for TB,Economic Evaluation of Selective Neonatal Bacillus Calmette-Guerin Vaccination of High-risk Infants in Ireland.,None,NE
2018-01-25945,2018,Teljeur 2018 Pediatr Infect Dis J,3.7e+006,Universal vaccination strategy for TB VERSUS Selective vaccination strategy for TB IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Ireland; Other- infants at high risk of exposure to TB infection.,29432385,Healthy; Age- 0 to 18 years; Gender- Both; Country- Ireland; Other- infants at high risk of exposure to TB infection.,Universal vaccination strategy for TB,Economic Evaluation of Selective Neonatal Bacillus Calmette-Guerin Vaccination of High-risk Infants in Ireland.,Selective vaccination strategy for TB,NE
2018-01-25856,2018,Areia 2018 United European Gastroenterol J,170000,"Pepsinogens screening every two years VERSUS None IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal; Other- Patients with an intermediate gastric cancer risk.",29511549,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal; Other- Patients with an intermediate gastric cancer risk.",Pepsinogens screening every two years,Endoscopic screening for gastric cancer: A cost-utility analysis for countries with an intermediate gastric cancer risk.,None,NE
2018-01-25856,2018,Areia 2018 United European Gastroenterol J,18000,"Endoscopy combined with colonoscopy every 10 years VERSUS None IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal; Other- Patients with an intermediate gastric cancer risk.",29511549,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal; Other- Patients with an intermediate gastric cancer risk.",Endoscopy combined with colonoscopy every 10 years,Endoscopic screening for gastric cancer: A cost-utility analysis for countries with an intermediate gastric cancer risk.,None,NE
2018-01-25856,2018,Areia 2018 United European Gastroenterol J,37000,"Endoscopy combined with colonoscopy every five years VERSUS None IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal; Other- Patients with an intermediate gastric cancer risk.",29511549,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal; Other- Patients with an intermediate gastric cancer risk.",Endoscopy combined with colonoscopy every five years,Endoscopic screening for gastric cancer: A cost-utility analysis for countries with an intermediate gastric cancer risk.,None,NE
2018-01-25856,2018,Areia 2018 United European Gastroenterol J,84000,"Stand-alone endoscopic screening every five years VERSUS None IN Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal; Other- Patients with an intermediate gastric cancer risk.",29511549,"Healthy; Age- 41 to 64 years, >=65 years; Gender- Both; Country- Portugal; Other- Patients with an intermediate gastric cancer risk.",Stand-alone endoscopic screening every five years,Endoscopic screening for gastric cancer: A cost-utility analysis for countries with an intermediate gastric cancer risk.,None,NE
