Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34766,2020,Steffen 2020 Sci Rep,Cost-Saving,"diaskintest VERSUS tuberculin skin test + protein purified derivative IN Specific disease- hiv; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- CD4+ count >=350 cells/ul.",33311520,"Specific disease- hiv; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- CD4+ count >=350 cells/ul.",diaskintest,Cost-effectiveness of newer technologies for the diagnosis of Mycobacterium  tuberculosis infection in Brazilian people living with HIV.,tuberculin skin test + protein purified derivative,SE
2020-01-34766,2020,Steffen 2020 Sci Rep,Cost-Saving,"ec skin test VERSUS tuberculin skin test + protein purified derivative IN Specific disease- hiv; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- CD4+ count >=350 cells/ul.",33311520,"Specific disease- hiv; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- CD4+ count >=350 cells/ul.",ec skin test,Cost-effectiveness of newer technologies for the diagnosis of Mycobacterium  tuberculosis infection in Brazilian people living with HIV.,tuberculin skin test + protein purified derivative,SE
2020-01-34766,2020,Steffen 2020 Sci Rep,Cost-Saving,"quantiferon tuberculin gold plus VERSUS tuberculin skin test + protein purified derivative IN Specific disease- hiv; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- CD4+ count >=350 cells/ul.",33311520,"Specific disease- hiv; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- CD4+ count >=350 cells/ul.",quantiferon tuberculin gold plus,Cost-effectiveness of newer technologies for the diagnosis of Mycobacterium  tuberculosis infection in Brazilian people living with HIV.,tuberculin skin test + protein purified derivative,SE
2013-01-11443,2013,Coffin 2013 J Med Econ,110,Distribution of naloxone for lay overdose reversal VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Russia; Other- Heroin users.,23730942,Healthy; Age- Adult; Gender- Both; Country- Russia; Other- Heroin users.,Distribution of naloxone for lay overdose reversal,Cost-effectiveness of distributing naloxone to heroin users for lay overdose reversal in Russian cities.,None,NE
2012-01-10107,2012,Winetsky 2012 PLoS Med,100,Sputum polymerase chain reaction (PCR) screening VERSUS Combined mass miniature radiography (MMR) and symptom screening IN Prisoners in Tajikistan,23209384,Prisoners in Tajikistan,Sputum polymerase chain reaction (PCR) screening,Screening and rapid molecular diagnosis of tuberculosis in prisons in Russia and eastern europe: a cost-effectiveness analysis.,Combined mass miniature radiography (MMR) and symptom screening,NE
2012-01-10107,2012,Winetsky 2012 PLoS Med,1500,Sputum polymerase chain reaction (PCR) screening VERSUS Mass miniature radiography (MMR) with PCR detection of multidrug resistant-tuberculosis (MDR-TB) IN Prisoners in Latvia,23209384,Prisoners in Latvia,Sputum polymerase chain reaction (PCR) screening,Screening and rapid molecular diagnosis of tuberculosis in prisons in Russia and eastern europe: a cost-effectiveness analysis.,Mass miniature radiography (MMR) with PCR detection of multidrug resistant-tuberculosis (MDR-TB),NE
2012-01-10107,2012,Winetsky 2012 PLoS Med,160,Mass miniature radiography (MMR) with sputum polymerase chain reaction (PCR) detection of multidrug resistant-tuberculosis (MDR-TB) VERSUS Standard of care (mass miniature radiography (MMR) screening) IN Prisoners in Latvia,23209384,Prisoners in Latvia,Mass miniature radiography (MMR) with sputum polymerase chain reaction (PCR) detection of multidrug resistant-tuberculosis (MDR-TB),Screening and rapid molecular diagnosis of tuberculosis in prisons in Russia and eastern europe: a cost-effectiveness analysis.,Standard of care (mass miniature radiography (MMR) screening),NE
2012-01-10107,2012,Winetsky 2012 PLoS Med,1900,Sputum polymerase chain reaction (PCR) screening VERSUS Mass miniature radiography (MMR) with sputum PCR detection of multidrug resistant-tuberculosis (MDR-TB) IN Prisoners in Russia,23209384,Prisoners in Russia,Sputum polymerase chain reaction (PCR) screening,Screening and rapid molecular diagnosis of tuberculosis in prisons in Russia and eastern europe: a cost-effectiveness analysis.,Mass miniature radiography (MMR) with sputum PCR detection of multidrug resistant-tuberculosis (MDR-TB),NE
2012-01-10107,2012,Winetsky 2012 PLoS Med,31,Standard of care (mass miniature radiography (MMR) screening) VERSUS Self-referral for tuberculosis IN Prisoners in Latvia,23209384,Prisoners in Latvia,Standard of care (mass miniature radiography (MMR) screening),Screening and rapid molecular diagnosis of tuberculosis in prisons in Russia and eastern europe: a cost-effectiveness analysis.,Self-referral for tuberculosis,NE
2012-01-10107,2012,Winetsky 2012 PLoS Med,660,Sputum polymerase chain reaction (PCR) screening VERSUS Mass miniature radiography (MMR) with sputum PCR detection of multidrug resistant-tuberculosis (MDR-TB) IN Prisoners in Russia and Eastern Europe,23209384,Prisoners in Russia and Eastern Europe,Sputum polymerase chain reaction (PCR) screening,Screening and rapid molecular diagnosis of tuberculosis in prisons in Russia and eastern europe: a cost-effectiveness analysis.,Mass miniature radiography (MMR) with sputum PCR detection of multidrug resistant-tuberculosis (MDR-TB),NE
2012-01-10107,2012,Winetsky 2012 PLoS Med,Cost-Saving,Combined mass miniature radiography (MMR) and symptom screening VERSUS Standard of care (mass miniature radiography (MMR) screening) IN Prisoners in Tajikistan,23209384,Prisoners in Tajikistan,Combined mass miniature radiography (MMR) and symptom screening,Screening and rapid molecular diagnosis of tuberculosis in prisons in Russia and eastern europe: a cost-effectiveness analysis.,Standard of care (mass miniature radiography (MMR) screening),SE
2012-01-10107,2012,Winetsky 2012 PLoS Med,Cost-Saving,Mass miniature radiography (MMR) with sputum polymerase chain reaction (PCR) detection of multidrug resistant-tuberculosis (MDR-TB) VERSUS Standard of care (mass miniature radiography (MMR) screening) IN Prisoners in Russia,23209384,Prisoners in Russia,Mass miniature radiography (MMR) with sputum polymerase chain reaction (PCR) detection of multidrug resistant-tuberculosis (MDR-TB),Screening and rapid molecular diagnosis of tuberculosis in prisons in Russia and eastern europe: a cost-effectiveness analysis.,Standard of care (mass miniature radiography (MMR) screening),SE
2012-01-10107,2012,Winetsky 2012 PLoS Med,Cost-Saving,Mass miniature radiography (MMR) with sputum polymerase chain reaction (PCR) detection of multidrug resistant-tuberculosis (MDR-TB) VERSUS Standard of care (mass miniature radiography (MMR) screening) IN Prisoners in Russia and Eastern Europe,23209384,Prisoners in Russia and Eastern Europe,Mass miniature radiography (MMR) with sputum polymerase chain reaction (PCR) detection of multidrug resistant-tuberculosis (MDR-TB),Screening and rapid molecular diagnosis of tuberculosis in prisons in Russia and eastern europe: a cost-effectiveness analysis.,Standard of care (mass miniature radiography (MMR) screening),SE
2009-01-05343,2009,Tole 2009 Int J STD AIDS,17000,Once-per-lifetime screening VERSUS No screening IN Index cases only (aged 15-49 individuals),19103893,Index cases only (aged 15-49 individuals),Once-per-lifetime screening,Cost-effectiveness of voluntary HIV screening in Russia.,No screening,NE
2009-01-05343,2009,Tole 2009 Int J STD AIDS,32000,Screening every 5 years VERSUS Once-per-lifetime Screening IN Index cases only (aged 15-49 individuals),19103893,Index cases only (aged 15-49 individuals),Screening every 5 years,Cost-effectiveness of voluntary HIV screening in Russia.,Once-per-lifetime Screening,NE
2009-01-05343,2009,Tole 2009 Int J STD AIDS,8600,Once-per-lifetime Screening VERSUS No screening IN Index cases only (aged 15-49 individuals) and their sexual partners,19103893,Index cases only (aged 15-49 individuals) and their sexual partners,Once-per-lifetime Screening,Cost-effectiveness of voluntary HIV screening in Russia.,No screening,NE
2009-01-05343,2009,Tole 2009 Int J STD AIDS,9200,Screening every 5 years VERSUS Once-per-lifetime Screening IN Index cases only (aged 15-49 individuals) and their sexual partners,19103893,Index cases only (aged 15-49 individuals) and their sexual partners,Screening every 5 years,Cost-effectiveness of voluntary HIV screening in Russia.,Once-per-lifetime Screening,NE
2006-01-02369,2006,Long 2006 AIDS,2100, ,17086061,Adult population aged 15-49 in St. Petersburg,Injection drug users (IDUs) targeted treatment strategy,"Effectiveness and cost-effectiveness of strategies to expand antiretroviral therapy in St. Petersburg, Russia", ,NE
2006-01-02369,2006,Long 2006 AIDS,2500, ,17086061,Adult population aged 15-49 in St. Petersburg,Optimistic untargeted treatment strategy,"Effectiveness and cost-effectiveness of strategies to expand antiretroviral therapy in St. Petersburg, Russia", ,NE
2006-01-02369,2006,Long 2006 AIDS,2600, ,17086061,Adult population aged 15-49 in St. Petersburg,Untargeted treatment strategy,"Effectiveness and cost-effectiveness of strategies to expand antiretroviral therapy in St. Petersburg, Russia", ,NE
1 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
