Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2013-01-14894,2013,Mencacci 2013 Clinicoecon Outcomes Res,3100,"Escitalopram, Sardinia VERSUS Sertraline IN Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.",24348057,Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.,"Escitalopram, Sardinia",C-QUALITY: cost and quality-of-life pharmacoeconomic analysis of antidepressants  used in major depressive disorder in the regional Italian settings of Veneto and  Sardinia.,Sertraline,NE
2013-01-14894,2013,Mencacci 2013 Clinicoecon Outcomes Res,Dominated,"Citalopram, Sardinia VERSUS Escitalopram IN Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.",24348057,Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.,"Citalopram, Sardinia",C-QUALITY: cost and quality-of-life pharmacoeconomic analysis of antidepressants  used in major depressive disorder in the regional Italian settings of Veneto and  Sardinia.,Escitalopram,NW
2013-01-14894,2013,Mencacci 2013 Clinicoecon Outcomes Res,Dominated,"Citalopram, Veneto VERSUS Escitalopram IN Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.",24348057,Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.,"Citalopram, Veneto",C-QUALITY: cost and quality-of-life pharmacoeconomic analysis of antidepressants  used in major depressive disorder in the regional Italian settings of Veneto and  Sardinia.,Escitalopram,NW
2013-01-14894,2013,Mencacci 2013 Clinicoecon Outcomes Res,Dominated,"Duloxetine, Sardinia VERSUS Escitalopram IN Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.",24348057,Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.,"Duloxetine, Sardinia",C-QUALITY: cost and quality-of-life pharmacoeconomic analysis of antidepressants  used in major depressive disorder in the regional Italian settings of Veneto and  Sardinia.,Escitalopram,NW
2013-01-14894,2013,Mencacci 2013 Clinicoecon Outcomes Res,Dominated,"Duloxetine, Veneto VERSUS Escitalopram IN Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.",24348057,Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.,"Duloxetine, Veneto",C-QUALITY: cost and quality-of-life pharmacoeconomic analysis of antidepressants  used in major depressive disorder in the regional Italian settings of Veneto and  Sardinia.,Escitalopram,NW
2013-01-14894,2013,Mencacci 2013 Clinicoecon Outcomes Res,Dominated,"Fluoxetine, Sardinia VERSUS Escitalopram IN Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.",24348057,Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.,"Fluoxetine, Sardinia",C-QUALITY: cost and quality-of-life pharmacoeconomic analysis of antidepressants  used in major depressive disorder in the regional Italian settings of Veneto and  Sardinia.,Escitalopram,NW
2013-01-14894,2013,Mencacci 2013 Clinicoecon Outcomes Res,Dominated,"Fluoxetine, Veneto VERSUS Escitalopram IN Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.",24348057,Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.,"Fluoxetine, Veneto",C-QUALITY: cost and quality-of-life pharmacoeconomic analysis of antidepressants  used in major depressive disorder in the regional Italian settings of Veneto and  Sardinia.,Escitalopram,NW
2013-01-14894,2013,Mencacci 2013 Clinicoecon Outcomes Res,Dominated,"Fluvoxamine, Sardinia VERSUS Escitalopram IN Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.",24348057,Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.,"Fluvoxamine, Sardinia",C-QUALITY: cost and quality-of-life pharmacoeconomic analysis of antidepressants  used in major depressive disorder in the regional Italian settings of Veneto and  Sardinia.,Escitalopram,NW
2013-01-14894,2013,Mencacci 2013 Clinicoecon Outcomes Res,Dominated,"Fluvoxamine, Veneto VERSUS Escitalopram IN Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.",24348057,Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.,"Fluvoxamine, Veneto",C-QUALITY: cost and quality-of-life pharmacoeconomic analysis of antidepressants  used in major depressive disorder in the regional Italian settings of Veneto and  Sardinia.,Escitalopram,NW
2013-01-14894,2013,Mencacci 2013 Clinicoecon Outcomes Res,Dominated,"Paroxetine, Sardinia VERSUS Escitalopram IN Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.",24348057,Specific disease- major depressive disorder; Age- Adult; Gender- Both; Country- Italy.,"Paroxetine, Sardinia",C-QUALITY: cost and quality-of-life pharmacoeconomic analysis of antidepressants  used in major depressive disorder in the regional Italian settings of Veneto and  Sardinia.,Escitalopram,NW
