Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2019-01-31551,2019,Almalki 2019 Int J Hypertens,19000,more intensive strategy VERSUS less intensive strategy IN Specific disease- hypertension; Age- 41 to 64 years; Gender- Both; Country- Saudi Arabia; Other- High risk of cardiovascular disease.,31662901,Specific disease- hypertension; Age- 41 to 64 years; Gender- Both; Country- Saudi Arabia; Other- High risk of cardiovascular disease.,more intensive strategy,Cost-Effectiveness of More Intensive Blood Pressure Treatment in Patients with High Risk of Cardiovascular Disease in Saudi Arabia: A Modelling Study of Meta-Analysis.,less intensive strategy,NE
2019-01-31551,2019,Almalki 2019 Int J Hypertens,21000,more intensive strategy VERSUS less intensive strategy IN Specific disease- hypertension; Age- 41 to 64 years; Gender- Both; Country- Saudi Arabia; Other- High risk of cardiovascular disease.,31662901,Specific disease- hypertension; Age- 41 to 64 years; Gender- Both; Country- Saudi Arabia; Other- High risk of cardiovascular disease.,more intensive strategy,Cost-Effectiveness of More Intensive Blood Pressure Treatment in Patients with High Risk of Cardiovascular Disease in Saudi Arabia: A Modelling Study of Meta-Analysis.,less intensive strategy,NE
2019-01-31551,2019,Almalki 2019 Int J Hypertens,23000,more intensive strategy VERSUS less intensive strategy IN Specific disease- hypertension; Age- 41 to 64 years; Gender- Both; Country- Saudi Arabia; Other- High risk of cardiovascular disease.,31662901,Specific disease- hypertension; Age- 41 to 64 years; Gender- Both; Country- Saudi Arabia; Other- High risk of cardiovascular disease.,more intensive strategy,Cost-Effectiveness of More Intensive Blood Pressure Treatment in Patients with High Risk of Cardiovascular Disease in Saudi Arabia: A Modelling Study of Meta-Analysis.,less intensive strategy,NE
2019-01-31551,2019,Almalki 2019 Int J Hypertens,31000,more intensive strategy VERSUS less intensive strategy IN Specific disease- hypertension; Age- 41 to 64 years; Gender- Both; Country- Saudi Arabia; Other- High risk of cardiovascular disease.,31662901,Specific disease- hypertension; Age- 41 to 64 years; Gender- Both; Country- Saudi Arabia; Other- High risk of cardiovascular disease.,more intensive strategy,Cost-Effectiveness of More Intensive Blood Pressure Treatment in Patients with High Risk of Cardiovascular Disease in Saudi Arabia: A Modelling Study of Meta-Analysis.,less intensive strategy,NE
2019-01-31551,2019,Almalki 2019 Int J Hypertens,46000,more intensive strategy VERSUS less intensive strategy IN Specific disease- hypertension; Age- 41 to 64 years; Gender- Both; Country- Saudi Arabia; Other- High risk of cardiovascular disease.,31662901,Specific disease- hypertension; Age- 41 to 64 years; Gender- Both; Country- Saudi Arabia; Other- High risk of cardiovascular disease.,more intensive strategy,Cost-Effectiveness of More Intensive Blood Pressure Treatment in Patients with High Risk of Cardiovascular Disease in Saudi Arabia: A Modelling Study of Meta-Analysis.,less intensive strategy,NE
2019-01-30031,2019,Knott 2019 J Neurotrauma,190000,"epoetin alfa VERSUS Placebo IN Specific disease- traumatic brain injury; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Australia, New Zealand.",30907230,"Specific disease- traumatic brain injury; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Australia, New Zealand.",epoetin alfa,Cost-Effectiveness of Erythropoietin in Traumatic Brain Injury: A Multinational Trial-Based Economic Analysis.,Placebo,NE
2019-01-30031,2019,Knott 2019 J Neurotrauma,Cost-Saving,"epoetin alfa VERSUS Placebo IN Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Saudi Arabia.",30907230,"Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Saudi Arabia.",epoetin alfa,Cost-Effectiveness of Erythropoietin in Traumatic Brain Injury: A Multinational Trial-Based Economic Analysis.,Placebo,SE
2019-01-30031,2019,Knott 2019 J Neurotrauma,Cost-Saving,"epoetin alfa VERSUS Placebo IN Specific disease- traumatic brain injury; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Australia/New Zealand, Europe, Saudi Arabia.",30907230,"Specific disease- traumatic brain injury; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Australia/New Zealand, Europe, Saudi Arabia.",epoetin alfa,Cost-Effectiveness of Erythropoietin in Traumatic Brain Injury: A Multinational Trial-Based Economic Analysis.,Placebo,SE
2019-01-30031,2019,Knott 2019 J Neurotrauma,Cost-Saving,"epoetin alfa VERSUS Placebo IN Specific disease- traumatic brain injury; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Finland, France, Germany, and Ireland.",30907230,"Specific disease- traumatic brain injury; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Finland, France, Germany, and Ireland.",epoetin alfa,Cost-Effectiveness of Erythropoietin in Traumatic Brain Injury: A Multinational Trial-Based Economic Analysis.,Placebo,SE
2017-01-25773,2017,Alsaqa'aby 2017 Ann Saudi Med,370000,Interferon b1a (Avonex 30 mcg) VERSUS Interferon B1a (Rebif 44 mcg) IN Specific disease- Multiple sclerosis; Age- Adult; Gender- Both; Country- Saudi Arabia; Other- Relapsing-remitting subtype.,29229891,Specific disease- Multiple sclerosis; Age- Adult; Gender- Both; Country- Saudi Arabia; Other- Relapsing-remitting subtype.,Interferon b1a (Avonex 30 mcg),Cost-effectiveness of oral agents in relapsing-remitting multiple sclerosis compared to interferon-based therapy in Saudi Arabia.,Interferon B1a (Rebif 44 mcg),NE
