Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2018-01-27361,2018,Lalic 2018 Diabetes Ther,12000,Insulin degludec VERSUS Insulin glargine U100 IN Specific disease- Type 2 diabetes mellitus ; Age- Adult; Gender- Both; Country- Serbia; Other- Using basal-bolus therapy .,29700772,Specific disease- type 2 diabetes ; Age- Adult; Gender- Both; Country- Serbia; Other- Using basal-bolus therapy .,Insulin degludec,Cost-Effectiveness of Insulin Degludec Versus Insulin Glargine U100 in Patients with Type 1 and Type 2 Diabetes Mellitus in Serbia.,Insulin glargine U100,NE
2018-01-27361,2018,Lalic 2018 Diabetes Ther,4100,Insulin degludec VERSUS Insulin glargine U100 IN Specific disease- Type 1 diabetes mellitus ; Age- Adult; Gender- Both; Country- Serbia; Other- Using basal bolus therapy.,29700772,Specific disease- type 1 diabetes ; Age- Adult; Gender- Both; Country- Serbia; Other- Using basal bolus therapy.,Insulin degludec,Cost-Effectiveness of Insulin Degludec Versus Insulin Glargine U100 in Patients with Type 1 and Type 2 Diabetes Mellitus in Serbia.,Insulin glargine U100,NE
2018-01-27361,2018,Lalic 2018 Diabetes Ther,5500,Insulin degludec VERSUS Insulin glargine U100 IN Specific disease- Type 2 diabetes mellitus; Age- Adult; Gender- Both; Country- Serbia; Other- Using basal oral therapy .,29700772,Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Serbia; Other- Using basal oral therapy .,Insulin degludec,Cost-Effectiveness of Insulin Degludec Versus Insulin Glargine U100 in Patients with Type 1 and Type 2 Diabetes Mellitus in Serbia.,Insulin glargine U100,NE
2013-01-14695,2013,Mihajlovic 2013 Clin Ther,130000,Everolimus VERSUS best supportive care IN Specific disease- MetastaticRenalCellCarcinoma; Age- Adult; Gender- Both; Country- Serbia.,24238790,Specific disease- MetastaticRenalCellCarcinoma; Age- Adult; Gender- Both; Country- Serbia.,Everolimus,Cost-effectiveness of everolimus for second-line treatment of metastatic renal cell carcinoma in Serbia.,best supportive care,NE
2009-01-05518,2009,Jankovic 2009 Vojnosanit Pregl,250000,"Symptom management alone in combination with subcutaneous glatiramer acetate VERSUS Symptomatic management therapy IN Patients diagnosed with relapsing remitting multiple sclerosis, (MS); Serbian perspective.",19678581,Patients diagnosed with relapsing remitting multiple sclerosis; Serbian perspective,Symptom management alone in combination with subcutaneous glatiramer acetate,Cost-effectiveness of four immunomodulatory therapies for relapsing-remitting multiple sclerosis: a Markov model based on data a Balkan country in socioeconomic transition.,Symptomatic management therapy,NE
2009-01-05518,2009,Jankovic 2009 Vojnosanit Pregl,540000,"Symptom management alone in combination with Subcutaneous interferon Ã-1ab (beta 1-b) VERSUS Symptomatic management therapy IN Patients diagnosed with relapsing remitting multiple sclerosis, (MS); Serbian perspective.",19678581,Patients diagnosed with relapsing remitting multiple sclerosis; Serbian perspective,Symptom management alone in combination with Subcutaneous interferon Ã-1ab (beta 1-b),Cost-effectiveness of four immunomodulatory therapies for relapsing-remitting multiple sclerosis: a Markov model based on data a Balkan country in socioeconomic transition.,Symptomatic management therapy,NE
2009-01-05518,2009,Jankovic 2009 Vojnosanit Pregl,610000,"Symptom management alone in combination with intramuscular interferon Ã-1a (beta 1-a) VERSUS Symptomatic management therapy IN Patients diagnosed with relapsing remitting multiple sclerosis, (MS); Serbian perspective.",19678581,Patients diagnosed with relapsing remitting multiple sclerosis; Serbian perspective,Symptom management alone in combination with intramuscular interferon Ã-1a (beta 1-a),Cost-effectiveness of four immunomodulatory therapies for relapsing-remitting multiple sclerosis: a Markov model based on data a Balkan country in socioeconomic transition.,Symptomatic management therapy,NE
2009-01-05518,2009,Jankovic 2009 Vojnosanit Pregl,610000,"Symptom management alone in combination with Subcutaneous interferon Ã-1a (beta 1-a) VERSUS Symptomatic management therapy IN Patients diagnosed with relapsing remitting multiple sclerosis, (MS); Serbian perspective.",19678581,Patients diagnosed with relapsing remitting multiple sclerosis; Serbian perspective,Symptom management alone in combination with Subcutaneous interferon Ã-1a (beta 1-a),Cost-effectiveness of four immunomodulatory therapies for relapsing-remitting multiple sclerosis: a Markov model based on data a Balkan country in socioeconomic transition.,Symptomatic management therapy,NE
2009-01-05398,2009,Perovic 2009 Vojnosanit Pregl,59000,"Dialysis VERSUS No treatment IN Serbian patients diagnosed with Chronic renal insufficiency (CRI), diabetes, hypertension, or autosomal dominant polycystic kidney disease (ADPKD). (diagnoses that are associated with compromised kidney function).",19780419,"Serbian patients diagnosed with Chronic renal insufficiency (CRI), diabetes, hypertension, or autosomal dominant polycystic kidney disease (ADPKD). (diagnoses that are associated with compromised kidney function).",Dialysis,Renal transplantation vs hemodialysis: cost-effectiveness analysis.,No treatment,NE
2009-01-05398,2009,Perovic 2009 Vojnosanit Pregl,Cost-Saving,"Kidney Transplantation VERSUS Dialysis IN Serbian patients diagnosed with Chronic renal insufficiency (CRI), diabetes, hypertension, or autosomal dominant polycystic kidney disease (ADPKD). (diagnoses that are associated with compromised kidney function).",19780419,"Serbian patients diagnosed with Chronic renal insufficiency (CRI), diabetes, hypertension, or autosomal dominant polycystic kidney disease (ADPKD). (diagnoses that are associated with compromised kidney function).",Kidney Transplantation,Renal transplantation vs hemodialysis: cost-effectiveness analysis.,Dialysis,SE
2006-01-12900,2006,Jankovic 2006 Exp Clin Cardiol,230,Low molecular weight heparin enoxaparin VERSUS Unfractionated heparin IN Patients aged 60-70 years with acute deep venous thrombosis (inpatients),18651046,Patients aged 60-70 years with acute deep venous thrombosis (inpatients),Low molecular weight heparin enoxaparin,Cost and utility of a low-molecular-weight heparin and unfractionated heparin for treatment of deep venous thrombosis in a Balkan country: A model analysis.,Unfractionated heparin,NE
2006-01-12900,2006,Jankovic 2006 Exp Clin Cardiol,98,Low molecular weight heparin enoxaparin VERSUS Unfractionated heparin IN Patients aged 60-70 years with acute deep venous thrombosis (outpatients),18651046,Patients aged 60-70 years with acute deep venous thrombosis (outpatients),Low molecular weight heparin enoxaparin,Cost and utility of a low-molecular-weight heparin and unfractionated heparin for treatment of deep venous thrombosis in a Balkan country: A model analysis.,Unfractionated heparin,NE
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
