Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2019-01-31132,2019,Yue 2019 Value Health,47000,"annual influenza vaccination with 20% coverage and no seasonality VERSUS None IN Healthy; Age- >=65 years, Adult; Gender- Both; Country- Singapore.",31806190,"Healthy; Age- >=65 years, Adult; Gender- Both; Country- Singapore.",annual influenza vaccination with 20% coverage and no seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,49000,annual influenza vaccination with 60% coverage and tokyo seasonality VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,31806190,Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,annual influenza vaccination with 60% coverage and tokyo seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,50000,"annual influenza vaccination with 40% coverage and no seasonality VERSUS None IN Healthy; Age- >=65 years, Adult; Gender- Both; Country- Singapore.",31806190,"Healthy; Age- >=65 years, Adult; Gender- Both; Country- Singapore.",annual influenza vaccination with 40% coverage and no seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,53000,"annual influenza vaccination with 60% coverage and no seasonality VERSUS None IN Healthy; Age- >=65 years, Adult; Gender- Both; Country- Singapore.",31806190,"Healthy; Age- >=65 years, Adult; Gender- Both; Country- Singapore.",annual influenza vaccination with 60% coverage and no seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,54000,annual influenza vaccination with 100% coverage and tokyo seasonality VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,31806190,Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,annual influenza vaccination with 100% coverage and tokyo seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,55000,annual influenza vaccination with 100% coverage and singapore seasonality VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,31806190,Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,annual influenza vaccination with 100% coverage and singapore seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,55000,annual influenza vaccination with 40% coverage and tokyo seasonality VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,31806190,Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,annual influenza vaccination with 40% coverage and tokyo seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,58000,"annual influenza vaccination with 80% coverage and no seasonality VERSUS None IN Healthy; Age- >=65 years, Adult; Gender- Both; Country- Singapore.",31806190,"Healthy; Age- >=65 years, Adult; Gender- Both; Country- Singapore.",annual influenza vaccination with 80% coverage and no seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,60000,annual influenza vaccination with 80% coverage and singapore seasonality VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,31806190,Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,annual influenza vaccination with 80% coverage and singapore seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,61000,"annual influenza vaccination with 100% coverage and no seasonality VERSUS None IN Healthy; Age- >=65 years, Adult; Gender- Both; Country- Singapore.",31806190,"Healthy; Age- >=65 years, Adult; Gender- Both; Country- Singapore.",annual influenza vaccination with 100% coverage and no seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,62000,annual influenza vaccination with 20% coverage and singapore seasonality VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,31806190,Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,annual influenza vaccination with 20% coverage and singapore seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,62000,annual influenza vaccination with 60% coverage and taiwan seasonality VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,31806190,Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,annual influenza vaccination with 60% coverage and taiwan seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,65000,annual influenza vaccination with 100% coverage and taiwan seasonality VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,31806190,Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,annual influenza vaccination with 100% coverage and taiwan seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,65000,annual influenza vaccination with 40% coverage and taiwan seasonality VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,31806190,Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,annual influenza vaccination with 40% coverage and taiwan seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,66000,annual influenza vaccination with 80% coverage and taiwan seasonality VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,31806190,Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,annual influenza vaccination with 80% coverage and taiwan seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,71000,biiannual influenza vaccination with 20% coverage and no seasonality VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,31806190,Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,biiannual influenza vaccination with 20% coverage and no seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,95000,biannual influenza vaccination with 20% coverage and singapore seasonality VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,31806190,Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,biannual influenza vaccination with 20% coverage and singapore seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,98000,biannual influenza vaccination with 20% coverage and taiwan seasonality VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,31806190,Healthy; Age- Adult; Gender- Both; Country- Singapore; Other- Elderly.,biannual influenza vaccination with 20% coverage and taiwan seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,NE
2019-01-31132,2019,Yue 2019 Value Health,Cost-Saving,"annual influenza vaccination with 100% coverage and no seasonality VERSUS None IN Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Singapore.",31806190,"Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Singapore.",annual influenza vaccination with 100% coverage and no seasonality,Cost-Effectiveness Analysis for Influenza Vaccination Coverage and Timing in Tropical and Subtropical Climate Settings: A Modeling Study.,None,SE
