Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34155,2020,Feldman 2020 PLoS One,1000,"pneumococcal conjugate vaccine 13 VERSUS Standard/Usual Care- pneumococcal polysaccharide vaccine 23 IN Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Africa; Other- public healthcare setting.",31995597,"Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Africa; Other- public healthcare setting.",pneumococcal conjugate vaccine 13,"The cost-effectiveness of using pneumococcal conjugate vaccine (PCV13) versus  pneumococcal polysaccharide vaccine (PPSV23), in South African adults.",Standard/Usual Care- pneumococcal polysaccharide vaccine 23,NE
2020-01-34155,2020,Feldman 2020 PLoS One,680,"pneumococcal conjugate vaccine 13 VERSUS Standard/Usual Care- pneumococcal polysaccharide vaccine 23 IN Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Africa; Other- private healthcare setting.",31995597,"Healthy; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Africa; Other- private healthcare setting.",pneumococcal conjugate vaccine 13,"The cost-effectiveness of using pneumococcal conjugate vaccine (PCV13) versus  pneumococcal polysaccharide vaccine (PPSV23), in South African adults.",Standard/Usual Care- pneumococcal polysaccharide vaccine 23,NE
2020-01-34155,2020,Feldman 2020 PLoS One,840,"pneumococcal conjugate vaccine 13 VERSUS Standard/Usual Care- pneumococcal polysaccharide vaccine 23 IN Specific disease- hiv; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Africa; Other- public healthcare setting.",31995597,"Specific disease- hiv; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Africa; Other- public healthcare setting.",pneumococcal conjugate vaccine 13,"The cost-effectiveness of using pneumococcal conjugate vaccine (PCV13) versus  pneumococcal polysaccharide vaccine (PPSV23), in South African adults.",Standard/Usual Care- pneumococcal polysaccharide vaccine 23,NE
2020-01-34155,2020,Feldman 2020 PLoS One,Cost-Saving,"pneumococcal conjugate vaccine 13 VERSUS Standard/Usual Care- pneumococcal polysaccharide vaccine 23 IN Specific disease- hiv; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Africa; Other- private healthcare setting.",31995597,"Specific disease- hiv; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Africa; Other- private healthcare setting.",pneumococcal conjugate vaccine 13,"The cost-effectiveness of using pneumococcal conjugate vaccine (PCV13) versus  pneumococcal polysaccharide vaccine (PPSV23), in South African adults.",Standard/Usual Care- pneumococcal polysaccharide vaccine 23,SE
2020-01-30852,2020,Rens 2020 Clin Infect Dis,1800,pharmacogenomic-guided treatment VERSUS Standard/Usual Care- Standard treatment IN Specific disease- tuberculosis ; Age- Unknown; Gender- Both; Country- South Africa; Other- drug-resistant tuberculosis.,31905381,Specific disease- tuberculosis ; Age- Unknown; Gender- Both; Country- South Africa; Other- drug-resistant tuberculosis.,pharmacogenomic-guided treatment,Cost-effectiveness of a Pharmacogenomic Test for Stratified Isoniazid Dosing in  Treatment of Active Tuberculosis.,Standard/Usual Care- Standard treatment,NE
2020-01-30852,2020,Rens 2020 Clin Infect Dis,410,pharmacogenomic-guided treatment VERSUS Standard/Usual Care- Stand treatment IN Specific disease- uberculosis ; Age- Unknown; Gender- Both; Country- Brazil; Other- Drug-resistant tuberculosis.,31905381,Specific disease- uberculosis ; Age- Unknown; Gender- Both; Country- Brazil; Other- Drug-resistant tuberculosis.,pharmacogenomic-guided treatment,Cost-effectiveness of a Pharmacogenomic Test for Stratified Isoniazid Dosing in  Treatment of Active Tuberculosis.,Standard/Usual Care- Stand treatment,NE
2020-01-30852,2020,Rens 2020 Clin Infect Dis,670,pharmacogenomic-guided treatment VERSUS Standard/Usual Care- Standard treatment IN Specific disease- tuberculosis ; Age- Unknown; Gender- Both; Country- India; Other- drug-resistant tuberculosis..,31905381,Specific disease- tuberculosis ; Age- Unknown; Gender- Both; Country- India; Other- drug-resistant tuberculosis..,pharmacogenomic-guided treatment,Cost-effectiveness of a Pharmacogenomic Test for Stratified Isoniazid Dosing in  Treatment of Active Tuberculosis.,Standard/Usual Care- Standard treatment,NE
2019-01-31755,2019,Biggerstaff 2019 Vaccine,5100,"targeted influenza vaccination VERSUS None IN Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- South Africa; Other- pregnant women and their infants aged <6 months old.",31575494,"Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- South Africa; Other- pregnant women and their infants aged <6 months old.",targeted influenza vaccination,A cost-effectiveness analysis of antenatal influenza vaccination among HIV-infected and HIV-uninfected pregnant women in South Africa.,None,NE
2019-01-31755,2019,Biggerstaff 2019 Vaccine,6400,"vaccinating hiv-infected and hiv-uninfected pregnant women at equal rates VERSUS None IN Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- South Africa; Other- pregnant women and their infants aged <6 months old.",31575494,"Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- South Africa; Other- pregnant women and their infants aged <6 months old.",vaccinating hiv-infected and hiv-uninfected pregnant women at equal rates,A cost-effectiveness analysis of antenatal influenza vaccination among HIV-infected and HIV-uninfected pregnant women in South Africa.,None,NE
2019-01-29542,2019,Alshreef 2019 Value Health Reg Issues,2300,"Docetaxel based on BCIRG 001trial (docetaxel, doxorubicin, cyclophosphamide) VERSUS Fluorouracil, doxorubicin, cyclophosphamide IN Specific disease- Breast cancer; Age- 41 to 64 years, >=65 years; Gender- Female; Country- South Africa.",31096179,"Specific disease- Breast cancer; Age- 41 to 64 years, >=65 years; Gender- Female; Country- South Africa.","Docetaxel based on BCIRG 001trial (docetaxel, doxorubicin, cyclophosphamide)",Cost-Effectiveness of Docetaxel and Paclitaxel for Adjuvant Treatment of Early Breast Cancer: Adaptation of a Model-Based Economic Evaluation From the United Kingdom to South Africa.,"Fluorouracil, doxorubicin, cyclophosphamide",NE
2019-01-29542,2019,Alshreef 2019 Value Health Reg Issues,Cost-Saving,"Paclitaxel based on CALGB 9344 trial (doxorubicin, cyclophosphamide, paclitaxel) VERSUS Doxorubicin (Adriamycin), cyclophosphamide IN Specific disease- Breast cancer; Age- 41 to 64 years, >=65 years; Gender- Female; Country- South Africa.",31096179,"Specific disease- Breast cancer; Age- 41 to 64 years, >=65 years; Gender- Female; Country- South Africa.","Paclitaxel based on CALGB 9344 trial (doxorubicin, cyclophosphamide, paclitaxel)",Cost-Effectiveness of Docetaxel and Paclitaxel for Adjuvant Treatment of Early Breast Cancer: Adaptation of a Model-Based Economic Evaluation From the United Kingdom to South Africa.,"Doxorubicin (Adriamycin), cyclophosphamide",SE
2019-01-29542,2019,Alshreef 2019 Value Health Reg Issues,Cost-Saving,"Paclitaxel based on NSABP B-28 trial (doxorubicin, cyclophosphamide, paclitaxel) VERSUS Doxorubicin (Adriamycin), cyclophosphamide IN Specific disease- Breast cancer; Age- 41 to 64 years, >=65 years; Gender- Female; Country- South Africa.",31096179,"Specific disease- Breast cancer; Age- 41 to 64 years, >=65 years; Gender- Female; Country- South Africa.","Paclitaxel based on NSABP B-28 trial (doxorubicin, cyclophosphamide, paclitaxel)",Cost-Effectiveness of Docetaxel and Paclitaxel for Adjuvant Treatment of Early Breast Cancer: Adaptation of a Model-Based Economic Evaluation From the United Kingdom to South Africa.,"Doxorubicin (Adriamycin), cyclophosphamide",SE
2018-01-27452,2018,de Montigny 2018 Sci Rep,15000,"Campaign Vaccination VERSUS No vaccination IN Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- South Africa.",29666455,"Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- South Africa.",Campaign Vaccination,Projected effectiveness and added value of HIV vaccination campaigns in South Africa: A modeling study.,No vaccination,NE
2018-01-27452,2018,de Montigny 2018 Sci Rep,20000,"Clinical-based vacinnation VERSUS None IN Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- South Africa.",29666455,"Healthy; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- South Africa.",Clinical-based vacinnation,Projected effectiveness and added value of HIV vaccination campaigns in South Africa: A modeling study.,None,NE
2018-01-25608,2018,de Boer 2018 Vaccine,1000,"Trivalent influenza vaccine, 5% Symptomatic attack rate VERSUS None IN Healthy; Age- 0 to 18 years, >=65 years, Adult; Gender- Both; Country- Australia; Other- HIV-infected individuals prioritized, before elderly aged 65+ years and young children.",29373192,"Healthy; Age- 0 to 18 years, >=65 years, Adult; Gender- Both; Country- Australia; Other- HIV-infected individuals prioritized, before elderly aged 65+ years and young children.","Trivalent influenza vaccine, 5% Symptomatic attack rate","The cost-effectiveness of trivalent and quadrivalent influenza vaccination in communities in South Africa, Vietnam and Australia.",None,NE
2018-01-25608,2018,de Boer 2018 Vaccine,1200,"Trivalent influenza vaccine, 10% Symptomatic attack rate VERSUS None IN Healthy; Age- 0 to 18 years, >=65 years, Adult; Gender- Both; Country- South Africa; Other- HIV-infected individuals prioritized, before elderly aged 65+ years and young children.",29373192,"Healthy; Age- 0 to 18 years, >=65 years, Adult; Gender- Both; Country- South Africa; Other- HIV-infected individuals prioritized, before elderly aged 65+ years and young children.","Trivalent influenza vaccine, 10% Symptomatic attack rate","The cost-effectiveness of trivalent and quadrivalent influenza vaccination in communities in South Africa, Vietnam and Australia.",None,NE
2018-01-25608,2018,de Boer 2018 Vaccine,1200,"Trivalent influenza vaccine, 5% Symptomatic attack rate VERSUS None IN Healthy; Age- 0 to 18 years, >=65 years, Adult; Gender- Both; Country- Vietnam; Other- HIV-infected individuals prioritized, before elderly aged 65+ years and young children.",29373192,"Healthy; Age- 0 to 18 years, >=65 years, Adult; Gender- Both; Country- Vietnam; Other- HIV-infected individuals prioritized, before elderly aged 65+ years and young children.","Trivalent influenza vaccine, 5% Symptomatic attack rate","The cost-effectiveness of trivalent and quadrivalent influenza vaccination in communities in South Africa, Vietnam and Australia.",None,NE
2018-01-25608,2018,de Boer 2018 Vaccine,1700,"Quadrivalent influenza vaccine, 10% Symptomatic attack rate VERSUS Trivalent influenza vaccine, 10% Symptomatic attack rate IN Healthy; Age- 0 to 18 years, >=65 years, Adult; Gender- Both; Country- South Africa; Other- HIV-infected individuals prioritized, before elderly aged 65+ years and young children.",29373192,"Healthy; Age- 0 to 18 years, >=65 years, Adult; Gender- Both; Country- South Africa; Other- HIV-infected individuals prioritized, before elderly aged 65+ years and young children.","Quadrivalent influenza vaccine, 10% Symptomatic attack rate","The cost-effectiveness of trivalent and quadrivalent influenza vaccination in communities in South Africa, Vietnam and Australia.","Trivalent influenza vaccine, 10% Symptomatic attack rate",NE
2018-01-25608,2018,de Boer 2018 Vaccine,1700,"Quadrivalent influenza vaccine, 5% Symptomatic attack rate VERSUS Trivalent influenza vaccine, 5% Symptomatic attack rate IN Healthy; Age- 0 to 18 years, >=65 years, Adult; Gender- Both; Country- Vietnam; Other- HIV-infected individuals prioritized, before elderly aged 65+ years and young children.",29373192,"Healthy; Age- 0 to 18 years, >=65 years, Adult; Gender- Both; Country- Vietnam; Other- HIV-infected individuals prioritized, before elderly aged 65+ years and young children.","Quadrivalent influenza vaccine, 5% Symptomatic attack rate","The cost-effectiveness of trivalent and quadrivalent influenza vaccination in communities in South Africa, Vietnam and Australia.","Trivalent influenza vaccine, 5% Symptomatic attack rate",NE
2018-01-25608,2018,de Boer 2018 Vaccine,2000,"Trivalent influenza vaccine, 5% symptomatic attack rate VERSUS None IN Healthy; Age- 0 to 18 years, >=65 years, Adult; Gender- Both; Country- South Africa; Other- HIV-infected individuals prioritized, before elderly aged 65+ years and young children.",29373192,"Healthy; Age- 0 to 18 years, >=65 years, Adult; Gender- Both; Country- South Africa; Other- HIV-infected individuals prioritized, before elderly aged 65+ years and young children.","Trivalent influenza vaccine, 5% symptomatic attack rate","The cost-effectiveness of trivalent and quadrivalent influenza vaccination in communities in South Africa, Vietnam and Australia.",None,NE
1 2 3 4 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
