Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-32735,2020,Park 2020 J Neurogastroenterol Motil,Cost-Saving,anti-reflux surgery VERSUS Standard/Usual Care- Proton pump inhibitors IN Specific disease- gastroesophageal reflux disease; Age- Adult; Gender- Both; Country- South Korea; Other- severe gastroesophageal reflux disease.,32235028,Specific disease- gastroesophageal reflux disease; Age- Adult; Gender- Both; Country- South Korea; Other- severe gastroesophageal reflux disease.,anti-reflux surgery,Anti-reflux Surgery Versus Proton Pump Inhibitors for Severe Gastroesophageal Reflux  Disease: A Cost-Effectiveness Study in Korea.,Standard/Usual Care- Proton pump inhibitors,SE
2019-01-32204,2019,An 2019 Obes Surg,1300,"bariatric surgery VERSUS Standard/Usual Care- non-surgical treatment + diet + exercise + medication IN Specific disease- morbid obesity; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Korea; Other- BMI 30.0-32.4 kg/m(^2).",31396789,"Specific disease- morbid obesity; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Korea; Other- BMI 30.0-32.4 kg/m(^2).",bariatric surgery,Cost-effectiveness of Bariatric Surgery for People with Morbid Obesity in South Korea.,Standard/Usual Care- non-surgical treatment + diet + exercise + medication,NE
2019-01-32204,2019,An 2019 Obes Surg,2700,"bariatric surgery VERSUS Standard/Usual Care- non-surgical treatment + diet + exercise + medication IN Specific disease- morbid obesity; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Korea; Other- BMI of = 40.0.",31396789,"Specific disease- morbid obesity; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Korea; Other- BMI of = 40.0.",bariatric surgery,Cost-effectiveness of Bariatric Surgery for People with Morbid Obesity in South Korea.,Standard/Usual Care- non-surgical treatment + diet + exercise + medication,NE
2019-01-32204,2019,An 2019 Obes Surg,3400,"bariatric surgery VERSUS Standard/Usual Care- non-surgical treatment + diet + exercise + medication IN Specific disease- morbid obesity; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Korea; Other- BMI 37.5-39.9kg/m(^2).",31396789,"Specific disease- morbid obesity; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Korea; Other- BMI 37.5-39.9kg/m(^2).",bariatric surgery,Cost-effectiveness of Bariatric Surgery for People with Morbid Obesity in South Korea.,Standard/Usual Care- non-surgical treatment + diet + exercise + medication,NE
2019-01-32204,2019,An 2019 Obes Surg,3500,"bariatric surgery VERSUS Standard/Usual Care- non-surgical treatment + diet + exercise + medication IN Specific disease- morbid obesity; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Korea; Other- BMI 32.5-34.9 kg/m(^2).",31396789,"Specific disease- morbid obesity; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Korea; Other- BMI 32.5-34.9 kg/m(^2).",bariatric surgery,Cost-effectiveness of Bariatric Surgery for People with Morbid Obesity in South Korea.,Standard/Usual Care- non-surgical treatment + diet + exercise + medication,NE
2019-01-32204,2019,An 2019 Obes Surg,710,"bariatric surgery VERSUS Standard/Usual Care- non-surgical treatment + diet + exercise + medication IN Specific disease- morbid obesity; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Korea; Other- BMI of = 35 kg/m2, or obese people with BMI of 30– 34.9 kg/m2 having obesity-related comorbidities..",31396789,"Specific disease- morbid obesity; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Korea; Other- BMI of = 35 kg/m2, or obese people with BMI of 30– 34.9 kg/m2 having obesity-related comorbidities..",bariatric surgery,Cost-effectiveness of Bariatric Surgery for People with Morbid Obesity in South Korea.,Standard/Usual Care- non-surgical treatment + diet + exercise + medication,NE
2019-01-32204,2019,An 2019 Obes Surg,Cost-Saving,"bariatric surgery VERSUS Standard/Usual Care- non-surgical treatment + diet + exercise + medication IN Specific disease- morbid obesity; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Korea; Other- BMI 35.0-37.4 kg/m(^2).",31396789,"Specific disease- morbid obesity; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- South Korea; Other- BMI 35.0-37.4 kg/m(^2).",bariatric surgery,Cost-effectiveness of Bariatric Surgery for People with Morbid Obesity in South Korea.,Standard/Usual Care- non-surgical treatment + diet + exercise + medication,SE
2019-01-30557,2019,Yun 2019 PLoS One,19000,quadrivalent influenza vaccine VERSUS Standard/Usual Care- Trivalent influenza vaccine IN Specific disease- influenza; Age- >=65 years; Gender- Both; Country- South Korea.,30682030,Specific disease- influenza; Age- >=65 years; Gender- Both; Country- South Korea.,quadrivalent influenza vaccine,Cost-effectiveness of influenza vaccine strategies for the elderly in South Korea.,Standard/Usual Care- Trivalent influenza vaccine,NE
2019-01-30557,2019,Yun 2019 PLoS One,Cost-Saving,adjuvanted trivalent influenza vaccine VERSUS Trivalent influenza vaccine IN Specific disease- influenza; Age- >=65 years; Gender- Both; Country- South Korea.,30682030,Specific disease- influenza; Age- >=65 years; Gender- Both; Country- South Korea.,adjuvanted trivalent influenza vaccine,Cost-effectiveness of influenza vaccine strategies for the elderly in South Korea.,Trivalent influenza vaccine,SE
2019-01-30281,2019,Lee 2019 Asian Pac J Cancer Prev,24000,two-dose as04-hpv16/18v + cervical cancer screening VERSUS Standard/Usual Care- Cervical Cancer Screening IN Healthy; Age- 0 to 18 years; Gender- Female; Country- South Korea; Other- no HPV.,30803204,Healthy; Age- 0 to 18 years; Gender- Female; Country- South Korea; Other- no HPV.,two-dose as04-hpv16/18v + cervical cancer screening,Cost-Utility of a Two-Dose Human Papillomavirus Vaccination Programme Added to Cervical Cancer Screening Compared with Cervical Cancer Screening Alone in Korea,Standard/Usual Care- Cervical Cancer Screening,NE
