Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2021-01-34281,2021,Söreskog 2021 Osteoporos Int,38000,"romosozumab --> alendronate VERSUS Standard/Usual Care- alendronate IN Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Sweden; Other- post-menopausal, severe osteoporosis at high risk of fracture.",33409591,"Specific disease- osteoporosis; Age- >=65 years; Gender- Female; Country- Sweden; Other- Postmenopausal, severe osteoporosis at high risk of fracture.",romosozumab --> alendronate,Cost-effectiveness of romosozumab for the treatment of postmenopausal women with  severe osteoporosis at high risk of fracture in Sweden.,Standard/Usual Care- alendronate,NE
2020-01-38774,2020,Andersson 2020 Psychol Med,26,internet-based extinction therapy VERSUS waiting-list IN Specific disease- generalized anxiety disorder; Age- Adult; Gender- Both; Country- Sweden.,32340638,Specific disease- generalized anxiety disorder; Age- Adult; Gender- Both; Country- Sweden.,internet-based extinction therapy,Targeting excessive worry with internet-based extinction therapy: a randomised  controlled trial with mediation analysis and economical evaluation.,waiting-list,NE
2020-01-38774,2020,Andersson 2020 Psychol Med,Cost-Saving,internet-based extinction therapy VERSUS active control comparator IN Specific disease- generalized anxiety disorder; Age- Adult; Gender- Both; Country- Sweden.,32340638,Specific disease- generalized anxiety disorder; Age- Adult; Gender- Both; Country- Sweden.,internet-based extinction therapy,Targeting excessive worry with internet-based extinction therapy: a randomised  controlled trial with mediation analysis and economical evaluation.,active control comparator,SE
2020-01-35510,2020,Pirhonen 2020 Eur J Health Econ,Cost-Saving,"person centered care (2 years, all costs) VERSUS Standard/Usual Care- Standard/usual care IN Specific disease- acute coronary syndrome; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Sweden.",32895879,"Specific disease- acute coronary syndrome; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Sweden.","person centered care (2 years, all costs)",Modelling the cost-effectiveness of person-centred care for patients with acute  coronary syndrome.,Standard/Usual Care- Standard/usual care,SE
2020-01-35510,2020,Pirhonen 2020 Eur J Health Econ,Cost-Saving,"person centered care (2 years, direct costs) VERSUS Standard/Usual Care- Standard/usual care IN Specific disease- acute coronary syndrome; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Sweden.",32895879,"Specific disease- acute coronary syndrome; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Sweden.","person centered care (2 years, direct costs)",Modelling the cost-effectiveness of person-centred care for patients with acute  coronary syndrome.,Standard/Usual Care- Standard/usual care,SE
2020-01-35510,2020,Pirhonen 2020 Eur J Health Econ,Cost-Saving,"person centered care (2 years, indirect costs) VERSUS Standard/Usual Care- Standard/usual care IN Specific disease- acute coronary syndrome; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Sweden.",32895879,"Specific disease- acute coronary syndrome; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Sweden.","person centered care (2 years, indirect costs)",Modelling the cost-effectiveness of person-centred care for patients with acute  coronary syndrome.,Standard/Usual Care- Standard/usual care,SE
2020-01-35510,2020,Pirhonen 2020 Eur J Health Econ,Cost-Saving,"person centered care (5 years, direct costs) VERSUS Standard/Usual Care- Standard/usual care IN Specific disease- acute coronary syndrome; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Sweden.",32895879,"Specific disease- acute coronary syndrome; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Sweden.","person centered care (5 years, direct costs)",Modelling the cost-effectiveness of person-centred care for patients with acute  coronary syndrome.,Standard/Usual Care- Standard/usual care,SE
2020-01-35510,2020,Pirhonen 2020 Eur J Health Econ,Cost-Saving,"person centered care (5 years, indirect costs) VERSUS Standard/Usual Care- Standard/usual care IN Specific disease- acute coronary syndrome; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Sweden.",32895879,"Specific disease- acute coronary syndrome; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Sweden.","person centered care (5 years, indirect costs)",Modelling the cost-effectiveness of person-centred care for patients with acute  coronary syndrome.,Standard/Usual Care- Standard/usual care,SE
2020-01-35510,2020,Pirhonen 2020 Eur J Health Econ,Cost-Saving,"person centered care (5 years, total costs) VERSUS Standard/Usual Care- Standard/usual care IN Specific disease- acute coronary syndrome; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Sweden.",32895879,"Specific disease- acute coronary syndrome; Age- 19 to 40 years, 41 to 64 years; Gender- Both; Country- Sweden.","person centered care (5 years, total costs)",Modelling the cost-effectiveness of person-centred care for patients with acute  coronary syndrome.,Standard/Usual Care- Standard/usual care,SE
2020-01-35201,2020,Landmesser 2020 Eur Heart J Qual Care Clin Outcomes,100000,"evolocumab + standard of care VERSUS Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe IN Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- myocardial infarction in the previous year, low-density lipoprotein cholesterol level of 1.8 mmol/L.",33063111,"Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- myocardial infarction in the previous year, low-density lipoprotein cholesterol level of 1.8 mmol/L.",evolocumab + standard of care,Cost-effectiveness of PCSK9 inhibition with evolocumab in patients with a history of  myocardial infarction in Sweden.,Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe,NE
2020-01-35201,2020,Landmesser 2020 Eur Heart J Qual Care Clin Outcomes,130000,"evolocumab + standard of care VERSUS Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe IN Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- myocardial infarction in the previous year, low-density lipoprotein cholesterol level of 1.4 mmol/L.",33063111,"Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- myocardial infarction in the previous year, low-density lipoprotein cholesterol level of 1.4 mmol/L.",evolocumab + standard of care,Cost-effectiveness of PCSK9 inhibition with evolocumab in patients with a history of  myocardial infarction in Sweden.,Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe,NE
2020-01-35201,2020,Landmesser 2020 Eur Heart J Qual Care Clin Outcomes,140000,"evolocumab + standard of care VERSUS Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe IN Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- second cardiovascular event within two years, low-density lipoprotein cholesterol level of 1.4 mmol/L.",33063111,"Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- second cardiovascular event within two years, low-density lipoprotein cholesterol level of 1.4 mmol/L.",evolocumab + standard of care,Cost-effectiveness of PCSK9 inhibition with evolocumab in patients with a history of  myocardial infarction in Sweden.,Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe,NE
2020-01-35201,2020,Landmesser 2020 Eur Heart J Qual Care Clin Outcomes,49000,"evolocumab + standard of care VERSUS Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe IN Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- history of myocardial infarction with a risk factor, low-density lipoprotein cholesterol level of 2.5 mmol/L.",33063111,"Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- history of myocardial infarction with a risk factor, low-density lipoprotein cholesterol level of 2.5 mmol/L.",evolocumab + standard of care,Cost-effectiveness of PCSK9 inhibition with evolocumab in patients with a history of  myocardial infarction in Sweden.,Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe,NE
2020-01-35201,2020,Landmesser 2020 Eur Heart J Qual Care Clin Outcomes,49000,"evolocumab + standard of care VERSUS Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe IN Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- second cardiovascular event within two years, low-density lipoprotein cholesterol level of 2.5 mmol/L.",33063111,"Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- second cardiovascular event within two years, low-density lipoprotein cholesterol level of 2.5 mmol/L.",evolocumab + standard of care,Cost-effectiveness of PCSK9 inhibition with evolocumab in patients with a history of  myocardial infarction in Sweden.,Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe,NE
2020-01-35201,2020,Landmesser 2020 Eur Heart J Qual Care Clin Outcomes,67000,"evolocumab + standard of care VERSUS Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe IN Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- myocardial infarction in the previous year, low-density lipoprotein cholesterol level of 2.5 mmol/L.",33063111,"Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- myocardial infarction in the previous year, low-density lipoprotein cholesterol level of 2.5 mmol/L.",evolocumab + standard of care,Cost-effectiveness of PCSK9 inhibition with evolocumab in patients with a history of  myocardial infarction in Sweden.,Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe,NE
2020-01-35201,2020,Landmesser 2020 Eur Heart J Qual Care Clin Outcomes,71000,"evolocumab + standard of care VERSUS Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe IN Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- history of myocardial infarction with a risk factor, low-density lipoprotein cholesterol level of 1.8 mmol/L.",33063111,"Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- history of myocardial infarction with a risk factor, low-density lipoprotein cholesterol level of 1.8 mmol/L.",evolocumab + standard of care,Cost-effectiveness of PCSK9 inhibition with evolocumab in patients with a history of  myocardial infarction in Sweden.,Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe,NE
2020-01-35201,2020,Landmesser 2020 Eur Heart J Qual Care Clin Outcomes,72000,"evolocumab + standard of care VERSUS Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe IN Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- second cardiovascular event within two years, low-density lipoprotein cholesterol level of 1.8 mmol/L.",33063111,"Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- second cardiovascular event within two years, low-density lipoprotein cholesterol level of 1.8 mmol/L.",evolocumab + standard of care,Cost-effectiveness of PCSK9 inhibition with evolocumab in patients with a history of  myocardial infarction in Sweden.,Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe,NE
2020-01-35201,2020,Landmesser 2020 Eur Heart J Qual Care Clin Outcomes,94000,"evolocumab + standard of care VERSUS Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe IN Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- history of myocardial infarction with a risk factor, low-density lipoprotein cholesterol level of 1.4 mmol/L.",33063111,"Specific disease- myocardial infarction; Age- >=65 years; Gender- Both; Country- Sweden; Other- history of myocardial infarction with a risk factor, low-density lipoprotein cholesterol level of 1.4 mmol/L.",evolocumab + standard of care,Cost-effectiveness of PCSK9 inhibition with evolocumab in patients with a history of  myocardial infarction in Sweden.,Standard/Usual Care- 20 or 40 mg atorvastatin daily + 10 mg ezetimibe,NE
2020-01-35062,2020,Lundin 2020 Int J Gynecol Cancer,56000,"robotic hysterectomy (500 procedures annually) VERSUS Standard/Usual Care- abdominal hysterectomy (500 procedures annually) IN Specific disease- endometrial cancer; Age- Adult; Gender- Female; Country- Sweden; Other- low risk; Linköping, Sweden.",32863275,"Specific disease- endometrial cancer; Age- Adult; Gender- Female; Country- Sweden; Other- low risk; Linköping, Sweden.",robotic hysterectomy (500 procedures annually),Cost-effectiveness of robotic hysterectomy versus abdominal hysterectomy in early  endometrial cancer.,Standard/Usual Care- abdominal hysterectomy (500 procedures annually),NE
2020-01-35062,2020,Lundin 2020 Int J Gynecol Cancer,81000,"robotic hysterectomy (300 procedures annually) VERSUS Standard/Usual Care- abdominal hysterectomy (300 procedures annually) IN Specific disease- endometrial cancer; Age- Adult; Gender- Female; Country- Sweden; Other- low risk; Linköping, Sweden.",32863275,"Specific disease- endometrial cancer; Age- Adult; Gender- Female; Country- Sweden; Other- low risk; Linköping, Sweden.",robotic hysterectomy (300 procedures annually),Cost-effectiveness of robotic hysterectomy versus abdominal hysterectomy in early  endometrial cancer.,Standard/Usual Care- abdominal hysterectomy (300 procedures annually),NE
1 2 3 4 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
