Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2019-01-30478,2019,Vassilakos 2019 Gynecol Oncol,13000,self-hpv testing; colposcopy VERSUS None IN Healthy; Age- 19 to 40 years; Gender- Female; Country- Switzerland; Other- Non-attendee in cervical cancer screening.,30718124,Healthy; Age- 19 to 40 years; Gender- Female; Country- Switzerland; Other- Non-attendee in cervical cancer screening.,self-hpv testing; colposcopy,Cost-effectiveness evaluation of HPV self-testing offered to non-attendees in cervical cancer screening in Switzerland.,None,NE
2019-01-30478,2019,Vassilakos 2019 Gynecol Oncol,20000,pap cytology + triage with hpv VERSUS None IN Healthy; Age- 19 to 40 years; Gender- Female; Country- Switzerland; Other- Non-attendee in cervical cancer screening.,30718124,Healthy; Age- 19 to 40 years; Gender- Female; Country- Switzerland; Other- Non-attendee in cervical cancer screening.,pap cytology + triage with hpv,Cost-effectiveness evaluation of HPV self-testing offered to non-attendees in cervical cancer screening in Switzerland.,None,NE
2019-01-30478,2019,Vassilakos 2019 Gynecol Oncol,69000,self-hpv testing + triage with colposcopy VERSUS Self-HPV and triage with Pap cytology IN Healthy; Age- 19 to 40 years; Gender- Female; Country- Switzerland; Other- Non-attendee in cervical cancer screening.,30718124,Healthy; Age- 19 to 40 years; Gender- Female; Country- Switzerland; Other- Non-attendee in cervical cancer screening.,self-hpv testing + triage with colposcopy,Cost-effectiveness evaluation of HPV self-testing offered to non-attendees in cervical cancer screening in Switzerland.,Self-HPV and triage with Pap cytology,NW
2019-01-30478,2019,Vassilakos 2019 Gynecol Oncol,Dominated,pap cytology + triage with hpv VERSUS Self-HPV and triage with colposcopy IN Healthy; Age- 19 to 40 years; Gender- Female; Country- Switzerland; Other- Non-attendee in cervical cancer screening.,30718124,Healthy; Age- 19 to 40 years; Gender- Female; Country- Switzerland; Other- Non-attendee in cervical cancer screening.,pap cytology + triage with hpv,Cost-effectiveness evaluation of HPV self-testing offered to non-attendees in cervical cancer screening in Switzerland.,Self-HPV and triage with colposcopy,NW
2019-01-30478,2019,Vassilakos 2019 Gynecol Oncol,Dominated,pap cytology + triage with hpv VERSUS Self-HPV and triage with Pap cytology IN Healthy; Age- 19 to 40 years; Gender- Female; Country- Switzerland; Other- Non-attendee in cervical cancer screening.,30718124,Healthy; Age- 19 to 40 years; Gender- Female; Country- Switzerland; Other- Non-attendee in cervical cancer screening.,pap cytology + triage with hpv,Cost-effectiveness evaluation of HPV self-testing offered to non-attendees in cervical cancer screening in Switzerland.,Self-HPV and triage with Pap cytology,NW
2019-01-30325,2019,Jendle 2019 Diabetes Technol Ther,19000,hybrid closed-loop system arm VERSUS Standard/Usual Care- continuous subcutaneous insulin infusion IN Specific disease- diabetes; Age- Adult; Gender- Both; Country- Switzerland.,30785311,Specific disease- diabetes; Age- Adult; Gender- Both; Country- Switzerland.,hybrid closed-loop system arm,Cost-Effectiveness Analysis of the MiniMed 670G Hybrid Closed-Loop System Versus  Continuous Subcutaneous Insulin Infusion for Treatment of Type 1 Diabetes.,Standard/Usual Care- continuous subcutaneous insulin infusion,NE
2019-01-28710,2019,Girardin 2019 J Viral Hepat,8700,Increased access screening program for Hepatitis C VERSUS Standard/Usual Care- Current screening (venepuncture) IN Healthy; Age- Unknown; Gender- Both; Country- Switzerland; Other- People who inject drugs.,30338887,Healthy; Age- Unknown; Gender- Both; Country- Switzerland; Other- People who inject drugs.,Increased access screening program for Hepatitis C,Increasing hepatitis C virus screening in people who inject drugs in Switzerland  using rapid antibody saliva and dried blood spot testing: A cost-effectiveness analysis.,Standard/Usual Care- Current screening (venepuncture),NE
2018-01-28292,2018,Hirschmann 2018 Oral Oncol,110000,Nivolumab VERSUS Standard/Usual Care- Investigator’s choice/ standard therapy IN Specific disease- Head and Neck Cancer; Age- Adult; Gender- Both; Country- Switzerland.,30527224,Specific disease- Head and Neck Cancer; Age- Adult; Gender- Both; Country- Switzerland.,Nivolumab,Cost-effectiveness of nivolumab in the treatment of head and neck cancer.,Standard/Usual Care- Investigator’s choice/ standard therapy,NE
2018-01-26496,2018,Panje 2018 Radiother Oncol,43000,Local therapy VERSUS Standard/Usual Care- Maintenance Chemotherapy (MC) alone IN Specific disease- Oligometastatic Non-squamous Non-Small Cell Lung Cancer (NSCLC); Age- Adult; Gender- Both; Country- Switzerland.,30104008,Specific disease- Oligometastatic Non-squamous non-small-cell lung cancer; Age- Adult; Gender- Both; Country- Switzerland.,Local therapy,A cost-effectiveness analysis of consolidative local therapy in oligometastatic non-squamous non-small cell lung cancer (NSCLC).,Standard/Usual Care- Maintenance Chemotherapy (MC) alone,NE
2018-01-25589,2018,Stollenwerk 2018 Pharmacoeconomics,2100,"Etecalcetide VERSUS Cinacalcet IN Specific disease- Secondary hyperparathyroidism; Age- Adult; Gender- Both; Country- Italy, Spain, Portugal, Switzerland, Czech Republic; Other- Hemodialysis patients.",29392552,"Specific disease- Secondary hyperparathyroidism; Age- Adult; Gender- Both; Country- Italy, Spain, Portugal, Switzerland, Czech Republic; Other- Hemodialysis patients.",Etecalcetide,A Decision-Analytic Model to Assess the Cost-Effectiveness of Etelcalcetide vs. Cinacalcet.,Cinacalcet,NE
