Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-35111,2020,Piera-Jim̩nez 2020 J Med Internet Res,150000,"information and communication technology based program for behaviour change VERSUS Standard/Usual Care- treatment as usual IN Specific disease- cardiovascular disease; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands; Other- hypertension, coronary artery disease, symptomatic heart failure.",32720908,"Specific disease- cardiovascular disease; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Netherlands; Other- hypertension, coronary artery disease, symptomatic heart failure.",information and communication technology based program for behaviour change,Changing the Health Behavior of Patients With Cardiovascular Disease Through an  Electronic Health Intervention in Three Different Countries: Cost-Effectiveness  Study in the Do Cardiac Health: Advanced New Generation Ecosystem (Do CHANGE) 2  Randomized Controlled Trial.,Standard/Usual Care- treatment as usual,NE
2020-01-35111,2020,Piera-Jim̩nez 2020 J Med Internet Res,23000,"information and communication technology based program for behaviour change VERSUS Standard/Usual Care- treatment as usual IN Specific disease- cardiovascular disease; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Spain; Other- hypertension, coronary artery disease, symptomatic heart failure.",32720908,"Specific disease- cardiovascular disease; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Spain; Other- hypertension, coronary artery disease, symptomatic heart failure.",information and communication technology based program for behaviour change,Changing the Health Behavior of Patients With Cardiovascular Disease Through an  Electronic Health Intervention in Three Different Countries: Cost-Effectiveness  Study in the Do Cardiac Health: Advanced New Generation Ecosystem (Do CHANGE) 2  Randomized Controlled Trial.,Standard/Usual Care- treatment as usual,SW
2020-01-35111,2020,Piera-Jim̩nez 2020 J Med Internet Res,Dominated,"information and communication technology based program for behaviour change VERSUS Standard/Usual Care- treatment as usual IN Specific disease- cardiovascular disease; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Taiwan; Other- hypertension, coronary artery disease, symptomatic heart failure.",32720908,"Specific disease- cardiovascular disease; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Taiwan; Other- hypertension, coronary artery disease, symptomatic heart failure.",information and communication technology based program for behaviour change,Changing the Health Behavior of Patients With Cardiovascular Disease Through an  Electronic Health Intervention in Three Different Countries: Cost-Effectiveness  Study in the Do Cardiac Health: Advanced New Generation Ecosystem (Do CHANGE) 2  Randomized Controlled Trial.,Standard/Usual Care- treatment as usual,NW
2020-01-34621,2020,Matanhire 2020 Vox Sang,1100,hepatitis b surface antigen testing VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Taiwan; Other- blood donors.,33277934,Healthy; Age- Adult; Gender- Both; Country- Taiwan; Other- blood donors.,hepatitis b surface antigen testing,An economic reappraisal of hepatitis B virus testing strategy for blood donors in  Taiwan.,None,NE
2020-01-34621,2020,Matanhire 2020 Vox Sang,290000,nucleic acid testing VERSUS hepatitis b surface antigen testing IN Healthy; Age- Adult; Gender- Both; Country- Taiwan; Other- blood donors.,33277934,Healthy; Age- Adult; Gender- Both; Country- Taiwan; Other- blood donors.,nucleic acid testing,An economic reappraisal of hepatitis B virus testing strategy for blood donors in  Taiwan.,hepatitis b surface antigen testing,NE
2020-01-34621,2020,Matanhire 2020 Vox Sang,810000,hepatitis b surface antigen testing + nucleic acid testing VERSUS nucleic acid testing IN Healthy; Age- Adult; Gender- Both; Country- Taiwan; Other- blood donors.,33277934,Healthy; Age- Adult; Gender- Both; Country- Taiwan; Other- blood donors.,hepatitis b surface antigen testing + nucleic acid testing,An economic reappraisal of hepatitis B virus testing strategy for blood donors in  Taiwan.,nucleic acid testing,NE
2020-01-34331,2020,Lee 2020 Cardiovasc Drugs Ther,86000,"low-dose rivaroxaban + aspirin VERSUS Standard/Usual Care- aspirin IN Specific disease- cardiovascular disease; Age- >=65 years; Gender- Both; Country- Taiwan; Other- history of coronary artery disease, peripheral artery disease, or both.",32910340,"Specific disease- cardiovascular disease; Age- >=65 years; Gender- Both; Country- Taiwan; Other- history of coronary artery disease, peripheral artery disease, or both.",low-dose rivaroxaban + aspirin,Cost-effectiveness analysis of rivaroxaban plus aspirin versus aspirin alone in  secondary prevention among patients with chronic cardiovascular diseases.,Standard/Usual Care- aspirin,NE
2020-01-34242,2020,Holbrook 2020 PLoS One,15000,implantable cardioverter-defibrillator VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Taiwan; Other- high-risk of cardiac arrest.,33211698,Healthy; Age- Adult; Gender- Both; Country- Taiwan; Other- high-risk of cardiac arrest.,implantable cardioverter-defibrillator,Implantable cardioverter defibrillator therapy is cost effective for primary  prevention patients in Taiwan: An analysis from the Improve SCA trial.,None,NE
2020-01-34242,2020,Holbrook 2020 PLoS One,25000,implantable cardioverter-defibrillator therapy VERSUS None IN Healthy; Age- Adult; Gender- Both; Country- Taiwan; Other- high-risk of cardiac arrest.,33211698,Healthy; Age- Adult; Gender- Both; Country- Taiwan; Other- high-risk of cardiac arrest.,implantable cardioverter-defibrillator therapy,Implantable cardioverter defibrillator therapy is cost effective for primary  prevention patients in Taiwan: An analysis from the Improve SCA trial.,None,NE
2020-01-34181,2020,Chien 2020 Curr Med Res Opin,190,sulfonylurea + metformin --> sodium-glucose cotransporter 2 inhibitors --> insulin + metformin VERSUS sulfonylurea + metformin --> dipeptidyl peptidase-4 inhibitor --> insulin + metformin IN Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Taiwan; Other- inadequately controlled on metformin.,32851879,Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Taiwan; Other- inadequately controlled on metformin.,sulfonylurea + metformin --> sodium-glucose cotransporter 2 inhibitors --> insulin + metformin,Cost-utility analysis of second-line anti-diabetic therapy in patients with type 2  diabetes mellitus inadequately controlled on metformin.,sulfonylurea + metformin --> dipeptidyl peptidase-4 inhibitor --> insulin + metformin,NE
2020-01-34181,2020,Chien 2020 Curr Med Res Opin,2100,sodium-glucose cotransporter 2 inhibitor + metformin --> dipeptidyl peptidase-4 inhibitor --> insulin + metformin VERSUS sodium-glucose cotransporter 2 inhibitor + metformin --> sulfonylurea IN Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Taiwan; Other- inadequately controlled on metformin.,32851879,Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Taiwan; Other- inadequately controlled on metformin.,sodium-glucose cotransporter 2 inhibitor + metformin --> dipeptidyl peptidase-4 inhibitor --> insulin + metformin,Cost-utility analysis of second-line anti-diabetic therapy in patients with type 2  diabetes mellitus inadequately controlled on metformin.,sodium-glucose cotransporter 2 inhibitor + metformin --> sulfonylurea,NE
2020-01-34181,2020,Chien 2020 Curr Med Res Opin,2100,sodium-glucose cotransporter 2 inhibitor + metformin --> sulfonylurea --> insulin + metformin VERSUS sulfonylurea + metformin --> sodium-glucose cotransporter 2 inhibitors --> metformin + insulin IN Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Taiwan; Other- inadequately controlled on metformin.,32851879,Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Taiwan; Other- inadequately controlled on metformin.,sodium-glucose cotransporter 2 inhibitor + metformin --> sulfonylurea --> insulin + metformin,Cost-utility analysis of second-line anti-diabetic therapy in patients with type 2  diabetes mellitus inadequately controlled on metformin.,sulfonylurea + metformin --> sodium-glucose cotransporter 2 inhibitors --> metformin + insulin,NE
2020-01-34181,2020,Chien 2020 Curr Med Res Opin,2700,dipeptidyl peptidase-4 inhibitor + metformin --> sodium-glucose cotransporter 2 inhibitors --> metformin + insulin VERSUS sulfonylurea + metformin --> sodium-glucose cotransporter 2 inhibitors --> metformin + insulin IN Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Taiwan; Other- inadequately controlled on metformin.,32851879,Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Taiwan; Other- inadequately controlled on metformin.,dipeptidyl peptidase-4 inhibitor + metformin --> sodium-glucose cotransporter 2 inhibitors --> metformin + insulin,Cost-utility analysis of second-line anti-diabetic therapy in patients with type 2  diabetes mellitus inadequately controlled on metformin.,sulfonylurea + metformin --> sodium-glucose cotransporter 2 inhibitors --> metformin + insulin,NE
2020-01-34181,2020,Chien 2020 Curr Med Res Opin,Dominated,dipeptidyl peptidase-4 inhibitor + metformin --> sulfonylurea --> insulin + metformin VERSUS sulfonylurea + metformin --> sodium-glucose cotransporter 2 inhibitors --> insulin + metformin IN Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Taiwan; Other- inadequately controlled on metformin.,32851879,Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Taiwan; Other- inadequately controlled on metformin.,dipeptidyl peptidase-4 inhibitor + metformin --> sulfonylurea --> insulin + metformin,Cost-utility analysis of second-line anti-diabetic therapy in patients with type 2  diabetes mellitus inadequately controlled on metformin.,sulfonylurea + metformin --> sodium-glucose cotransporter 2 inhibitors --> insulin + metformin,NW
2020-01-34181,2020,Chien 2020 Curr Med Res Opin,Dominated,glucagon-like peptide-1 receptor agonist + metformin --> sulfonylurea --> metformin + insulin VERSUS sodium-glucose cotransporter 2 inhibitor + metformin --> dipeptidyl peptidase-4 inhibitor --> metformin + insulin IN Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Taiwan; Other- inadequately controlled on metformin.,32851879,Specific disease- type 2 diabetes; Age- Adult; Gender- Both; Country- Taiwan; Other- inadequately controlled on metformin.,glucagon-like peptide-1 receptor agonist + metformin --> sulfonylurea --> metformin + insulin,Cost-utility analysis of second-line anti-diabetic therapy in patients with type 2  diabetes mellitus inadequately controlled on metformin.,sodium-glucose cotransporter 2 inhibitor + metformin --> dipeptidyl peptidase-4 inhibitor --> metformin + insulin,NW
