Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2019-01-32379,2019,Ozmen 2019 Eur J Breast Health,7800,"oncotype dx testing with adjuvant systemic treatment VERSUS Standard/Usual Care- Standard endocrine therapy and chemotherapy regimens IN Specific disease- breast cancer; Age- Unknown; Gender- Female; Country- Turkey; Other- ER+, HER2-, node-negative or up to 3 node-positive early stage breast cancer.",31312795,"Specific disease- breast cancer; Age- Unknown; Gender- Female; Country- Turkey; Other- ER+, HER2-, node-negative or up to 3 node-positive early stage breast cancer.",oncotype dx testing with adjuvant systemic treatment,"Cost effectiveness of Gene Expression Profiling in Patients with Early-Stage Breast Cancer in a Middle-Income Country, Turkey: Results of a Prospective Multicenter Study.",Standard/Usual Care- Standard endocrine therapy and chemotherapy regimens,NE
2019-01-31941,2019,Roze 2019 Diabetes Technol Ther,25000,sensor-augmented pump therapy + continuous subcutaneous insulin infusion VERSUS continuous subcutaneous insulin infusion IN Specific disease- type 1 diabetes; Age- Unknown; Gender- Both; Country- Turkey; Other- Increased risk for hypoglycemia cohort.,31509715,Specific disease- type 1 diabetes; Age- Unknown; Gender- Both; Country- Turkey; Other- Increased risk for hypoglycemia cohort.,sensor-augmented pump therapy + continuous subcutaneous insulin infusion,Cost-Effectiveness of Sensor-Augmented Insulin Pump Therapy Versus Continuous Insulin Infusion in Patients with Type 1 Diabetes in Turkey.,continuous subcutaneous insulin infusion,NE
2019-01-31941,2019,Roze 2019 Diabetes Technol Ther,27000,sensor-augmented pump therapy + continuous subcutaneous insulin infusion VERSUS continuous subcutaneous insulin infusion IN Specific disease- type 1 diabetes; Age- Unknown; Gender- Both; Country- Turkey; Other- Poor glycemic control.,31509715,Specific disease- type 1 diabetes; Age- Unknown; Gender- Both; Country- Turkey; Other- Poor glycemic control.,sensor-augmented pump therapy + continuous subcutaneous insulin infusion,Cost-Effectiveness of Sensor-Augmented Insulin Pump Therapy Versus Continuous Insulin Infusion in Patients with Type 1 Diabetes in Turkey.,continuous subcutaneous insulin infusion,NE
2019-01-30356,2019,Marijam 2019 Value Health Reg Issues,Cost-Saving,pneumococcal nontypeable haemophilus influenza protein d conjugate vaccine VERSUS Standard/Usual Care- 13-valent pneumococcal conjugate vaccine IN Healthy; Age- 0 to 18 years; Gender- Both; Country- Turkey; Other- Infant.,30776766,Healthy; Age- 0 to 18 years; Gender- Both; Country- Turkey; Other- Infant.,pneumococcal nontypeable haemophilus influenza protein d conjugate vaccine,Cost-Effectiveness Comparison of Pneumococcal Conjugate Vaccines in Turkish Children.,Standard/Usual Care- 13-valent pneumococcal conjugate vaccine,SE
2018-01-28565,2018,Suijkerbuijk 2018 PLoS One,140000,Hepatitis C Virus Screening VERSUS None IN Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Turkey.,30408079,Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Turkey.,Hepatitis C Virus Screening,Cost-effectiveness of screening for chronic hepatitis B and C among migrant populations in a low endemic country.,None,NE
2018-01-28565,2018,Suijkerbuijk 2018 PLoS One,7400,Hepatitis B Virus Screening VERSUS None IN Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Turkey.,30408079,Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Turkey.,Hepatitis B Virus Screening,Cost-effectiveness of screening for chronic hepatitis B and C among migrant populations in a low endemic country.,None,NE
2018-01-28565,2018,Suijkerbuijk 2018 PLoS One,7700,Screening for Hepatitis B and Hepatitis C VERSUS None IN Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Turkey.,30408079,Healthy; Age- Unknown; Gender- Both; Country- Netherlands; Other- Migrants from Turkey.,Screening for Hepatitis B and Hepatitis C,Cost-effectiveness of screening for chronic hepatitis B and C among migrant populations in a low endemic country.,None,NE
2016-01-22727,2016,Akin 2016 PLoS One,32,"Increasing the influenza vaccination coverage rate (VCR) for adults with type 2 diabetes to 20% VERSUS Standard/Usual Care- Vaccine coverage rate at 9.1% IN Specific disease- Type II Diabetes; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Turkey.",27322384,"Specific disease- Type II Diabetes; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Turkey.",Increasing the influenza vaccination coverage rate (VCR) for adults with type 2 diabetes to 20%,Cost-Effectiveness of Increasing Influenza Vaccination Coverage in Adults with Type 2 Diabetes in Turkey.,Standard/Usual Care- Vaccine coverage rate at 9.1%,NE
2016-01-22371,2016,Yalcin Balcik 2016 Turk J Med Sci,89000,Pemetrexed/cisplatin VERSUS Gemcitabine/cisplatin IN Specific disease- Nonsmall cell lung cancer; Age- Adult; Gender- Both; Country- Turkey.,27511349,Specific disease- Nonsmall cell lung cancer; Age- Adult; Gender- Both; Country- Turkey.,Pemetrexed/cisplatin,Cost-effectiveness analysis of pemetrexed and gemcitabine treatment for advanced  nonsmall cell lung cancer in Turkey.,Gemcitabine/cisplatin,NE
2016-01-22035,2016,Pouwels 2016 PLoS One,30000,Respiratory Syncytial Virus (RSV) Vaccination at 2 months and 4 months VERSUS None IN Specific disease- Respiratory Syncytial Virus (RSV); Age- 0 to 18 years; Gender- Both; Country- Turkey.,27689356,Specific disease- Respiratory Syncytial Virus (RSV); Age- 0 to 18 years; Gender- Both; Country- Turkey.,Respiratory Syncytial Virus (RSV) Vaccination at 2 months and 4 months,Potential Cost-Effectiveness of RSV Vaccination of Infants and Pregnant Women in  Turkey: An Illustration Based on Bursa Data.,None,NE
