Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2019-01-32029,2019,Morozova 2019 Addiction,1000,"opioid antagonist treatment in mykolaiv 0.060 capacity and 1.00 capacity utilization VERSUS opioid antagonist treatment in Mykolaiv 0.048 capacity and 1.00 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in mykolaiv 0.060 capacity and 1.00 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in Mykolaiv 0.048 capacity and 1.00 capacity utilization,NE
2019-01-32029,2019,Morozova 2019 Addiction,1200,"opioid antagonist treatment in kyiv 0.220 capacity and 0.90 capacity utilization VERSUS opioid antagonist treatment in kyiv 0.035 capacity and 1.00 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in kyiv 0.220 capacity and 0.90 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in kyiv 0.035 capacity and 1.00 capacity utilization,NE
2019-01-32029,2019,Morozova 2019 Addiction,1200,"opioid antagonist treatment in kyiv 0.222 capacity and 0.89 capacity utilization VERSUS opioid antagonist treatment in kyiv 0.220 capacity and 0.90 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in kyiv 0.222 capacity and 0.89 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in kyiv 0.220 capacity and 0.90 capacity utilization,NE
2019-01-32029,2019,Morozova 2019 Addiction,1200,"opioid antagonist treatment in lviv 0.173 capacity and 0.93 capacity utilization VERSUS opioid antagonist treatment in lviv 0.039 capacity and 1.00 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in lviv 0.173 capacity and 0.93 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in lviv 0.039 capacity and 1.00 capacity utilization,NE
2019-01-32029,2019,Morozova 2019 Addiction,1300,"opioid antagonist treatment in kyiv 0.224 capacity and 0.88 capacity utilization VERSUS opioid antagonist treatment in kyiv 0.222 capacity and 0.89 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in kyiv 0.224 capacity and 0.88 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in kyiv 0.222 capacity and 0.89 capacity utilization,NE
2019-01-32029,2019,Morozova 2019 Addiction,1300,"opioid antagonist treatment in lviv 0.178 capacity and 0.90 capacity utilization VERSUS opioid antagonist treatment in lviv 0.173 capacity and 0.93 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in lviv 0.178 capacity and 0.90 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in lviv 0.173 capacity and 0.93 capacity utilization,NE
2019-01-32029,2019,Morozova 2019 Addiction,1300,"opioid antagonist treatment in mykolaiv 0.107 capacity and 0.95 capacity utilization VERSUS opioid antagonist treatment in mykolaiv 0.060 capacity and 1.00 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in mykolaiv 0.107 capacity and 0.95 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in mykolaiv 0.060 capacity and 1.00 capacity utilization,NE
2019-01-32029,2019,Morozova 2019 Addiction,1400,"opioid antagonist treatment in kyiv 0.227 capacity and 0.87 capacity utilization VERSUS opioid antagonist treatment in kyiv 0.224 capacity and 0.88 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in kyiv 0.227 capacity and 0.87 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in kyiv 0.224 capacity and 0.88 capacity utilization,NE
2019-01-32029,2019,Morozova 2019 Addiction,1400,"opioid antagonist treatment in mykolaiv 0.109 capacity and 0.94 capacity utilization VERSUS opioid antagonist treatment in Mykolaiv 0.107 capacity and 0.95 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in mykolaiv 0.109 capacity and 0.94 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in Mykolaiv 0.107 capacity and 0.95 capacity utilization,NE
2019-01-32029,2019,Morozova 2019 Addiction,1500,"opioid antagonist treatment in kyiv 0.229 capacity and 0.86 capacity utilization VERSUS opioid antagonist treatment in kyiv 0.227 capacity and 0.87 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in kyiv 0.229 capacity and 0.86 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in kyiv 0.227 capacity and 0.87 capacity utilization,NE
2019-01-32029,2019,Morozova 2019 Addiction,15000,"opioid antagonist treatment in kyiv 900 slots in specialty care and 9700 slots in primary care VERSUS opioid antagonist treatment in kyiv 900 slots in specialty care and 9600 slots in primary care IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in kyiv 900 slots in specialty care and 9700 slots in primary care,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in kyiv 900 slots in specialty care and 9600 slots in primary care,NE
2019-01-32029,2019,Morozova 2019 Addiction,1600,"opioid antagonist treatment in kyiv 0.231 capacity and 0.85 capacity utilization VERSUS opioid antagonist treatment in kyiv 0.229 capacity and 0.86 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in kyiv 0.231 capacity and 0.85 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in kyiv 0.229 capacity and 0.86 capacity utilization,NE
2019-01-32029,2019,Morozova 2019 Addiction,1600,"opioid antagonist treatment in lviv 0.183 capacity and 0.87 capacity utilization VERSUS opioid antagonist treatment in lviv 0.178 capacity and 0.90 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in lviv 0.183 capacity and 0.87 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in lviv 0.178 capacity and 0.90 capacity utilization,NE
2019-01-32029,2019,Morozova 2019 Addiction,1600,"opioid antagonist treatment in mykolaiv 0.112 capacity and 0.92 capacity utilization VERSUS opioid antagonist treatment in Mykolaiv 0.109 capacity and 0.94 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in mykolaiv 0.112 capacity and 0.92 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in Mykolaiv 0.109 capacity and 0.94 capacity utilization,NE
2019-01-32029,2019,Morozova 2019 Addiction,16000,"opioid antagonist treatment in mykolaiv 0.124 capacity and 0.83 capacity utilization VERSUS opioid antagonist treatment in mykolaiv 500 slots in specialty care and 775 slots in primary care IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in mykolaiv 0.124 capacity and 0.83 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in mykolaiv 500 slots in specialty care and 775 slots in primary care,NE
2019-01-32029,2019,Morozova 2019 Addiction,1700,"opioid antagonist treatment in kyiv 0.234 capacity and 0.84 capacity utilization VERSUS opioid antagonist treatment in kyiv 0.231 capacity and 0.85 capacity utilization IN Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",31478285,"Specific disease- opioid use disorder; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Both; Country- Ukraine.",opioid antagonist treatment in kyiv 0.234 capacity and 0.84 capacity utilization,Cost-effectiveness of expanding the capacity of opioid agonist treatment in Ukraine: dynamic modeling analysis.,opioid antagonist treatment in kyiv 0.231 capacity and 0.85 capacity utilization,NE
