Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34928,2020,Khoshbin 2020 Bone Joint J,7800,"dual mobility bearings in revision total hip arthroplasty (5 year follow up) VERSUS single bearings in revision total hip arthroplasty (5-year follow up) IN Specific disease- revision total hip arthroplasty; Age- 19 to 40 years, 41 to 64 years; Gender- Male; Country- United Kingdom.",32862681,"Specific disease- revision total hip arthroplasty; Age- 19 to 40 years, 41 to 64 years; Gender- Male; Country- United Kingdom.",dual mobility bearings in revision total hip arthroplasty (5 year follow up),A cost-effectiveness assessment of dual-mobility bearings in revision hip  arthroplasty.,single bearings in revision total hip arthroplasty (5-year follow up),NE
2020-01-34928,2020,Khoshbin 2020 Bone Joint J,Cost-Saving,dual mobility bearings in revision total hip arthroplasty (10 year follow up) VERSUS single bearings in revision total hip arthroplasty (10-year follow up) IN Specific disease- revision total hip arthroplasty; Age- >=65 years; Gender- Female; Country- United Kingdom.,32862681,Specific disease- revision total hip arthroplasty; Age- >=65 years; Gender- Female; Country- United Kingdom.,dual mobility bearings in revision total hip arthroplasty (10 year follow up),A cost-effectiveness assessment of dual-mobility bearings in revision hip  arthroplasty.,single bearings in revision total hip arthroplasty (10-year follow up),SE
2020-01-34928,2020,Khoshbin 2020 Bone Joint J,Cost-Saving,dual mobility bearings in revision total hip arthroplasty (10 year follow up) VERSUS single bearings in revision total hip arthroplasty (10-year follow up) IN Specific disease- revision total hip arthroplasty; Age- >=65 years; Gender- Male; Country- United Kingdom.,32862681,Specific disease- revision total hip arthroplasty; Age- >=65 years; Gender- Male; Country- United Kingdom.,dual mobility bearings in revision total hip arthroplasty (10 year follow up),A cost-effectiveness assessment of dual-mobility bearings in revision hip  arthroplasty.,single bearings in revision total hip arthroplasty (10-year follow up),SE
2020-01-34928,2020,Khoshbin 2020 Bone Joint J,Cost-Saving,"dual mobility bearings in revision total hip arthroplasty (10 year follow up) VERSUS single bearings in revision total hip arthroplasty (10-year follow up) IN Specific disease- revision total hip arthroplasty; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- United Kingdom.",32862681,"Specific disease- revision total hip arthroplasty; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- United Kingdom.",dual mobility bearings in revision total hip arthroplasty (10 year follow up),A cost-effectiveness assessment of dual-mobility bearings in revision hip  arthroplasty.,single bearings in revision total hip arthroplasty (10-year follow up),SE
2020-01-34928,2020,Khoshbin 2020 Bone Joint J,Cost-Saving,"dual mobility bearings in revision total hip arthroplasty (10 year follow up) VERSUS single bearings in revision total hip arthroplasty (10-year follow up) IN Specific disease- revision total hip arthroplasty; Age- 19 to 40 years, 41 to 64 years; Gender- Male; Country- United Kingdom.",32862681,"Specific disease- revision total hip arthroplasty; Age- 19 to 40 years, 41 to 64 years; Gender- Male; Country- United Kingdom.",dual mobility bearings in revision total hip arthroplasty (10 year follow up),A cost-effectiveness assessment of dual-mobility bearings in revision hip  arthroplasty.,single bearings in revision total hip arthroplasty (10-year follow up),SE
2020-01-34928,2020,Khoshbin 2020 Bone Joint J,Cost-Saving,dual mobility bearings in revision total hip arthroplasty (10 year follow up) VERSUS single bearings in revision total hip arthroplasty (10-year follow up) IN Specific disease- revision total hip arthroplasty; Age- 41 to 64 years; Gender- Female; Country- United Kingdom.,32862681,Specific disease- revision total hip arthroplasty; Age- 41 to 64 years; Gender- Female; Country- United Kingdom.,dual mobility bearings in revision total hip arthroplasty (10 year follow up),A cost-effectiveness assessment of dual-mobility bearings in revision hip  arthroplasty.,single bearings in revision total hip arthroplasty (10-year follow up),SE
2020-01-34928,2020,Khoshbin 2020 Bone Joint J,Cost-Saving,dual mobility bearings in revision total hip arthroplasty (10 year follow up) VERSUS single bearings in revision total hip arthroplasty (10-year follow up) IN Specific disease- revision total hip arthroplasty; Age- 41 to 64 years; Gender- Male; Country- United Kingdom.,32862681,Specific disease- revision total hip arthroplasty; Age- 41 to 64 years; Gender- Male; Country- United Kingdom.,dual mobility bearings in revision total hip arthroplasty (10 year follow up),A cost-effectiveness assessment of dual-mobility bearings in revision hip  arthroplasty.,single bearings in revision total hip arthroplasty (10-year follow up),SE
2020-01-34928,2020,Khoshbin 2020 Bone Joint J,Cost-Saving,dual mobility bearings in revision total hip arthroplasty (14 year follow up) VERSUS single bearings in revision total hip arthroplasty (14 year follow up) IN Specific disease- revision total hip arthroplasty; Age- >=65 years; Gender- Male; Country- United Kingdom.,32862681,Specific disease- revision total hip arthroplasty; Age- >=65 years; Gender- Male; Country- United Kingdom.,dual mobility bearings in revision total hip arthroplasty (14 year follow up),A cost-effectiveness assessment of dual-mobility bearings in revision hip  arthroplasty.,single bearings in revision total hip arthroplasty (14 year follow up),SE
2020-01-34928,2020,Khoshbin 2020 Bone Joint J,Cost-Saving,"dual mobility bearings in revision total hip arthroplasty (14 year follow up) VERSUS single bearings in revision total hip arthroplasty (14 year follow up) IN Specific disease- revision total hip arthroplasty; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- United Kingdom.",32862681,"Specific disease- revision total hip arthroplasty; Age- 19 to 40 years, 41 to 64 years; Gender- Female; Country- United Kingdom.",dual mobility bearings in revision total hip arthroplasty (14 year follow up),A cost-effectiveness assessment of dual-mobility bearings in revision hip  arthroplasty.,single bearings in revision total hip arthroplasty (14 year follow up),SE
2020-01-34928,2020,Khoshbin 2020 Bone Joint J,Cost-Saving,"dual mobility bearings in revision total hip arthroplasty (14 year follow up) VERSUS single bearings in revision total hip arthroplasty (14 year follow up) IN Specific disease- revision total hip arthroplasty; Age- 19 to 40 years, 41 to 64 years; Gender- Male; Country- United Kingdom.",32862681,"Specific disease- revision total hip arthroplasty; Age- 19 to 40 years, 41 to 64 years; Gender- Male; Country- United Kingdom.",dual mobility bearings in revision total hip arthroplasty (14 year follow up),A cost-effectiveness assessment of dual-mobility bearings in revision hip  arthroplasty.,single bearings in revision total hip arthroplasty (14 year follow up),SE
