Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2018-01-28466,2018,Zeng                             2018 Bull World Health Organ,1500,"Result-based financing to increase use and quality of maternal & child health services VERSUS Input-based financing (increased funding not tied to performance) IN Healthy; Age- 0 to 18 years, Adult; Gender- Both; Country- Zambia.",30455531,"Healthy; Age- 0 to 18 years, Adult; Gender- Both; Country- Zambia.",Result-based financing to increase use and quality of maternal & child health services,"Cost-effectiveness of results-based financing, Zambia: a cluster randomized trial.",Input-based financing (increased funding not tied to performance),NE
2018-01-28466,2018,Zeng                             2018 Bull World Health Organ,460,Input-based financing to increase use and quality of maternal & child health services VERSUS Control (no additional funding) IN Healthy; Age- Unknown; Gender- Both; Country- Zambia.,30455531,Healthy; Age- Unknown; Gender- Both; Country- Zambia.,Input-based financing to increase use and quality of maternal & child health services,"Cost-effectiveness of results-based financing, Zambia: a cluster randomized trial.",Control (no additional funding),NE
2018-01-28466,2018,Zeng                             2018 Bull World Health Organ,900,Result-based financing to increase use and quality of maternal & child health services VERSUS Control (no additional funding) IN Healthy; Age- Unknown; Gender- Both; Country- Zambia.,30455531,Healthy; Age- Unknown; Gender- Both; Country- Zambia.,Result-based financing to increase use and quality of maternal & child health services,"Cost-effectiveness of results-based financing, Zambia: a cluster randomized trial.",Control (no additional funding),NE
2014-01-16989,2014,Griffiths 2014 Cost Eff Resour Alloc,310,"Cataract surgery VERSUS None IN Specific disease- Cataracts; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Zambia.",24568593,"Specific disease- Cataracts; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Zambia.",Cataract surgery,Cost-effectiveness of eye care services in Zambia.,None,NE
2014-01-16989,2014,Griffiths 2014 Cost Eff Resour Alloc,450,"Refractive error/presbyopia correction corrected with spectacles VERSUS None IN Specific disease- Cataracts; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Zambia.",24568593,"Specific disease- Cataracts; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Zambia.",Refractive error/presbyopia correction corrected with spectacles,Cost-effectiveness of eye care services in Zambia.,None,NE
2014-01-15156,2014,Ishikawa 2014 PLoS One,Cost-Saving,"Anti-retrovirals during pregnancy and breastfeeding, Triple anti-retrovirals till end of breastfeeding VERSUS If CD4<350 , lifelong ART; if CD4>350, Antiretroviral drugs (ARV) prophylaxis (mother and infant) (option A) IN Specific disease- HIV positive; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Female; Country- Zambia.",24604067,"Specific disease- HIV positive; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Female; Country- Zambia.","Anti-retrovirals during pregnancy and breastfeeding, Triple anti-retrovirals till end of breastfeeding",Health outcomes and cost impact of the new WHO 2013 guidelines on prevention of mother-to-child transmission of HIV in Zambia.,"If CD4<350 , lifelong ART; if CD4>350, Antiretroviral drugs (ARV) prophylaxis (mother and infant) (option A)",SE
2014-01-15156,2014,Ishikawa 2014 PLoS One,Cost-Saving,"Lifelong antiretroviral therapy VERSUS If CD4<350 , lifelong ART; if CD4>350, Antiretroviral drugs (ARV) prophylaxis (mother and infant) (option A) IN Specific disease- HIV; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Female; Country- Zambia; Other- Pregnant.",24604067,"Specific disease- HIV; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years; Gender- Female; Country- Zambia; Other- Pregnant.",Lifelong antiretroviral therapy,Health outcomes and cost impact of the new WHO 2013 guidelines on prevention of mother-to-child transmission of HIV in Zambia.,"If CD4<350 , lifelong ART; if CD4>350, Antiretroviral drugs (ARV) prophylaxis (mother and infant) (option A)",SE
2013-01-11086,2013,Nichols 2013 PLoS One,370,Prioritized pre-exposure prophylaxis (PrEP) in preventing HIV-1 infections to most sexually active VERSUS Standard/Usual care IN Healthy; Age- Unknown; Gender- Not Specified; Country- Zambia.,23527217,Healthy; Age- Unknown; Gender- Not Specified; Country- Zambia.,Prioritized pre-exposure prophylaxis (PrEP) in preventing HIV-1 infections to most sexually active,Cost-effectiveness of pre-exposure prophylaxis (PrEP) in preventing HIV-1 infections in rural Zambia: a modeling study.,Standard/Usual care,NE
2013-01-11086,2013,Nichols 2013 PLoS One,Cost-Saving,"Prioritized pre-exposure prophylaxis (PrEP) in preventing HIV-1 infections to most sexually active VERSUS Non-prioritized PrEP, PrEP randomly distributed IN Healthy; Age- Unknown; Gender- Not Specified; Country- Zambia.",23527217,Healthy; Age- Unknown; Gender- Not Specified; Country- Zambia.,Prioritized pre-exposure prophylaxis (PrEP) in preventing HIV-1 infections to most sexually active,Cost-effectiveness of pre-exposure prophylaxis (PrEP) in preventing HIV-1 infections in rural Zambia: a modeling study.,"Non-prioritized PrEP, PrEP randomly distributed",SE
2008-01-03914,2008,Ryan 2008 AIDS,12,"Cotrimoxazole 240 mg daily HIV prophylaxis, starting at age 8 VERSUS No prophylaxis, starting at age 8 IN Children (1-14 y.o.) Zambian children HIV/AIDS positive",18356605,Children (1-14 y.o.) Zambian children HIV/AIDS positive,"Cotrimoxazole 240 mg daily HIV prophylaxis, starting at age 8",The cost-effectiveness of cotrimoxazole prophylaxis in HIV-infected children in Zambia.,"No prophylaxis, starting at age 8",NE
